token,cluster,plaintext,freq
101,1,puis,3
102,1,si,8
103,9,va,2
105,7,ce,29
107,4,fai,15
109,4,ma,7
11',3,un,12
112,4,so,10
113,3,ve,21
115,3,ci,6
119,6,me,15
12',7,deux,2
120,9,on,2
121,6,particulier,3
122,2,su,6
123,3,vi,6
124,0,avec,8
125,7,co,22
127,9,facil,1
129,6,mi,16
13',5,?,1
130,9,oit,12
132,7,sans,3
133,4,vo,7
134,7,autre,1
136,6,?,1
138,1,Hongrois,1
139,0,mo,11
14',5,quatre,1
146,4,demande,1
148,6,honneur,1
150,1,ou,2
154,7,an,2
159,2,Majeste,5
16',5,six,2
160,9,oblig,1
164,4,aussi,1
17',5,septem,1
170,9,ordinaire,1
174,6,Austriche,1
175,5,cette,3
177,8,France,8
178,3,heur,1
181,2,Pologne,10
184,3,au,12
186,2,?,3
189,7,ment,12
19',5,neuf,1
190,2,ordre,1
191,3,qua,1
198,4,ja,10
20,6,a,66
20',1,dix,1
201,1,que,20
202,1,secret,1
203,9,voir,1
206,6,entre,2
208,4,je,10
211,0,qui,6
213,1,vous,11
215,2,contraire,1
216,6,eux,5
22,5,b,6
222,1,service,1
223,1,vostre,7
229,3,ministre,1
231,9,quu,1
232,1,seul,2
234,4,argent,1
236,7,en,19
237,4,for,3
238,4,ju,2
239,1,mais,3
24,8,c,24
246,6,est,21
249,3,moyen,1
256,8,Espagnol,1
258,1,jamais,2
26,0,d,17
261,9,quelle,1
266,9,election,1
269,3,Mr,10
271,7,quelque,1
274,2,Alleman,1
278,6,il,23
28,6,e,45
280,3,pa,11
281,1,quil,9
285,5,cour,4
287,7,ga,3
288,2,jour,3
289,4,Madame,1
290,6,pe,7
293,1,xa,1
296,3,engage,4
297,9,ge,6
298,3,interest,3
299,2,maison,3
30,3,f,6
30',5,vingt,1
300,6,pi,1
301,9,quoique,1
307,2,gi,3
310,9,po,8
311,0,ra,24
32,7,g,11
320,4,pu,2
321,6,re,57
322,8,ta,3
324,3,ba,2
325,2,comme,10
328,7,intention,1
331,3,ri,15
332,6,te,20
334,3,be,2
335,3,Cardinal,21
339,9,na,6
341,9,ro,8
342,7,ti,20
344,9,bi,1
346,2,encore,1
347,6,gener,1
348,8,la,40
349,6,ne,33
35',5,?,1
351,1,ru,2
352,4,to,1
354,6,bo,2
355,4,da,1
356,9,Empereur,1
357,9,gouvern,1
358,3,le,54
359,3,ni,10
36,6,i,32
36',5,?,2
361,2,Roy,4
362,9,tu,2
363,0,zi,6
364,7,bu,1
365,6,de,72
368,9,li,2
369,3,no,2
370,2,par,10
374,6,beaucoup,1
375,3,di,6
377,2,grand,4
378,1,lo,9
379,4,nu,2
38',7,?,1
380,2,pall,1
382,0,tant,1
385,6,do,5
388,4,lu,2
390,6,point,1
392,8,tion,11
394,5,Bethune,2
395,2,du,7
398,6,lettre,3
399,2,Nonce,1
40,9,l,17
404,2,bon,1
405,3,dans,9
41,3,r,20
410,2,Pape,5
414,9,bien,5
42,9,m,10
420,1,pour,14
423,0,ki,7
426,8,fa,3
43,6,s,34
436,2,fe,4
437,4,ha,1
438,8,luy,2
44,7,n,68
442,2,tout,6
446,7,fi,8
447,8,he,10
449,7,nous,2
451,4,Reine,1
455,4,donne,2
456,4,fo,1
458,2,leur,5
46,0,o,14
461,2,sa,6
462,2,temps,3
468,3,long,1
470,3,pendant,1
471,6,se,33
48,1,p,17
52,6,r,41
54,6,s,39
56,6,t,50
58,6,u,33
60,6,x,7
62,4,y,15
64,0,z,2
66,6,&,38
68,1,st,7
70,6,nt,12
72,1,ns,1
74,9,er,7
95,6,ca,13
ψ,6,s,37
