token,cluster,plaintext,freq,pt_len
101,6,puis,3,4.0
102,6,si,8,2.0
103,8,va,2,2.0
105,2,ce,29,2.0
107,2,fai,15,3.0
109,6,ma,7,2.0
11',2,un,12,2.0
112,2,so,10,2.0
113,2,ve,21,2.0
115,8,ci,6,2.0
119,2,me,15,2.0
12',8,deux,2,4.0
120,2,on,2,2.0
121,7,particulier,3,11.0
122,4,su,6,2.0
123,4,vi,6,2.0
124,0,avec,8,4.0
125,2,co,22,2.0
127,8,facil,1,5.0
129,2,mi,16,2.0
13',3,?,1,
130,2,oit,12,3.0
132,7,sans,3,4.0
133,9,vo,7,2.0
134,0,autre,1,5.0
136,4,?,1,
138,6,Hongrois,1,8.0
139,2,mo,11,2.0
14',3,quatre,1,6.0
146,6,demande,1,7.0
148,6,honneur,1,7.0
150,9,ou,2,2.0
154,0,an,2,2.0
159,1,Majeste,5,7.0
16',3,six,2,3.0
160,1,oblig,1,5.0
164,0,aussi,1,5.0
17',3,septem,1,6.0
170,0,ordinaire,1,9.0
174,6,Austriche,1,9.0
175,8,cette,3,5.0
177,7,France,8,6.0
178,4,heur,1,4.0
181,2,Pologne,10,7.0
184,2,au,12,2.0
186,4,?,3,
189,2,ment,12,4.0
19',3,neuf,1,4.0
190,8,ordre,1,5.0
191,0,qua,1,3.0
198,2,ja,10,2.0
20,2,a,66,1.0
20',6,dix,1,3.0
201,2,que,20,3.0
202,6,secret,1,6.0
203,9,voir,1,4.0
206,7,entre,2,5.0
208,0,je,10,2.0
211,2,qui,6,3.0
213,6,vous,11,4.0
215,0,contraire,1,9.0
216,4,eux,5,3.0
22,3,b,6,1.0
222,6,service,1,7.0
223,0,vostre,7,6.0
229,8,ministre,1,8.0
231,8,quu,1,3.0
232,5,seul,2,4.0
234,7,argent,1,6.0
236,2,en,19,2.0
237,0,for,3,3.0
238,9,ju,2,2.0
239,6,mais,3,4.0
24,2,c,24,1.0
246,2,est,21,3.0
249,5,moyen,1,5.0
256,1,Espagnol,1,8.0
258,6,jamais,2,6.0
26,2,d,17,1.0
261,8,quelle,1,6.0
266,8,election,1,8.0
269,5,Mr,10,2.0
271,0,quelque,1,7.0
274,4,Alleman,1,7.0
278,2,il,23,2.0
28,2,e,45,1.0
280,8,pa,11,2.0
281,2,quil,9,4.0
285,8,cour,4,4.0
287,0,ga,3,2.0
288,4,jour,3,4.0
289,6,Madame,1,6.0
290,7,pe,7,2.0
293,0,xa,1,2.0
296,0,engage,4,6.0
297,9,ge,6,2.0
298,1,interest,3,8.0
299,1,maison,3,6.0
30,4,f,6,1.0
30',3,vingt,1,5.0
300,6,pi,1,2.0
301,8,quoique,1,7.0
307,0,gi,3,2.0
310,9,po,8,2.0
311,2,ra,24,2.0
32,2,g,11,1.0
320,9,pu,2,2.0
321,2,re,57,2.0
322,0,ta,3,2.0
324,5,ba,2,2.0
325,4,comme,10,5.0
328,8,intention,1,9.0
331,2,ri,15,2.0
332,2,te,20,2.0
334,5,be,2,2.0
335,2,Cardinal,21,8.0
339,8,na,6,2.0
341,8,ro,8,2.0
342,2,ti,20,2.0
344,9,bi,1,2.0
346,1,encore,1,6.0
347,4,gener,1,5.0
348,2,la,40,2.0
349,2,ne,33,2.0
35',3,?,1,
351,6,ru,2,2.0
352,0,to,1,2.0
354,6,bo,2,2.0
355,9,da,1,2.0
356,8,Empereur,1,8.0
357,8,gouvern,1,7.0
358,2,le,54,2.0
359,2,ni,10,2.0
36,2,i,32,1.0
36',3,?,2,
361,6,Roy,4,3.0
362,8,tu,2,2.0
363,5,zi,6,2.0
364,8,bu,1,2.0
365,2,de,72,2.0
368,9,li,2,2.0
369,5,no,2,2.0
370,2,par,10,3.0
374,8,beaucoup,1,8.0
375,8,di,6,2.0
377,4,grand,4,5.0
378,8,lo,9,2.0
379,7,nu,2,2.0
38',8,?,1,
380,5,pall,1,4.0
382,5,tant,1,4.0
385,0,do,5,2.0
388,9,lu,2,2.0
390,0,point,1,5.0
392,2,tion,11,4.0
394,3,Bethune,2,7.0
395,0,du,7,2.0
398,6,lettre,3,6.0
399,4,Nonce,1,5.0
40,2,l,17,1.0
404,5,bon,1,3.0
405,2,dans,9,4.0
41,2,r,20,1.0
410,0,Pape,5,4.0
414,9,bien,5,4.0
42,9,m,10,1.0
420,2,pour,14,4.0
423,5,ki,7,2.0
426,1,fa,3,2.0
43,2,s,34,1.0
436,4,fe,4,2.0
437,6,ha,1,2.0
438,7,luy,2,3.0
44,2,n,68,1.0
442,4,tout,6,4.0
446,8,fi,8,2.0
447,2,he,10,2.0
449,0,nous,2,4.0
451,8,Reine,1,5.0
455,7,donne,2,5.0
456,6,fo,1,2.0
458,1,leur,5,4.0
46,2,o,14,1.0
461,1,sa,6,2.0
462,8,temps,3,5.0
468,8,long,1,4.0
470,8,pendant,1,7.0
471,2,se,33,2.0
48,2,p,17,1.0
52,2,r,41,1.0
54,2,s,39,1.0
56,2,t,50,1.0
58,2,u,33,1.0
60,2,x,7,1.0
62,2,y,15,1.0
64,5,z,2,1.0
66,2,&,38,1.0
68,6,st,7,2.0
70,2,nt,12,2.0
72,6,ns,1,2.0
74,8,er,7,2.0
95,2,ca,13,2.0
ψ,2,s,37,1.0
