token,cluster,plaintext,freq
101,1,puis,3
102,3,si,8
103,6,va,2
105,3,ce,29
107,3,fai,15
109,8,ma,7
11',3,un,12
112,3,so,10
113,3,ve,21
115,6,ci,6
119,3,me,15
12',7,deux,2
120,7,on,2
121,0,particulier,3
122,3,su,6
123,0,vi,6
124,3,avec,8
125,3,co,22
127,6,facil,1
129,0,mi,16
13',6,?,1
130,3,oit,12
132,2,sans,3
133,4,vo,7
134,7,autre,1
136,0,?,1
138,1,Hongrois,1
139,3,mo,11
14',5,quatre,1
146,8,demande,1
148,8,honneur,1
150,0,ou,2
154,1,an,2
159,4,Majeste,5
16',5,six,2
160,7,oblig,1
164,7,aussi,1
17',5,septem,1
170,1,ordinaire,1
174,0,Austriche,1
175,6,cette,3
177,2,France,8
178,0,heur,1
181,3,Pologne,10
184,3,au,12
186,7,?,3
189,3,ment,12
19',5,neuf,1
190,7,ordre,1
191,7,qua,1
198,3,ja,10
20,3,a,66
20',1,dix,1
201,3,que,20
202,1,secret,1
203,4,voir,1
206,2,entre,2
208,3,je,10
211,3,qui,6
213,3,vous,11
215,7,contraire,1
216,0,eux,5
22,5,b,6
222,1,service,1
223,1,vostre,7
229,6,ministre,1
231,6,quu,1
232,9,seul,2
234,2,argent,1
236,3,en,19
237,4,for,3
238,4,ju,2
239,1,mais,3
24,3,c,24
246,3,est,21
249,9,moyen,1
256,7,Espagnol,1
258,1,jamais,2
26,3,d,17
261,6,quelle,1
266,7,election,1
269,3,Mr,10
271,7,quelque,1
274,0,Alleman,1
278,3,il,23
28,3,e,45
280,3,pa,11
281,1,quil,9
285,6,cour,4
287,7,ga,3
288,0,jour,3
289,8,Madame,1
290,1,pe,7
293,1,xa,1
296,7,engage,4
297,4,ge,6
298,9,interest,3
299,7,maison,3
30,0,f,6
30',5,vingt,1
300,8,pi,1
301,6,quoique,1
307,1,gi,3
310,4,po,8
311,3,ra,24
32,3,g,11
320,4,pu,2
321,3,re,57
322,7,ta,3
324,7,ba,2
325,0,comme,10
328,7,intention,1
331,3,ri,15
332,3,te,20
334,7,be,2
335,3,Cardinal,21
339,6,na,6
341,3,ro,8
342,3,ti,20
344,4,bi,1
346,4,encore,1
347,0,gener,1
348,3,la,40
349,3,ne,33
35',5,?,1
351,1,ru,2
352,7,to,1
354,8,bo,2
355,4,da,1
356,6,Empereur,1
357,6,gouvern,1
358,3,le,54
359,3,ni,10
36,3,i,32
36',5,?,2
361,4,Roy,4
362,6,tu,2
363,4,zi,6
364,7,bu,1
365,3,de,72
368,4,li,2
369,9,no,2
370,3,par,10
374,0,beaucoup,1
375,0,di,6
377,0,grand,4
378,3,lo,9
379,2,nu,2
38',7,?,1
380,9,pall,1
382,1,tant,1
385,3,do,5
388,4,lu,2
390,2,point,1
392,3,tion,11
394,5,Bethune,2
395,3,du,7
398,8,lettre,3
399,0,Nonce,1
40,3,l,17
404,9,bon,1
405,7,dans,9
41,3,r,20
410,1,Pape,5
414,4,bien,5
42,4,m,10
420,3,pour,14
423,4,ki,7
426,7,fa,3
43,3,s,34
436,1,fe,4
437,4,ha,1
438,2,luy,2
44,3,n,68
442,0,tout,6
446,3,fi,8
447,3,he,10
449,1,nous,2
451,1,Reine,1
455,2,donne,2
456,8,fo,1
458,4,leur,5
46,3,o,14
461,4,sa,6
462,7,temps,3
468,0,long,1
470,0,pendant,1
471,3,se,33
48,3,p,17
52,3,r,41
54,3,s,39
56,3,t,50
58,3,u,33
60,3,x,7
62,3,y,15
64,4,z,2
66,3,&,38
68,3,st,7
70,3,nt,12
72,1,ns,1
74,3,er,7
95,3,ca,13
ψ,3,s,37
