token,cluster,plaintext,freq,pt_len
101,0,puis,3,4.0
102,0,si,8,2.0
103,2,va,2,2.0
105,2,ce,29,2.0
107,0,fai,15,3.0
109,0,ma,7,2.0
11',5,un,12,2.0
112,5,so,10,2.0
113,2,ve,21,2.0
115,3,ci,6,2.0
119,8,me,15,2.0
12',3,deux,2,4.0
120,8,on,2,2.0
121,5,particulier,3,11.0
122,1,su,6,2.0
123,9,vi,6,2.0
124,4,avec,8,4.0
125,8,co,22,2.0
127,1,facil,1,5.0
129,1,mi,16,2.0
13',3,?,1,
130,3,oit,12,3.0
132,8,sans,3,4.0
133,0,vo,7,2.0
134,2,autre,1,5.0
136,2,?,1,
138,0,Hongrois,1,8.0
139,5,mo,11,2.0
14',5,quatre,1,6.0
146,9,demande,1,7.0
148,8,honneur,1,7.0
150,2,ou,2,2.0
154,5,an,2,2.0
159,6,Majeste,5,7.0
16',8,six,2,3.0
160,9,oblig,1,5.0
164,0,aussi,1,5.0
17',5,septem,1,6.0
170,8,ordinaire,1,9.0
174,5,Austriche,1,9.0
175,6,cette,3,5.0
177,3,France,8,6.0
178,5,heur,1,4.0
181,6,Pologne,10,7.0
184,8,au,12,2.0
186,9,?,3,
189,0,ment,12,4.0
19',3,neuf,1,4.0
190,1,ordre,1,5.0
191,2,qua,1,3.0
198,3,ja,10,2.0
20,1,a,66,1.0
20',5,dix,1,3.0
201,8,que,20,3.0
202,0,secret,1,6.0
203,2,voir,1,4.0
206,5,entre,2,5.0
208,1,je,10,2.0
211,8,qui,6,3.0
213,0,vous,11,4.0
215,5,contraire,1,9.0
216,1,eux,5,3.0
22,5,b,6,1.0
222,5,service,1,7.0
223,0,vostre,7,6.0
229,9,ministre,1,8.0
231,5,quu,1,3.0
232,2,seul,2,4.0
234,8,argent,1,6.0
236,0,en,19,2.0
237,0,for,3,3.0
238,3,ju,2,2.0
239,5,mais,3,4.0
24,2,c,24,1.0
246,1,est,21,3.0
249,3,moyen,1,5.0
256,9,Espagnol,1,8.0
258,8,jamais,2,6.0
26,4,d,17,1.0
261,9,quelle,1,6.0
266,0,election,1,8.0
269,4,Mr,10,2.0
271,5,quelque,1,7.0
274,5,Alleman,1,7.0
278,5,il,23,2.0
28,5,e,45,1.0
280,3,pa,11,2.0
281,8,quil,9,4.0
285,9,cour,4,4.0
287,8,ga,3,2.0
288,9,jour,3,4.0
289,5,Madame,1,6.0
290,0,pe,7,2.0
293,8,xa,1,2.0
296,3,engage,4,6.0
297,2,ge,6,2.0
298,3,interest,3,8.0
299,9,maison,3,6.0
30,2,f,6,1.0
30',8,vingt,1,5.0
300,5,pi,1,2.0
301,9,quoique,1,7.0
307,1,gi,3,2.0
310,2,po,8,2.0
311,4,ra,24,2.0
32,1,g,11,1.0
320,9,pu,2,2.0
321,0,re,57,2.0
322,8,ta,3,2.0
324,3,ba,2,2.0
325,1,comme,10,5.0
328,1,intention,1,9.0
331,0,ri,15,2.0
332,5,te,20,2.0
334,3,be,2,2.0
335,7,Cardinal,21,8.0
339,3,na,6,2.0
341,8,ro,8,2.0
342,0,ti,20,2.0
344,2,bi,1,2.0
346,3,encore,1,6.0
347,2,gener,1,5.0
348,2,la,40,2.0
349,5,ne,33,2.0
35',3,?,1,
351,8,ru,2,2.0
352,8,to,1,2.0
354,5,bo,2,2.0
355,3,da,1,2.0
356,9,Empereur,1,8.0
357,1,gouvern,1,7.0
358,3,le,54,2.0
359,3,ni,10,2.0
36,9,i,32,1.0
36',3,?,2,
361,2,Roy,4,3.0
362,3,tu,2,2.0
363,7,zi,6,2.0
364,5,bu,1,2.0
365,9,de,72,2.0
368,2,li,2,2.0
369,3,no,2,2.0
370,3,par,10,3.0
374,9,beaucoup,1,8.0
375,9,di,6,2.0
377,3,grand,4,5.0
378,1,lo,9,2.0
379,1,nu,2,2.0
38',8,?,1,
380,9,pall,1,4.0
382,4,tant,1,4.0
385,1,do,5,2.0
388,8,lu,2,2.0
390,9,point,1,5.0
392,2,tion,11,4.0
394,3,Bethune,2,7.0
395,1,du,7,2.0
398,5,lettre,3,6.0
399,2,Nonce,1,5.0
40,0,l,17,1.0
404,9,bon,1,3.0
405,3,dans,9,4.0
41,3,r,20,1.0
410,0,Pape,5,4.0
414,8,bien,5,4.0
42,2,m,10,1.0
420,3,pour,14,4.0
423,7,ki,7,2.0
426,2,fa,3,2.0
43,9,s,34,1.0
436,8,fe,4,2.0
437,5,ha,1,2.0
438,2,luy,2,3.0
44,0,n,68,1.0
442,9,tout,6,4.0
446,1,fi,8,2.0
447,8,he,10,2.0
449,1,nous,2,4.0
451,1,Reine,1,5.0
455,1,donne,2,5.0
456,5,fo,1,2.0
458,6,leur,5,4.0
46,7,o,14,1.0
461,6,sa,6,2.0
462,1,temps,3,5.0
468,2,long,1,4.0
470,5,pendant,1,7.0
471,1,se,33,2.0
48,0,p,17,1.0
52,3,r,41,1.0
54,9,s,39,1.0
56,8,t,50,1.0
58,2,u,33,1.0
60,3,x,7,1.0
62,8,y,15,1.0
64,4,z,2,1.0
66,1,&,38,1.0
68,0,st,7,2.0
70,1,nt,12,2.0
72,0,ns,1,2.0
74,1,er,7,2.0
95,3,ca,13,2.0
ψ,6,s,37,1.0
