token,cluster,plaintext,freq
101,4,puis,3
102,2,si,8
103,2,va,2
105,4,ce,29
107,5,fai,15
109,5,ma,7
11',4,un,12
112,1,so,10
113,4,ve,21
115,6,ci,6
119,4,me,15
12',2,deux,2
120,5,on,2
121,0,particulier,3
122,5,su,6
123,8,vi,6
124,7,avec,8
125,2,co,22
127,2,facil,1
129,0,mi,16
13',3,?,1
130,2,oit,12
132,9,sans,3
133,1,vo,7
134,5,autre,1
136,4,?,1
138,4,Hongrois,1
139,4,mo,11
14',3,quatre,1
146,4,demande,1
148,4,honneur,1
150,0,ou,2
154,3,an,2
159,9,Majeste,5
16',3,six,2
160,2,oblig,1
164,5,aussi,1
17',3,septem,1
170,1,ordinaire,1
174,4,Austriche,1
175,6,cette,3
177,9,France,8
178,8,heur,1
181,9,Pologne,10
184,1,au,12
186,6,?,3
189,2,ment,12
19',3,neuf,1
190,3,ordre,1
191,6,qua,1
198,9,ja,10
20,4,a,66
20',4,dix,1
201,4,que,20
202,0,secret,1
203,1,voir,1
206,0,entre,2
208,5,je,10
211,4,qui,6
213,4,vous,11
215,3,contraire,1
216,6,eux,5
22,3,b,6
222,0,service,1
223,0,vostre,7
229,6,ministre,1
231,4,quu,1
232,8,seul,2
234,9,argent,1
236,4,en,19
237,5,for,3
238,1,ju,2
239,4,mais,3
24,5,c,24
246,4,est,21
249,8,moyen,1
256,9,Espagnol,1
258,4,jamais,2
26,7,d,17
261,6,quelle,1
266,2,election,1
269,7,Mr,10
271,3,quelque,1
274,4,Alleman,1
278,4,il,23
28,4,e,45
280,6,pa,11
281,7,quil,9
285,9,cour,4
287,5,ga,3
288,8,jour,3
289,4,Madame,1
290,3,pe,7
293,0,xa,1
296,6,engage,4
297,1,ge,6
298,8,interest,3
299,9,maison,3
30,8,f,6
30',3,vingt,1
300,4,pi,1
301,3,quoique,1
307,3,gi,3
310,1,po,8
311,7,ra,24
32,4,g,11
320,1,pu,2
321,4,re,57
322,5,ta,3
324,6,ba,2
325,8,comme,10
328,3,intention,1
331,2,ri,15
332,4,te,20
334,6,be,2
335,6,Cardinal,21
339,3,na,6
341,1,ro,8
342,2,ti,20
344,1,bi,1
346,4,encore,1
347,6,gener,1
348,4,la,40
349,4,ne,33
35',3,?,1
351,4,ru,2
352,5,to,1
354,4,bo,2
355,5,da,1
356,6,Empereur,1
357,2,gouvern,1
358,6,le,54
359,6,ni,10
36,4,i,32
36',3,?,2
361,5,Roy,4
362,2,tu,2
363,7,zi,6
364,2,bu,1
365,4,de,72
368,1,li,2
369,8,no,2
370,9,par,10
374,2,beaucoup,1
375,6,di,6
377,4,grand,4
378,4,lo,9
379,9,nu,2
38',2,?,1
380,8,pall,1
382,7,tant,1
385,3,do,5
388,1,lu,2
390,3,point,1
392,5,tion,11
394,5,Bethune,2
395,5,du,7
398,4,lettre,3
399,8,Nonce,1
40,2,l,17
404,8,bon,1
405,6,dans,9
41,4,r,20
410,5,Pape,5
414,1,bien,5
42,1,m,10
420,0,pour,14
423,7,ki,7
426,9,fa,3
43,4,s,34
436,8,fe,4
437,4,ha,1
438,9,luy,2
44,4,n,68
442,8,tout,6
446,2,fi,8
447,2,he,10
449,3,nous,2
451,4,Reine,1
455,9,donne,2
456,4,fo,1
458,9,leur,5
46,9,o,14
461,8,sa,6
462,8,temps,3
468,6,long,1
470,6,pendant,1
471,4,se,33
48,2,p,17
52,4,r,41
54,4,s,39
56,4,t,50
58,4,u,33
60,4,x,7
62,5,y,15
64,7,z,2
66,4,&,38
68,5,st,7
70,4,nt,12
72,4,ns,1
74,2,er,7
95,2,ca,13
ψ,4,s,37
