token,cluster,plaintext,freq
101,7,puis,3
102,7,si,8
103,0,va,2
105,8,ce,29
107,9,fai,15
109,2,ma,7
11',0,un,12
112,9,so,10
113,9,ve,21
115,5,ci,6
119,0,me,15
12',0,deux,2
120,0,on,2
121,8,particulier,3
122,1,su,6
123,5,vi,6
124,8,avec,8
125,0,co,22
127,6,facil,1
129,8,mi,16
13',6,?,1
130,6,oit,12
132,9,sans,3
133,9,vo,7
134,8,autre,1
136,1,?,1
138,7,Hongrois,1
139,2,mo,11
14',4,quatre,1
146,2,demande,1
148,2,honneur,1
150,0,ou,2
154,8,an,2
159,2,Majeste,5
16',4,six,2
160,0,oblig,1
164,2,aussi,1
17',4,septem,1
170,6,ordinaire,1
174,8,Austriche,1
175,6,cette,3
177,2,France,8
178,1,heur,1
181,2,Pologne,10
184,7,au,12
186,3,?,3
189,0,ment,12
19',4,neuf,1
190,3,ordre,1
191,3,qua,1
198,1,ja,10
20,0,a,66
20',7,dix,1
201,2,que,20
202,7,secret,1
203,9,voir,1
206,9,entre,2
208,8,je,10
211,0,qui,6
213,7,vous,11
215,3,contraire,1
216,1,eux,5
22,8,b,6
222,7,service,1
223,8,vostre,7
229,5,ministre,1
231,6,quu,1
232,5,seul,2
234,9,argent,1
236,0,en,19
237,8,for,3
238,9,ju,2
239,7,mais,3
24,2,c,24
246,1,est,21
249,5,moyen,1
256,3,Espagnol,1
258,7,jamais,2
26,7,d,17
261,6,quelle,1
266,0,election,1
269,5,Mr,10
271,8,quelque,1
274,1,Alleman,1
278,8,il,23
28,0,e,45
280,5,pa,11
281,7,quil,9
285,6,cour,4
287,8,ga,3
288,1,jour,3
289,2,Madame,1
290,8,pe,7
293,8,xa,1
296,3,engage,4
297,9,ge,6
298,5,interest,3
299,3,maison,3
30,1,f,6
30',4,vingt,1
300,2,pi,1
301,6,quoique,1
307,8,gi,3
310,0,po,8
311,5,ra,24
32,8,g,11
320,9,pu,2
321,0,re,57
322,8,ta,3
324,5,ba,2
325,1,comme,10
328,3,intention,1
331,0,ri,15
332,9,te,20
334,5,be,2
335,5,Cardinal,21
339,6,na,6
341,0,ro,8
342,0,ti,20
344,0,bi,1
346,2,encore,1
347,1,gener,1
348,1,la,40
349,8,ne,33
35',4,?,1
351,7,ru,2
352,2,to,1
354,2,bo,2
355,0,da,1
356,6,Empereur,1
357,6,gouvern,1
358,5,le,54
359,5,ni,10
36,2,i,32
36',4,?,2
361,2,Roy,4
362,6,tu,2
363,5,zi,6
364,0,bu,1
365,2,de,72
368,9,li,2
369,5,no,2
370,9,par,10
374,0,beaucoup,1
375,0,di,6
377,1,grand,4
378,0,lo,9
379,9,nu,2
38',0,?,1
380,5,pall,1
382,7,tant,1
385,8,do,5
388,9,lu,2
390,8,point,1
392,2,tion,11
394,2,Bethune,2
395,2,du,7
398,2,lettre,3
399,1,Nonce,1
40,0,l,17
404,5,bon,1
405,3,dans,9
41,0,r,20
410,2,Pape,5
414,9,bien,5
42,0,m,10
420,2,pour,14
423,5,ki,7
426,3,fa,3
43,2,s,34
436,1,fe,4
437,7,ha,1
438,9,luy,2
44,0,n,68
442,1,tout,6
446,0,fi,8
447,2,he,10
449,8,nous,2
451,1,Reine,1
455,2,donne,2
456,2,fo,1
458,9,leur,5
46,2,o,14
461,1,sa,6
462,1,temps,3
468,5,long,1
470,5,pendant,1
471,2,se,33
48,0,p,17
52,2,r,41
54,2,s,39
56,0,t,50
58,9,u,33
60,8,x,7
62,2,y,15
64,5,z,2
66,1,&,38
68,7,st,7
70,1,nt,12
72,7,ns,1
74,0,er,7
95,9,ca,13
ψ,2,s,37
