token,cluster,plaintext,freq
101,3,puis,3
102,3,si,8
103,9,va,2
105,0,ce,29
107,6,fai,15
109,1,ma,7
11',3,un,12
112,6,so,10
113,3,ve,21
115,4,ci,6
119,0,me,15
12',9,deux,2
120,3,on,2
121,0,particulier,3
122,1,su,6
123,4,vi,6
124,7,avec,8
125,9,co,22
127,2,facil,1
129,0,mi,16
13',3,?,1
130,9,oit,12
132,6,sans,3
133,6,vo,7
134,3,autre,1
136,3,?,1
138,3,Hongrois,1
139,1,mo,11
14',8,quatre,1
146,2,demande,1
148,3,honneur,1
150,0,ou,2
154,0,an,2
159,2,Majeste,5
16',8,six,2
160,5,oblig,1
164,3,aussi,1
17',8,septem,1
170,3,ordinaire,1
174,3,Austriche,1
175,7,cette,3
177,1,France,8
178,5,heur,1
181,2,Pologne,10
184,4,au,12
186,4,?,3
189,9,ment,12
19',3,neuf,1
190,5,ordre,1
191,3,qua,1
198,1,ja,10
20,2,a,66
20',3,dix,1
201,3,que,20
202,3,secret,1
203,6,voir,1
206,6,entre,2
208,1,je,10
211,3,qui,6
213,3,vous,11
215,5,contraire,1
216,5,eux,5
22,8,b,6
222,3,service,1
223,0,vostre,7
229,5,ministre,1
231,3,quu,1
232,3,seul,2
234,3,argent,1
236,0,en,19
237,6,for,3
238,6,ju,2
239,3,mais,3
24,1,c,24
246,2,est,21
249,5,moyen,1
256,1,Espagnol,1
258,3,jamais,2
26,7,d,17
261,3,quelle,1
266,3,election,1
269,7,Mr,10
271,3,quelque,1
274,3,Alleman,1
278,2,il,23
28,0,e,45
280,9,pa,11
281,3,quil,9
285,2,cour,4
287,1,ga,3
288,5,jour,3
289,3,Madame,1
290,0,pe,7
293,3,xa,1
296,4,engage,4
297,6,ge,6
298,5,interest,3
299,5,maison,3
30,6,f,6
30',8,vingt,1
300,3,pi,1
301,9,quoique,1
307,3,gi,3
310,6,po,8
311,7,ra,24
32,0,g,11
320,6,pu,2
321,6,re,57
322,1,ta,3
324,4,ba,2
325,5,comme,10
328,3,intention,1
331,9,ri,15
332,6,te,20
334,4,be,2
335,4,Cardinal,21
339,9,na,6
341,6,ro,8
342,9,ti,20
344,6,bi,1
346,3,encore,1
347,5,gener,1
348,1,la,40
349,0,ne,33
35',8,?,1
351,3,ru,2
352,3,to,1
354,2,bo,2
355,3,da,1
356,5,Empereur,1
357,2,gouvern,1
358,4,le,54
359,4,ni,10
36,2,i,32
36',8,?,2
361,1,Roy,4
362,9,tu,2
363,7,zi,6
364,9,bu,1
365,3,de,72
368,6,li,2
369,4,no,2
370,5,par,10
374,3,beaucoup,1
375,5,di,6
377,3,grand,4
378,0,lo,9
379,6,nu,2
38',3,?,1
380,5,pall,1
382,3,tant,1
385,2,do,5
388,6,lu,2
390,2,point,1
392,1,tion,11
394,1,Bethune,2
395,2,du,7
398,1,lettre,3
399,5,Nonce,1
40,9,l,17
404,5,bon,1
405,4,dans,9
41,3,r,20
410,1,Pape,5
414,6,bien,5
42,6,m,10
420,3,pour,14
423,7,ki,7
426,1,fa,3
43,2,s,34
436,1,fe,4
437,3,ha,1
438,1,luy,2
44,3,n,68
442,5,tout,6
446,9,fi,8
447,1,he,10
449,0,nous,2
451,3,Reine,1
455,1,donne,2
456,2,fo,1
458,5,leur,5
46,7,o,14
461,5,sa,6
462,5,temps,3
468,3,long,1
470,3,pendant,1
471,2,se,33
48,9,p,17
52,3,r,41
54,2,s,39
56,6,t,50
58,6,u,33
60,3,x,7
62,1,y,15
64,7,z,2
66,5,&,38
68,3,st,7
70,2,nt,12
72,3,ns,1
74,9,er,7
95,3,ca,13
ψ,2,s,37
