token,cluster,plaintext,freq,pt_len
101,5,puis,3,4.0
102,5,si,8,2.0
103,6,va,2,2.0
105,2,ce,29,2.0
107,2,fai,15,3.0
109,7,ma,7,2.0
11',5,un,12,2.0
112,2,so,10,2.0
113,2,ve,21,2.0
115,6,ci,6,2.0
119,2,me,15,2.0
12',6,deux,2,4.0
120,2,on,2,2.0
121,7,particulier,3,11.0
122,9,su,6,2.0
123,0,vi,6,2.0
124,4,avec,8,4.0
125,6,co,22,2.0
127,6,facil,1,5.0
129,6,mi,16,2.0
13',6,?,1,
130,6,oit,12,3.0
132,8,sans,3,4.0
133,1,vo,7,2.0
134,9,autre,1,5.0
136,2,?,1,
138,5,Hongrois,1,8.0
139,9,mo,11,2.0
14',3,quatre,1,6.0
146,7,demande,1,7.0
148,7,honneur,1,7.0
150,5,ou,2,2.0
154,6,an,2,2.0
159,7,Majeste,5,7.0
16',3,six,2,3.0
160,1,oblig,1,5.0
164,9,aussi,1,5.0
17',3,septem,1,6.0
170,1,ordinaire,1,9.0
174,5,Austriche,1,9.0
175,4,cette,3,5.0
177,8,France,8,6.0
178,0,heur,1,4.0
181,7,Pologne,10,7.0
184,2,au,12,2.0
186,2,?,3,
189,6,ment,12,4.0
19',3,neuf,1,4.0
190,6,ordre,1,5.0
191,4,qua,1,3.0
198,2,ja,10,2.0
20,2,a,66,1.0
20',5,dix,1,3.0
201,2,que,20,3.0
202,5,secret,1,6.0
203,1,voir,1,4.0
206,8,entre,2,5.0
208,9,je,10,2.0
211,2,qui,6,3.0
213,5,vous,11,4.0
215,9,contraire,1,9.0
216,2,eux,5,3.0
22,3,b,6,1.0
222,5,service,1,7.0
223,5,vostre,7,6.0
229,4,ministre,1,8.0
231,6,quu,1,3.0
232,0,seul,2,4.0
234,8,argent,1,6.0
236,5,en,19,2.0
237,9,for,3,3.0
238,1,ju,2,2.0
239,5,mais,3,4.0
24,9,c,24,1.0
246,2,est,21,3.0
249,0,moyen,1,5.0
256,9,Espagnol,1,8.0
258,5,jamais,2,6.0
26,4,d,17,1.0
261,4,quelle,1,6.0
266,6,election,1,8.0
269,4,Mr,10,2.0
271,9,quelque,1,7.0
274,6,Alleman,1,7.0
278,6,il,23,2.0
28,6,e,45,1.0
280,6,pa,11,2.0
281,2,quil,9,4.0
285,1,cour,4,4.0
287,9,ga,3,2.0
288,2,jour,3,4.0
289,7,Madame,1,6.0
290,8,pe,7,2.0
293,9,xa,1,2.0
296,9,engage,4,6.0
297,1,ge,6,2.0
298,0,interest,3,8.0
299,9,maison,3,6.0
30,2,f,6,1.0
30',3,vingt,1,5.0
300,7,pi,1,2.0
301,6,quoique,1,7.0
307,9,gi,3,2.0
310,1,po,8,2.0
311,4,ra,24,2.0
32,6,g,11,1.0
320,1,pu,2,2.0
321,2,re,57,2.0
322,9,ta,3,2.0
324,4,ba,2,2.0
325,0,comme,10,5.0
328,6,intention,1,9.0
331,6,ri,15,2.0
332,2,te,20,2.0
334,4,be,2,2.0
335,4,Cardinal,21,8.0
339,6,na,6,2.0
341,1,ro,8,2.0
342,2,ti,20,2.0
344,1,bi,1,2.0
346,9,encore,1,6.0
347,2,gener,1,5.0
348,2,la,40,2.0
349,6,ne,33,2.0
35',3,?,1,
351,5,ru,2,2.0
352,9,to,1,2.0
354,7,bo,2,2.0
355,9,da,1,2.0
356,4,Empereur,1,8.0
357,6,gouvern,1,7.0
358,4,le,54,2.0
359,2,ni,10,2.0
36,2,i,32,1.0
36',3,?,2,
361,2,Roy,4,3.0
362,6,tu,2,2.0
363,4,zi,6,2.0
364,6,bu,1,2.0
365,2,de,72,2.0
368,1,li,2,2.0
369,0,no,2,2.0
370,8,par,10,3.0
374,6,beaucoup,1,8.0
375,6,di,6,2.0
377,6,grand,4,5.0
378,6,lo,9,2.0
379,8,nu,2,2.0
38',6,?,1,
380,0,pall,1,4.0
382,4,tant,1,4.0
385,9,do,5,2.0
388,1,lu,2,2.0
390,9,point,1,5.0
392,9,tion,11,4.0
394,3,Bethune,2,7.0
395,9,du,7,2.0
398,7,lettre,3,6.0
399,2,Nonce,1,5.0
40,2,l,17,1.0
404,0,bon,1,3.0
405,2,dans,9,4.0
41,2,r,20,1.0
410,9,Pape,5,4.0
414,1,bien,5,4.0
42,1,m,10,1.0
420,2,pour,14,4.0
423,4,ki,7,2.0
426,9,fa,3,2.0
43,2,s,34,1.0
436,2,fe,4,2.0
437,5,ha,1,2.0
438,8,luy,2,3.0
44,2,n,68,1.0
442,2,tout,6,4.0
446,6,fi,8,2.0
447,9,he,10,2.0
449,6,nous,2,4.0
451,2,Reine,1,5.0
455,8,donne,2,5.0
456,7,fo,1,2.0
458,1,leur,5,4.0
46,4,o,14,1.0
461,0,sa,6,2.0
462,2,temps,3,5.0
468,6,long,1,4.0
470,6,pendant,1,7.0
471,6,se,33,2.0
48,5,p,17,1.0
52,2,r,41,1.0
54,2,s,39,1.0
56,2,t,50,1.0
58,2,u,33,1.0
60,7,x,7,1.0
62,9,y,15,1.0
64,4,z,2,1.0
66,2,&,38,1.0
68,5,st,7,2.0
70,2,nt,12,2.0
72,5,ns,1,2.0
74,6,er,7,2.0
95,9,ca,13,2.0
ψ,2,s,37,1.0
