token,cluster,plaintext,freq,pt_len
101,7,puis,3,4.0
102,7,si,8,2.0
103,2,va,2,2.0
105,0,ce,29,2.0
107,5,fai,15,3.0
109,7,ma,7,2.0
11',7,un,12,2.0
112,5,so,10,2.0
113,5,ve,21,2.0
115,8,ci,6,2.0
119,5,me,15,2.0
12',2,deux,2,4.0
120,2,on,2,2.0
121,6,particulier,3,11.0
122,0,su,6,2.0
123,7,vi,6,2.0
124,0,avec,8,4.0
125,5,co,22,2.0
127,2,facil,1,5.0
129,0,mi,16,2.0
13',4,?,1,
130,2,oit,12,3.0
132,6,sans,3,4.0
133,1,vo,7,2.0
134,0,autre,1,5.0
136,8,?,1,
138,7,Hongrois,1,8.0
139,5,mo,11,2.0
14',4,quatre,1,6.0
146,6,demande,1,7.0
148,7,honneur,1,7.0
150,1,ou,2,2.0
154,0,an,2,2.0
159,5,Majeste,5,7.0
16',4,six,2,3.0
160,2,oblig,1,5.0
164,0,aussi,1,5.0
17',4,septem,1,6.0
170,0,ordinaire,1,9.0
174,7,Austriche,1,9.0
175,8,cette,3,5.0
177,6,France,8,6.0
178,8,heur,1,4.0
181,5,Pologne,10,7.0
184,5,au,12,2.0
186,3,?,3,
189,2,ment,12,4.0
19',4,neuf,1,4.0
190,3,ordre,1,5.0
191,3,qua,1,3.0
198,5,ja,10,2.0
20,5,a,66,1.0
20',7,dix,1,3.0
201,5,que,20,3.0
202,7,secret,1,6.0
203,1,voir,1,4.0
206,6,entre,2,5.0
208,0,je,10,2.0
211,5,qui,6,3.0
213,7,vous,11,4.0
215,3,contraire,1,9.0
216,8,eux,5,3.0
22,4,b,6,1.0
222,7,service,1,7.0
223,0,vostre,7,6.0
229,8,ministre,1,8.0
231,2,quu,1,3.0
232,9,seul,2,4.0
234,6,argent,1,6.0
236,5,en,19,2.0
237,0,for,3,3.0
238,1,ju,2,2.0
239,7,mais,3,4.0
24,5,c,24,1.0
246,5,est,21,3.0
249,9,moyen,1,5.0
256,3,Espagnol,1,8.0
258,7,jamais,2,6.0
26,5,d,17,1.0
261,8,quelle,1,6.0
266,2,election,1,8.0
269,5,Mr,10,2.0
271,0,quelque,1,7.0
274,7,Alleman,1,7.0
278,5,il,23,2.0
28,5,e,45,1.0
280,8,pa,11,2.0
281,5,quil,9,4.0
285,8,cour,4,4.0
287,0,ga,3,2.0
288,7,jour,3,4.0
289,7,Madame,1,6.0
290,6,pe,7,2.0
293,0,xa,1,2.0
296,3,engage,4,6.0
297,1,ge,6,2.0
298,9,interest,3,8.0
299,3,maison,3,6.0
30,8,f,6,1.0
30',4,vingt,1,5.0
300,7,pi,1,2.0
301,2,quoique,1,7.0
307,0,gi,3,2.0
310,1,po,8,2.0
311,5,ra,24,2.0
32,5,g,11,1.0
320,1,pu,2,2.0
321,5,re,57,2.0
322,0,ta,3,2.0
324,3,ba,2,2.0
325,0,comme,10,5.0
328,3,intention,1,9.0
331,2,ri,15,2.0
332,5,te,20,2.0
334,3,be,2,2.0
335,5,Cardinal,21,8.0
339,2,na,6,2.0
341,2,ro,8,2.0
342,5,ti,20,2.0
344,1,bi,1,2.0
346,5,encore,1,6.0
347,8,gener,1,5.0
348,5,la,40,2.0
349,5,ne,33,2.0
35',4,?,1,
351,7,ru,2,2.0
352,0,to,1,2.0
354,6,bo,2,2.0
355,1,da,1,2.0
356,8,Empereur,1,8.0
357,2,gouvern,1,7.0
358,5,le,54,2.0
359,5,ni,10,2.0
36,5,i,32,1.0
36',4,?,2,
361,7,Roy,4,3.0
362,2,tu,2,2.0
363,5,zi,6,2.0
364,2,bu,1,2.0
365,5,de,72,2.0
368,1,li,2,2.0
369,9,no,2,2.0
370,5,par,10,3.0
374,2,beaucoup,1,8.0
375,8,di,6,2.0
377,7,grand,4,5.0
378,5,lo,9,2.0
379,6,nu,2,2.0
38',2,?,1,
380,9,pall,1,4.0
382,5,tant,1,4.0
385,0,do,5,2.0
388,1,lu,2,2.0
390,6,point,1,5.0
392,5,tion,11,4.0
394,4,Bethune,2,7.0
395,0,du,7,2.0
398,7,lettre,3,6.0
399,3,Nonce,1,5.0
40,2,l,17,1.0
404,9,bon,1,3.0
405,3,dans,9,4.0
41,5,r,20,1.0
410,0,Pape,5,4.0
414,1,bien,5,4.0
42,1,m,10,1.0
420,5,pour,14,4.0
423,5,ki,7,2.0
426,3,fa,3,2.0
43,5,s,34,1.0
436,7,fe,4,2.0
437,7,ha,1,2.0
438,6,luy,2,3.0
44,5,n,68,1.0
442,3,tout,6,4.0
446,2,fi,8,2.0
447,5,he,10,2.0
449,0,nous,2,4.0
451,3,Reine,1,5.0
455,6,donne,2,5.0
456,6,fo,1,2.0
458,1,leur,5,4.0
46,6,o,14,1.0
461,9,sa,6,2.0
462,3,temps,3,5.0
468,8,long,1,4.0
470,8,pendant,1,7.0
471,5,se,33,2.0
48,1,p,17,1.0
52,5,r,41,1.0
54,5,s,39,1.0
56,5,t,50,1.0
58,5,u,33,1.0
60,5,x,7,1.0
62,5,y,15,1.0
64,5,z,2,1.0
66,5,&,38,1.0
68,7,st,7,2.0
70,5,nt,12,2.0
72,7,ns,1,2.0
74,2,er,7,2.0
95,5,ca,13,2.0
ψ,5,s,37,1.0
