token,cluster,plaintext,freq,pt_len
101,9,puis,3,4.0
102,7,si,8,2.0
103,8,va,2,2.0
105,2,ce,29,2.0
107,0,fai,15,3.0
109,9,ma,7,2.0
11',2,un,12,2.0
112,2,so,10,2.0
113,2,ve,21,2.0
115,2,ci,6,2.0
119,2,me,15,2.0
12',8,deux,2,4.0
120,8,on,2,2.0
121,7,particulier,3,11.0
122,1,su,6,2.0
123,1,vi,6,2.0
124,2,avec,8,4.0
125,8,co,22,2.0
127,3,facil,1,5.0
129,8,mi,16,2.0
13',3,?,1,
130,8,oit,12,3.0
132,0,sans,3,4.0
133,5,vo,7,2.0
134,4,autre,1,5.0
136,0,?,1,
138,9,Hongrois,1,8.0
139,2,mo,11,2.0
14',6,quatre,1,6.0
146,0,demande,1,7.0
148,2,honneur,1,7.0
150,8,ou,2,2.0
154,8,an,2,2.0
159,0,Majeste,5,7.0
16',6,six,2,3.0
160,8,oblig,1,5.0
164,0,aussi,1,5.0
17',6,septem,1,6.0
170,8,ordinaire,1,9.0
174,7,Austriche,1,9.0
175,3,cette,3,5.0
177,0,France,8,6.0
178,1,heur,1,4.0
181,0,Pologne,10,7.0
184,2,au,12,2.0
186,1,?,3,
189,8,ment,12,4.0
19',6,neuf,1,4.0
190,8,ordre,1,5.0
191,4,qua,1,3.0
198,1,ja,10,2.0
20,2,a,66,1.0
20',9,dix,1,3.0
201,2,que,20,3.0
202,9,secret,1,6.0
203,5,voir,1,4.0
206,0,entre,2,5.0
208,0,je,10,2.0
211,2,qui,6,3.0
213,9,vous,11,4.0
215,4,contraire,1,9.0
216,5,eux,5,3.0
22,6,b,6,1.0
222,9,service,1,7.0
223,4,vostre,7,6.0
229,3,ministre,1,8.0
231,3,quu,1,3.0
232,9,seul,2,4.0
234,0,argent,1,6.0
236,8,en,19,2.0
237,4,for,3,3.0
238,5,ju,2,2.0
239,7,mais,3,4.0
24,2,c,24,1.0
246,2,est,21,3.0
249,1,moyen,1,5.0
256,1,Espagnol,1,8.0
258,9,jamais,2,6.0
26,2,d,17,1.0
261,3,quelle,1,6.0
266,8,election,1,8.0
269,2,Mr,10,2.0
271,4,quelque,1,7.0
274,7,Alleman,1,7.0
278,2,il,23,2.0
28,2,e,45,1.0
280,2,pa,11,2.0
281,2,quil,9,4.0
285,3,cour,4,4.0
287,4,ga,3,2.0
288,1,jour,3,4.0
289,0,Madame,1,6.0
290,0,pe,7,2.0
293,4,xa,1,2.0
296,4,engage,4,6.0
297,5,ge,6,2.0
298,1,interest,3,8.0
299,0,maison,3,6.0
30,1,f,6,1.0
30',6,vingt,1,5.0
300,0,pi,1,2.0
301,3,quoique,1,7.0
307,0,gi,3,2.0
310,5,po,8,2.0
311,2,ra,24,2.0
32,4,g,11,1.0
320,5,pu,2,2.0
321,2,re,57,2.0
322,4,ta,3,2.0
324,1,ba,2,2.0
325,1,comme,10,5.0
328,8,intention,1,9.0
331,8,ri,15,2.0
332,2,te,20,2.0
334,1,be,2,2.0
335,2,Cardinal,21,8.0
339,3,na,6,2.0
341,8,ro,8,2.0
342,8,ti,20,2.0
344,5,bi,1,2.0
346,0,encore,1,6.0
347,1,gener,1,5.0
348,2,la,40,2.0
349,2,ne,33,2.0
35',6,?,1,
351,9,ru,2,2.0
352,0,to,1,2.0
354,0,bo,2,2.0
355,2,da,1,2.0
356,3,Empereur,1,8.0
357,3,gouvern,1,7.0
358,2,le,54,2.0
359,2,ni,10,2.0
36,2,i,32,1.0
36',6,?,2,
361,0,Roy,4,3.0
362,8,tu,2,2.0
363,3,zi,6,2.0
364,8,bu,1,2.0
365,2,de,72,2.0
368,5,li,2,2.0
369,2,no,2,2.0
370,0,par,10,3.0
374,8,beaucoup,1,8.0
375,2,di,6,2.0
377,7,grand,4,5.0
378,2,lo,9,2.0
379,0,nu,2,2.0
38',8,?,1,
380,1,pall,1,4.0
382,2,tant,1,4.0
385,4,do,5,2.0
388,5,lu,2,2.0
390,0,point,1,5.0
392,0,tion,11,4.0
394,6,Bethune,2,7.0
395,0,du,7,2.0
398,0,lettre,3,6.0
399,1,Nonce,1,5.0
40,8,l,17,1.0
404,1,bon,1,3.0
405,8,dans,9,4.0
41,2,r,20,1.0
410,0,Pape,5,4.0
414,5,bien,5,4.0
42,5,m,10,1.0
420,2,pour,14,4.0
423,3,ki,7,2.0
426,0,fa,3,2.0
43,2,s,34,1.0
436,1,fe,4,2.0
437,9,ha,1,2.0
438,0,luy,2,3.0
44,2,n,68,1.0
442,1,tout,6,4.0
446,8,fi,8,2.0
447,0,he,10,2.0
449,4,nous,2,4.0
451,1,Reine,1,5.0
455,0,donne,2,5.0
456,0,fo,1,2.0
458,0,leur,5,4.0
46,0,o,14,1.0
461,1,sa,6,2.0
462,1,temps,3,5.0
468,2,long,1,4.0
470,2,pendant,1,7.0
471,2,se,33,2.0
48,8,p,17,1.0
52,2,r,41,1.0
54,2,s,39,1.0
56,2,t,50,1.0
58,2,u,33,1.0
60,2,x,7,1.0
62,0,y,15,1.0
64,2,z,2,1.0
66,2,&,38,1.0
68,9,st,7,2.0
70,0,nt,12,2.0
72,9,ns,1,2.0
74,8,er,7,2.0
95,2,ca,13,2.0
ψ,2,s,37,1.0
