token,cluster,plaintext,freq
101,5,puis,3
102,1,si,8
103,9,va,2
105,1,ce,29
107,1,fai,15
109,3,ma,7
11',1,un,12
112,1,so,10
113,1,ve,21
115,9,ci,6
119,1,me,15
12',9,deux,2
120,1,on,2
121,3,particulier,3
122,6,su,6
123,6,vi,6
124,7,avec,8
125,1,co,22
127,9,facil,1
129,1,mi,16
13',9,?,1
130,9,oit,12
132,2,sans,3
133,0,vo,7
134,2,autre,1
136,6,?,1
138,5,Hongrois,1
139,1,mo,11
14',4,quatre,1
146,3,demande,1
148,3,honneur,1
150,8,ou,2
154,9,an,2
159,3,Majeste,5
16',4,six,2
160,8,oblig,1
164,2,aussi,1
17',4,septem,1
170,9,ordinaire,1
174,1,Austriche,1
175,9,cette,3
177,2,France,8
178,6,heur,1
181,6,Pologne,10
184,7,au,12
186,6,?,3
189,9,ment,12
19',4,neuf,1
190,9,ordre,1
191,7,qua,1
198,6,ja,10
20,1,a,66
20',5,dix,1
201,1,que,20
202,5,secret,1
203,0,voir,1
206,6,entre,2
208,2,je,10
211,1,qui,6
213,5,vous,11
215,2,contraire,1
216,6,eux,5
22,4,b,6
222,5,service,1
223,5,vostre,7
229,9,ministre,1
231,9,quu,1
232,5,seul,2
234,2,argent,1
236,1,en,19
237,3,for,3
238,0,ju,2
239,5,mais,3
24,1,c,24
246,6,est,21
249,6,moyen,1
256,6,Espagnol,1
258,5,jamais,2
26,7,d,17
261,9,quelle,1
266,8,election,1
269,7,Mr,10
271,2,quelque,1
274,1,Alleman,1
278,1,il,23
28,1,e,45
280,9,pa,11
281,7,quil,9
285,0,cour,4
287,2,ga,3
288,6,jour,3
289,1,Madame,1
290,2,pe,7
293,2,xa,1
296,7,engage,4
297,0,ge,6
298,6,interest,3
299,8,maison,3
30,6,f,6
30',4,vingt,1
300,1,pi,1
301,9,quoique,1
307,2,gi,3
310,8,po,8
311,7,ra,24
32,1,g,11
320,0,pu,2
321,1,re,57
322,2,ta,3
324,7,ba,2
325,6,comme,10
328,9,intention,1
331,1,ri,15
332,1,te,20
334,7,be,2
335,7,Cardinal,21
339,9,na,6
341,8,ro,8
342,1,ti,20
344,8,bi,1
346,1,encore,1
347,6,gener,1
348,1,la,40
349,1,ne,33
35',4,?,1
351,5,ru,2
352,2,to,1
354,3,bo,2
355,8,da,1
356,9,Empereur,1
357,9,gouvern,1
358,1,le,54
359,6,ni,10
36,1,i,32
36',4,?,2
361,1,Roy,4
362,9,tu,2
363,7,zi,6
364,8,bu,1
365,1,de,72
368,0,li,2
369,7,no,2
370,2,par,10
374,9,beaucoup,1
375,1,di,6
377,1,grand,4
378,1,lo,9
379,2,nu,2
38',9,?,1
380,6,pall,1
382,7,tant,1
385,2,do,5
388,0,lu,2
390,2,point,1
392,2,tion,11
394,4,Bethune,2
395,2,du,7
398,3,lettre,3
399,6,Nonce,1
40,1,l,17
404,6,bon,1
405,6,dans,9
41,1,r,20
410,2,Pape,5
414,0,bien,5
42,8,m,10
420,1,pour,14
423,7,ki,7
426,2,fa,3
43,1,s,34
436,6,fe,4
437,5,ha,1
438,2,luy,2
44,1,n,68
442,6,tout,6
446,9,fi,8
447,2,he,10
449,9,nous,2
451,1,Reine,1
455,2,donne,2
456,3,fo,1
458,8,leur,5
46,7,o,14
461,6,sa,6
462,6,temps,3
468,9,long,1
470,9,pendant,1
471,1,se,33
48,9,p,17
52,1,r,41
54,1,s,39
56,1,t,50
58,1,u,33
60,1,x,7
62,2,y,15
64,7,z,2
66,1,&,38
68,5,st,7
70,1,nt,12
72,5,ns,1
74,8,er,7
95,2,ca,13
ψ,1,s,37
