token,cluster,plaintext,freq
101,9,puis,3
102,9,si,8
103,0,va,2
105,2,ce,29
107,9,fai,15
109,9,ma,7
11',9,un,12
112,8,so,10
113,1,ve,21
115,4,ci,6
119,9,me,15
12',4,deux,2
120,4,on,2
121,9,particulier,3
122,5,su,6
123,5,vi,6
124,7,avec,8
125,2,co,22
127,0,facil,1
129,2,mi,16
13',3,?,1
130,0,oit,12
132,2,sans,3
133,8,vo,7
134,2,autre,1
136,1,?,1
138,9,Hongrois,1
139,1,mo,11
14',3,quatre,1
146,9,demande,1
148,9,honneur,1
150,2,ou,2
154,2,an,2
159,1,Majeste,5
16',3,six,2
160,4,oblig,1
164,9,aussi,1
17',3,septem,1
170,0,ordinaire,1
174,9,Austriche,1
175,7,cette,3
177,6,France,8
178,5,heur,1
181,1,Pologne,10
184,4,au,12
186,5,?,3
189,2,ment,12
19',3,neuf,1
190,1,ordre,1
191,2,qua,1
198,8,ja,10
20,1,a,66
20',9,dix,1
201,8,que,20
202,9,secret,1
203,8,voir,1
206,2,entre,2
208,2,je,10
211,1,qui,6
213,9,vous,11
215,2,contraire,1
216,5,eux,5
22,3,b,6
222,9,service,1
223,2,vostre,7
229,4,ministre,1
231,0,quu,1
232,8,seul,2
234,6,argent,1
236,2,en,19
237,2,for,3
238,8,ju,2
239,9,mais,3
24,6,c,24
246,0,est,21
249,8,moyen,1
256,6,Espagnol,1
258,9,jamais,2
26,7,d,17
261,0,quelle,1
266,4,election,1
269,5,Mr,10
271,2,quelque,1
274,1,Alleman,1
278,0,il,23
28,9,e,45
280,4,pa,11
281,7,quil,9
285,0,cour,4
287,2,ga,3
288,5,jour,3
289,9,Madame,1
290,2,pe,7
293,2,xa,1
296,5,engage,4
297,8,ge,6
298,5,interest,3
299,6,maison,3
30,6,f,6
30',3,vingt,1
300,1,pi,1
301,0,quoique,1
307,2,gi,3
310,4,po,8
311,7,ra,24
32,2,g,11
320,8,pu,2
321,2,re,57
322,6,ta,3
324,5,ba,2
325,8,comme,10
328,2,intention,1
331,4,ri,15
332,9,te,20
334,5,be,2
335,5,Cardinal,21
339,0,na,6
341,0,ro,8
342,2,ti,20
344,4,bi,1
346,1,encore,1
347,5,gener,1
348,8,la,40
349,2,ne,33
35',3,?,1
351,9,ru,2
352,9,to,1
354,1,bo,2
355,9,da,1
356,0,Empereur,1
357,0,gouvern,1
358,5,le,54
359,4,ni,10
36,8,i,32
36',3,?,2
361,1,Roy,4
362,0,tu,2
363,7,zi,6
364,4,bu,1
365,1,de,72
368,4,li,2
369,4,no,2
370,1,par,10
374,4,beaucoup,1
375,4,di,6
377,1,grand,4
378,8,lo,9
379,6,nu,2
38',4,?,1
380,5,pall,1
382,7,tant,1
385,2,do,5
388,8,lu,2
390,1,point,1
392,6,tion,11
394,3,Bethune,2
395,1,du,7
398,9,lettre,3
399,5,Nonce,1
40,4,l,17
404,5,bon,1
405,5,dans,9
41,1,r,20
410,6,Pape,5
414,0,bien,5
42,4,m,10
420,9,pour,14
423,7,ki,7
426,6,fa,3
43,1,s,34
436,6,fe,4
437,9,ha,1
438,6,luy,2
44,2,n,68
442,5,tout,6
446,4,fi,8
447,6,he,10
449,2,nous,2
451,8,Reine,1
455,6,donne,2
456,9,fo,1
458,1,leur,5
46,7,o,14
461,8,sa,6
462,8,temps,3
468,4,long,1
470,4,pendant,1
471,1,se,33
48,9,p,17
52,1,r,41
54,1,s,39
56,1,t,50
58,8,u,33
60,1,x,7
62,8,y,15
64,7,z,2
66,1,&,38
68,9,st,7
70,1,nt,12
72,9,ns,1
74,4,er,7
95,1,ca,13
ψ,1,s,37
