token,cluster,plaintext,freq,pt_len
101,4,puis,3,4.0
102,4,si,8,2.0
103,6,va,2,2.0
105,1,ce,29,2.0
107,4,fai,15,3.0
109,0,ma,7,2.0
11',0,un,12,2.0
112,1,so,10,2.0
113,0,ve,21,2.0
115,5,ci,6,2.0
119,6,me,15,2.0
12',2,deux,2,4.0
120,4,on,2,2.0
121,7,particulier,3,11.0
122,0,su,6,2.0
123,5,vi,6,2.0
124,3,avec,8,4.0
125,7,co,22,2.0
127,6,facil,1,5.0
129,7,mi,16,2.0
13',1,?,1,
130,6,oit,12,3.0
132,4,sans,3,4.0
133,1,vo,7,2.0
134,1,autre,1,5.0
136,2,?,1,
138,4,Hongrois,1,8.0
139,0,mo,11,2.0
14',8,quatre,1,6.0
146,1,demande,1,7.0
148,0,honneur,1,7.0
150,7,ou,2,2.0
154,7,an,2,2.0
159,0,Majeste,5,7.0
16',8,six,2,3.0
160,6,oblig,1,5.0
164,1,aussi,1,5.0
17',8,septem,1,6.0
170,1,ordinaire,1,9.0
174,7,Austriche,1,9.0
175,3,cette,3,5.0
177,0,France,8,6.0
178,5,heur,1,4.0
181,0,Pologne,10,7.0
184,4,au,12,2.0
186,5,?,3,
189,6,ment,12,4.0
19',1,neuf,1,4.0
190,2,ordre,1,5.0
191,2,qua,1,3.0
198,5,ja,10,2.0
20,5,a,66,1.0
20',7,dix,1,3.0
201,0,que,20,3.0
202,4,secret,1,6.0
203,1,voir,1,4.0
206,7,entre,2,5.0
208,4,je,10,2.0
211,0,qui,6,3.0
213,4,vous,11,4.0
215,1,contraire,1,9.0
216,5,eux,5,3.0
22,4,b,6,1.0
222,1,service,1,7.0
223,6,vostre,7,6.0
229,2,ministre,1,8.0
231,6,quu,1,3.0
232,1,seul,2,4.0
234,1,argent,1,6.0
236,6,en,19,2.0
237,4,for,3,3.0
238,0,ju,2,2.0
239,7,mais,3,4.0
24,0,c,24,1.0
246,7,est,21,3.0
249,0,moyen,1,5.0
256,2,Espagnol,1,8.0
258,7,jamais,2,6.0
26,3,d,17,1.0
261,6,quelle,1,6.0
266,4,election,1,8.0
269,9,Mr,10,2.0
271,2,quelque,1,7.0
274,7,Alleman,1,7.0
278,6,il,23,2.0
28,5,e,45,1.0
280,2,pa,11,2.0
281,1,quil,9,4.0
285,6,cour,4,4.0
287,1,ga,3,2.0
288,5,jour,3,4.0
289,0,Madame,1,6.0
290,6,pe,7,2.0
293,1,xa,1,2.0
296,8,engage,4,6.0
297,4,ge,6,2.0
298,5,interest,3,8.0
299,2,maison,3,6.0
30,2,f,6,1.0
30',8,vingt,1,5.0
300,7,pi,1,2.0
301,7,quoique,1,7.0
307,1,gi,3,2.0
310,6,po,8,2.0
311,9,ra,24,2.0
32,2,g,11,1.0
320,2,pu,2,2.0
321,4,re,57,2.0
322,2,ta,3,2.0
324,8,ba,2,2.0
325,2,comme,10,5.0
328,7,intention,1,9.0
331,7,ri,15,2.0
332,4,te,20,2.0
334,2,be,2,2.0
335,9,Cardinal,21,8.0
339,6,na,6,2.0
341,6,ro,8,2.0
342,7,ti,20,2.0
344,7,bi,1,2.0
346,2,encore,1,6.0
347,2,gener,1,5.0
348,2,la,40,2.0
349,6,ne,33,2.0
35',8,?,1,
351,1,ru,2,2.0
352,0,to,1,2.0
354,0,bo,2,2.0
355,2,da,1,2.0
356,2,Empereur,1,8.0
357,2,gouvern,1,7.0
358,8,le,54,2.0
359,2,ni,10,2.0
36,0,i,32,1.0
36',8,?,2,
361,7,Roy,4,3.0
362,6,tu,2,2.0
363,3,zi,6,2.0
364,7,bu,1,2.0
365,2,de,72,2.0
368,4,li,2,2.0
369,0,no,2,2.0
370,8,par,10,3.0
374,7,beaucoup,1,8.0
375,5,di,6,2.0
377,7,grand,4,5.0
378,2,lo,9,2.0
379,4,nu,2,2.0
38',4,?,1,
380,2,pall,1,4.0
382,1,tant,1,4.0
385,6,do,5,2.0
388,6,lu,2,2.0
390,4,point,1,5.0
392,4,tion,11,4.0
394,8,Bethune,2,7.0
395,0,du,7,2.0
398,0,lettre,3,6.0
399,7,Nonce,1,5.0
40,6,l,17,1.0
404,2,bon,1,3.0
405,7,dans,9,4.0
41,1,r,20,1.0
410,0,Pape,5,4.0
414,4,bien,5,4.0
42,4,m,10,1.0
420,1,pour,14,4.0
423,3,ki,7,2.0
426,2,fa,3,2.0
43,0,s,34,1.0
436,2,fe,4,2.0
437,1,ha,1,2.0
438,0,luy,2,3.0
44,1,n,68,1.0
442,5,tout,6,4.0
446,7,fi,8,2.0
447,0,he,10,2.0
449,7,nous,2,4.0
451,2,Reine,1,5.0
455,0,donne,2,5.0
456,0,fo,1,2.0
458,0,leur,5,4.0
46,3,o,14,1.0
461,5,sa,6,2.0
462,2,temps,3,5.0
468,2,long,1,4.0
470,7,pendant,1,7.0
471,0,se,33,2.0
48,4,p,17,1.0
52,1,r,41,1.0
54,1,s,39,1.0
56,4,t,50,1.0
58,1,u,33,1.0
60,1,x,7,1.0
62,0,y,15,1.0
64,3,z,2,1.0
66,5,&,38,1.0
68,4,st,7,2.0
70,0,nt,12,2.0
72,2,ns,1,2.0
74,5,er,7,2.0
95,4,ca,13,2.0
ψ,0,s,37,1.0
