token,cluster,plaintext,freq,pt_len
101,9,puis,3,4.0
102,9,si,8,2.0
103,2,va,2,2.0
105,8,ce,29,2.0
107,4,fai,15,3.0
109,7,ma,7,2.0
11',3,un,12,2.0
112,4,so,10,2.0
113,3,ve,21,2.0
115,2,ci,6,2.0
119,7,me,15,2.0
12',2,deux,2,4.0
120,4,on,2,2.0
121,7,particulier,3,11.0
122,3,su,6,2.0
123,1,vi,6,2.0
124,5,avec,8,4.0
125,4,co,22,2.0
127,2,facil,1,5.0
129,3,mi,16,2.0
13',6,?,1,
130,2,oit,12,3.0
132,4,sans,3,4.0
133,4,vo,7,2.0
134,8,autre,1,5.0
136,3,?,1,
138,9,Hongrois,1,8.0
139,7,mo,11,2.0
14',6,quatre,1,6.0
146,7,demande,1,7.0
148,7,honneur,1,7.0
150,4,ou,2,2.0
154,8,an,2,2.0
159,0,Majeste,5,7.0
16',6,six,2,3.0
160,2,oblig,1,5.0
164,4,aussi,1,5.0
17',6,septem,1,6.0
170,5,ordinaire,1,9.0
174,7,Austriche,1,9.0
175,2,cette,3,5.0
177,3,France,8,6.0
178,1,heur,1,4.0
181,0,Pologne,10,7.0
184,5,au,12,2.0
186,1,?,3,
189,8,ment,12,4.0
19',6,neuf,1,4.0
190,2,ordre,1,5.0
191,5,qua,1,3.0
198,3,ja,10,2.0
20,3,a,66,1.0
20',9,dix,1,3.0
201,3,que,20,3.0
202,9,secret,1,6.0
203,4,voir,1,4.0
206,4,entre,2,5.0
208,8,je,10,2.0
211,7,qui,6,3.0
213,9,vous,11,4.0
215,8,contraire,1,9.0
216,1,eux,5,3.0
22,6,b,6,1.0
222,9,service,1,7.0
223,8,vostre,7,6.0
229,2,ministre,1,8.0
231,2,quu,1,3.0
232,1,seul,2,4.0
234,4,argent,1,6.0
236,3,en,19,2.0
237,4,for,3,3.0
238,4,ju,2,2.0
239,9,mais,3,4.0
24,7,c,24,1.0
246,3,est,21,3.0
249,1,moyen,1,5.0
256,0,Espagnol,1,8.0
258,9,jamais,2,6.0
26,5,d,17,1.0
261,2,quelle,1,6.0
266,2,election,1,8.0
269,5,Mr,10,2.0
271,8,quelque,1,7.0
274,7,Alleman,1,7.0
278,3,il,23,2.0
28,3,e,45,1.0
280,2,pa,11,2.0
281,5,quil,9,4.0
285,2,cour,4,4.0
287,8,ga,3,2.0
288,1,jour,3,4.0
289,7,Madame,1,6.0
290,8,pe,7,2.0
293,8,xa,1,2.0
296,8,engage,4,6.0
297,4,ge,6,2.0
298,1,interest,3,8.0
299,0,maison,3,6.0
30,3,f,6,1.0
30',6,vingt,1,5.0
300,7,pi,1,2.0
301,2,quoique,1,7.0
307,8,gi,3,2.0
310,4,po,8,2.0
311,5,ra,24,2.0
32,8,g,11,1.0
320,4,pu,2,2.0
321,3,re,57,2.0
322,8,ta,3,2.0
324,5,ba,2,2.0
325,1,comme,10,5.0
328,2,intention,1,9.0
331,2,ri,15,2.0
332,3,te,20,2.0
334,5,be,2,2.0
335,5,Cardinal,21,8.0
339,2,na,6,2.0
341,2,ro,8,2.0
342,4,ti,20,2.0
344,4,bi,1,2.0
346,0,encore,1,6.0
347,3,gener,1,5.0
348,3,la,40,2.0
349,8,ne,33,2.0
35',6,?,1,
351,9,ru,2,2.0
352,4,to,1,2.0
354,7,bo,2,2.0
355,4,da,1,2.0
356,2,Empereur,1,8.0
357,2,gouvern,1,7.0
358,3,le,54,2.0
359,3,ni,10,2.0
36,3,i,32,1.0
36',6,?,2,
361,7,Roy,4,3.0
362,2,tu,2,2.0
363,5,zi,6,2.0
364,2,bu,1,2.0
365,3,de,72,2.0
368,4,li,2,2.0
369,5,no,2,2.0
370,3,par,10,3.0
374,2,beaucoup,1,8.0
375,2,di,6,2.0
377,7,grand,4,5.0
378,2,lo,9,2.0
379,4,nu,2,2.0
38',2,?,1,
380,1,pall,1,4.0
382,5,tant,1,4.0
385,8,do,5,2.0
388,4,lu,2,2.0
390,8,point,1,5.0
392,0,tion,11,4.0
394,6,Bethune,2,7.0
395,0,du,7,2.0
398,7,lettre,3,6.0
399,1,Nonce,1,5.0
40,2,l,17,1.0
404,1,bon,1,3.0
405,3,dans,9,4.0
41,3,r,20,1.0
410,0,Pape,5,4.0
414,7,bien,5,4.0
42,4,m,10,1.0
420,0,pour,14,4.0
423,5,ki,7,2.0
426,0,fa,3,2.0
43,3,s,34,1.0
436,1,fe,4,2.0
437,9,ha,1,2.0
438,7,luy,2,3.0
44,3,n,68,1.0
442,1,tout,6,4.0
446,2,fi,8,2.0
447,7,he,10,2.0
449,8,nous,2,4.0
451,4,Reine,1,5.0
455,4,donne,2,5.0
456,7,fo,1,2.0
458,0,leur,5,4.0
46,0,o,14,1.0
461,1,sa,6,2.0
462,1,temps,3,5.0
468,2,long,1,4.0
470,2,pendant,1,7.0
471,7,se,33,2.0
48,9,p,17,1.0
52,3,r,41,1.0
54,3,s,39,1.0
56,3,t,50,1.0
58,3,u,33,1.0
60,7,x,7,1.0
62,4,y,15,1.0
64,5,z,2,1.0
66,3,&,38,1.0
68,9,st,7,2.0
70,3,nt,12,2.0
72,9,ns,1,2.0
74,2,er,7,2.0
95,3,ca,13,2.0
ψ,3,s,37,1.0
