token,cluster,plaintext,freq
101,2,puis,3
102,4,si,8
103,8,va,2
105,4,ce,29
107,4,fai,15
109,2,ma,7
11',4,un,12
112,2,so,10
113,4,ve,21
115,1,ci,6
119,4,me,15
12',8,deux,2
120,4,on,2
121,0,particulier,3
122,6,su,6
123,5,vi,6
124,4,avec,8
125,4,co,22
127,8,facil,1
129,4,mi,16
13',7,?,1
130,8,oit,12
132,9,sans,3
133,0,vo,7
134,4,autre,1
136,1,?,1
138,2,Hongrois,1
139,4,mo,11
14',3,quatre,1
146,7,demande,1
148,2,honneur,1
150,4,ou,2
154,8,an,2
159,7,Majeste,5
16',3,six,2
160,8,oblig,1
164,4,aussi,1
17',3,septem,1
170,2,ordinaire,1
174,6,Austriche,1
175,1,cette,3
177,9,France,8
178,6,heur,1
181,7,Pologne,10
184,4,au,12
186,6,?,3
189,8,ment,12
19',3,neuf,1
190,8,ordre,1
191,9,qua,1
198,6,ja,10
20,4,a,66
20',2,dix,1
201,2,que,20
202,2,secret,1
203,0,voir,1
206,9,entre,2
208,4,je,10
211,4,qui,6
213,2,vous,11
215,9,contraire,1
216,1,eux,5
22,3,b,6
222,2,service,1
223,4,vostre,7
229,1,ministre,1
231,8,quu,1
232,5,seul,2
234,9,argent,1
236,4,en,19
237,4,for,3
238,0,ju,2
239,6,mais,3
24,4,c,24
246,1,est,21
249,5,moyen,1
256,9,Espagnol,1
258,2,jamais,2
26,4,d,17
261,1,quelle,1
266,8,election,1
269,5,Mr,10
271,4,quelque,1
274,6,Alleman,1
278,4,il,23
28,4,e,45
280,8,pa,11
281,2,quil,9
285,1,cour,4
287,4,ga,3
288,6,jour,3
289,4,Madame,1
290,9,pe,7
293,4,xa,1
296,9,engage,4
297,0,ge,6
298,5,interest,3
299,9,maison,3
30,1,f,6
30',3,vingt,1
300,4,pi,1
301,8,quoique,1
307,7,gi,3
310,0,po,8
311,4,ra,24
32,4,g,11
320,0,pu,2
321,4,re,57
322,4,ta,3
324,5,ba,2
325,1,comme,10
328,8,intention,1
331,8,ri,15
332,4,te,20
334,5,be,2
335,7,Cardinal,21
339,8,na,6
341,1,ro,8
342,4,ti,20
344,0,bi,1
346,7,encore,1
347,1,gener,1
348,4,la,40
349,4,ne,33
35',3,?,1
351,2,ru,2
352,4,to,1
354,7,bo,2
355,4,da,1
356,1,Empereur,1
357,8,gouvern,1
358,4,le,54
359,1,ni,10
36,4,i,32
36',3,?,2
361,6,Roy,4
362,8,tu,2
363,7,zi,6
364,8,bu,1
365,4,de,72
368,0,li,2
369,5,no,2
370,9,par,10
374,8,beaucoup,1
375,1,di,6
377,6,grand,4
378,0,lo,9
379,9,nu,2
38',8,?,1
380,5,pall,1
382,5,tant,1
385,9,do,5
388,0,lu,2
390,9,point,1
392,4,tion,11
394,7,Bethune,2
395,4,du,7
398,7,lettre,3
399,6,Nonce,1
40,4,l,17
404,5,bon,1
405,8,dans,9
41,4,r,20
410,4,Pape,5
414,0,bien,5
42,0,m,10
420,4,pour,14
423,7,ki,7
426,9,fa,3
43,7,s,34
436,6,fe,4
437,2,ha,1
438,9,luy,2
44,4,n,68
442,6,tout,6
446,8,fi,8
447,4,he,10
449,6,nous,2
451,6,Reine,1
455,9,donne,2
456,7,fo,1
458,0,leur,5
46,7,o,14
461,1,sa,6
462,6,temps,3
468,7,long,1
470,7,pendant,1
471,7,se,33
48,2,p,17
52,4,r,41
54,7,s,39
56,4,t,50
58,0,u,33
60,7,x,7
62,4,y,15
64,7,z,2
66,1,&,38
68,2,st,7
70,6,nt,12
72,2,ns,1
74,8,er,7
95,4,ca,13
ψ,7,s,37
