token,cluster,plaintext,freq
101,8,puis,3
102,8,si,8
103,1,va,2
105,6,ce,29
107,6,fai,15
109,8,ma,7
11',6,un,12
112,6,so,10
113,6,ve,21
115,4,ci,6
119,6,me,15
12',1,deux,2
120,8,on,2
121,9,particulier,3
122,5,su,6
123,5,vi,6
124,2,avec,8
125,6,co,22
127,1,facil,1
129,6,mi,16
13',4,?,1
130,6,oit,12
132,9,sans,3
133,0,vo,7
134,2,autre,1
136,5,?,1
138,8,Hongrois,1
139,6,mo,11
14',3,quatre,1
146,9,demande,1
148,8,honneur,1
150,0,ou,2
154,1,an,2
159,9,Majeste,5
16',3,six,2
160,0,oblig,1
164,0,aussi,1
17',3,septem,1
170,0,ordinaire,1
174,5,Austriche,1
175,4,cette,3
177,9,France,8
178,5,heur,1
181,6,Pologne,10
184,6,au,12
186,5,?,3
189,6,ment,12
19',3,neuf,1
190,1,ordre,1
191,2,qua,1
198,6,ja,10
20,6,a,66
20',8,dix,1
201,6,que,20
202,8,secret,1
203,0,voir,1
206,9,entre,2
208,2,je,10
211,6,qui,6
213,8,vous,11
215,2,contraire,1
216,5,eux,5
22,3,b,6
222,8,service,1
223,8,vostre,7
229,4,ministre,1
231,1,quu,1
232,7,seul,2
234,9,argent,1
236,6,en,19
237,0,for,3
238,0,ju,2
239,8,mais,3
24,6,c,24
246,6,est,21
249,7,moyen,1
256,2,Espagnol,1
258,8,jamais,2
26,6,d,17
261,4,quelle,1
266,1,election,1
269,7,Mr,10
271,2,quelque,1
274,5,Alleman,1
278,6,il,23
28,6,e,45
280,4,pa,11
281,6,quil,9
285,4,cour,4
287,0,ga,3
288,5,jour,3
289,8,Madame,1
290,9,pe,7
293,2,xa,1
296,2,engage,4
297,0,ge,6
298,7,interest,3
299,9,maison,3
30,5,f,6
30',3,vingt,1
300,6,pi,1
301,1,quoique,1
307,9,gi,3
310,0,po,8
311,6,ra,24
32,6,g,11
320,0,pu,2
321,6,re,57
322,2,ta,3
324,7,ba,2
325,6,comme,10
328,1,intention,1
331,6,ri,15
332,6,te,20
334,7,be,2
335,6,Cardinal,21
339,4,na,6
341,0,ro,8
342,6,ti,20
344,0,bi,1
346,9,encore,1
347,5,gener,1
348,6,la,40
349,6,ne,33
35',3,?,1
351,8,ru,2
352,0,to,1
354,9,bo,2
355,0,da,1
356,4,Empereur,1
357,1,gouvern,1
358,6,le,54
359,6,ni,10
36,6,i,32
36',3,?,2
361,5,Roy,4
362,1,tu,2
363,4,zi,6
364,1,bu,1
365,6,de,72
368,0,li,2
369,7,no,2
370,6,par,10
374,1,beaucoup,1
375,5,di,6
377,5,grand,4
378,6,lo,9
379,9,nu,2
38',1,?,1
380,7,pall,1
382,4,tant,1
385,2,do,5
388,0,lu,2
390,2,point,1
392,9,tion,11
394,3,Bethune,2
395,9,du,7
398,9,lettre,3
399,5,Nonce,1
40,6,l,17
404,7,bon,1
405,1,dans,9
41,6,r,20
410,9,Pape,5
414,0,bien,5
42,0,m,10
420,6,pour,14
423,4,ki,7
426,9,fa,3
43,6,s,34
436,5,fe,4
437,8,ha,1
438,9,luy,2
44,6,n,68
442,5,tout,6
446,1,fi,8
447,6,he,10
449,1,nous,2
451,1,Reine,1
455,9,donne,2
456,9,fo,1
458,0,leur,5
46,9,o,14
461,6,sa,6
462,1,temps,3
468,5,long,1
470,5,pendant,1
471,6,se,33
48,6,p,17
52,6,r,41
54,6,s,39
56,6,t,50
58,6,u,33
60,6,x,7
62,6,y,15
64,4,z,2
66,6,&,38
68,8,st,7
70,6,nt,12
72,8,ns,1
74,1,er,7
95,6,ca,13
ψ,6,s,37
