token,cluster,plaintext,freq,pt_len
101,3,puis,3,4.0
102,2,si,8,2.0
103,9,va,2,2.0
105,8,ce,29,2.0
107,2,fai,15,3.0
109,3,ma,7,2.0
11',2,un,12,2.0
112,2,so,10,2.0
113,2,ve,21,2.0
115,7,ci,6,2.0
119,2,me,15,2.0
12',2,deux,2,4.0
120,2,on,2,2.0
121,4,particulier,3,11.0
122,8,su,6,2.0
123,1,vi,6,2.0
124,8,avec,8,4.0
125,2,co,22,2.0
127,9,facil,1,5.0
129,8,mi,16,2.0
13',9,?,1,
130,9,oit,12,3.0
132,2,sans,3,4.0
133,7,vo,7,2.0
134,8,autre,1,5.0
136,4,?,1,
138,3,Hongrois,1,8.0
139,0,mo,11,2.0
14',5,quatre,1,6.0
146,3,demande,1,7.0
148,3,honneur,1,7.0
150,7,ou,2,2.0
154,8,an,2,2.0
159,0,Majeste,5,7.0
16',5,six,2,3.0
160,7,oblig,1,5.0
164,3,aussi,1,5.0
17',5,septem,1,6.0
170,8,ordinaire,1,9.0
174,4,Austriche,1,9.0
175,9,cette,3,5.0
177,4,France,8,6.0
178,1,heur,1,4.0
181,4,Pologne,10,7.0
184,2,au,12,2.0
186,6,?,3,
189,2,ment,12,4.0
19',5,neuf,1,4.0
190,6,ordre,1,5.0
191,6,qua,1,3.0
198,6,ja,10,2.0
20,2,a,66,1.0
20',3,dix,1,3.0
201,3,que,20,3.0
202,3,secret,1,6.0
203,7,voir,1,4.0
206,4,entre,2,5.0
208,8,je,10,2.0
211,2,qui,6,3.0
213,3,vous,11,4.0
215,6,contraire,1,9.0
216,4,eux,5,3.0
22,5,b,6,1.0
222,3,service,1,7.0
223,8,vostre,7,6.0
229,9,ministre,1,8.0
231,9,quu,1,3.0
232,1,seul,2,4.0
234,4,argent,1,6.0
236,2,en,19,2.0
237,8,for,3,3.0
238,7,ju,2,2.0
239,3,mais,3,4.0
24,2,c,24,1.0
246,4,est,21,3.0
249,1,moyen,1,5.0
256,6,Espagnol,1,8.0
258,3,jamais,2,6.0
26,0,d,17,1.0
261,9,quelle,1,6.0
266,2,election,1,8.0
269,1,Mr,10,2.0
271,8,quelque,1,7.0
274,4,Alleman,1,7.0
278,2,il,23,2.0
28,2,e,45,1.0
280,9,pa,11,2.0
281,2,quil,9,4.0
285,9,cour,4,4.0
287,8,ga,3,2.0
288,6,jour,3,4.0
289,3,Madame,1,6.0
290,8,pe,7,2.0
293,8,xa,1,2.0
296,6,engage,4,6.0
297,7,ge,6,2.0
298,1,interest,3,8.0
299,6,maison,3,6.0
30,4,f,6,1.0
30',5,vingt,1,5.0
300,3,pi,1,2.0
301,9,quoique,1,7.0
307,8,gi,3,2.0
310,7,po,8,2.0
311,0,ra,24,2.0
32,0,g,11,1.0
320,7,pu,2,2.0
321,2,re,57,2.0
322,8,ta,3,2.0
324,1,ba,2,2.0
325,1,comme,10,5.0
328,6,intention,1,9.0
331,2,ri,15,2.0
332,2,te,20,2.0
334,6,be,2,2.0
335,1,Cardinal,21,8.0
339,9,na,6,2.0
341,7,ro,8,2.0
342,2,ti,20,2.0
344,7,bi,1,2.0
346,0,encore,1,6.0
347,4,gener,1,5.0
348,2,la,40,2.0
349,0,ne,33,2.0
35',5,?,1,
351,3,ru,2,2.0
352,3,to,1,2.0
354,3,bo,2,2.0
355,7,da,1,2.0
356,9,Empereur,1,8.0
357,9,gouvern,1,7.0
358,2,le,54,2.0
359,1,ni,10,2.0
36,0,i,32,1.0
36',5,?,2,
361,3,Roy,4,3.0
362,9,tu,2,2.0
363,0,zi,6,2.0
364,2,bu,1,2.0
365,2,de,72,2.0
368,7,li,2,2.0
369,1,no,2,2.0
370,6,par,10,3.0
374,2,beaucoup,1,8.0
375,7,di,6,2.0
377,4,grand,4,5.0
378,2,lo,9,2.0
379,4,nu,2,2.0
38',2,?,1,
380,1,pall,1,4.0
382,0,tant,1,4.0
385,4,do,5,2.0
388,7,lu,2,2.0
390,4,point,1,5.0
392,3,tion,11,4.0
394,5,Bethune,2,7.0
395,2,du,7,2.0
398,3,lettre,3,6.0
399,6,Nonce,1,5.0
40,2,l,17,1.0
404,1,bon,1,3.0
405,6,dans,9,4.0
41,2,r,20,1.0
410,3,Pape,5,4.0
414,7,bien,5,4.0
42,7,m,10,1.0
420,0,pour,14,4.0
423,0,ki,7,2.0
426,6,fa,3,2.0
43,2,s,34,1.0
436,3,fe,4,2.0
437,3,ha,1,2.0
438,4,luy,2,3.0
44,2,n,68,1.0
442,6,tout,6,4.0
446,2,fi,8,2.0
447,2,he,10,2.0
449,8,nous,2,4.0
451,3,Reine,1,5.0
455,4,donne,2,5.0
456,3,fo,1,2.0
458,6,leur,5,4.0
46,0,o,14,1.0
461,1,sa,6,2.0
462,6,temps,3,5.0
468,9,long,1,4.0
470,9,pendant,1,7.0
471,0,se,33,2.0
48,2,p,17,1.0
52,2,r,41,1.0
54,2,s,39,1.0
56,2,t,50,1.0
58,2,u,33,1.0
60,0,x,7,1.0
62,3,y,15,1.0
64,0,z,2,1.0
66,2,&,38,1.0
68,3,st,7,2.0
70,4,nt,12,2.0
72,3,ns,1,2.0
74,9,er,7,2.0
95,2,ca,13,2.0
ψ,2,s,37,1.0
