token,cluster,plaintext,freq,pt_len
101,2,puis,3,4.0
102,2,si,8,2.0
103,4,va,2,2.0
105,6,ce,29,2.0
107,5,fai,15,3.0
109,7,ma,7,2.0
11',5,un,12,2.0
112,5,so,10,2.0
113,5,ve,21,2.0
115,4,ci,6,2.0
119,5,me,15,2.0
12',4,deux,2,4.0
120,2,on,2,2.0
121,1,particulier,3,11.0
122,9,su,6,2.0
123,9,vi,6,2.0
124,5,avec,8,4.0
125,5,co,22,2.0
127,4,facil,1,5.0
129,1,mi,16,2.0
13',4,?,1,
130,4,oit,12,3.0
132,5,sans,3,4.0
133,3,vo,7,2.0
134,1,autre,1,5.0
136,1,?,1,
138,2,Hongrois,1,8.0
139,5,mo,11,2.0
14',8,quatre,1,6.0
146,7,demande,1,7.0
148,7,honneur,1,7.0
150,1,ou,2,2.0
154,6,an,2,2.0
159,7,Majeste,5,7.0
16',8,six,2,3.0
160,3,oblig,1,5.0
164,7,aussi,1,5.0
17',8,septem,1,6.0
170,6,ordinaire,1,9.0
174,1,Austriche,1,9.0
175,4,cette,3,5.0
177,9,France,8,6.0
178,9,heur,1,4.0
181,7,Pologne,10,7.0
184,5,au,12,2.0
186,9,?,3,
189,1,ment,12,4.0
19',8,neuf,1,4.0
190,4,ordre,1,5.0
191,9,qua,1,3.0
198,5,ja,10,2.0
20,5,a,66,1.0
20',2,dix,1,3.0
201,5,que,20,3.0
202,2,secret,1,6.0
203,3,voir,1,4.0
206,9,entre,2,5.0
208,6,je,10,2.0
211,5,qui,6,3.0
213,2,vous,11,4.0
215,9,contraire,1,9.0
216,3,eux,5,3.0
22,8,b,6,1.0
222,2,service,1,7.0
223,1,vostre,7,6.0
229,4,ministre,1,8.0
231,4,quu,1,3.0
232,0,seul,2,4.0
234,7,argent,1,6.0
236,5,en,19,2.0
237,1,for,3,3.0
238,3,ju,2,2.0
239,2,mais,3,4.0
24,5,c,24,1.0
246,5,est,21,3.0
249,0,moyen,1,5.0
256,9,Espagnol,1,8.0
258,2,jamais,2,6.0
26,5,d,17,1.0
261,4,quelle,1,6.0
266,4,election,1,8.0
269,0,Mr,10,2.0
271,1,quelque,1,7.0
274,1,Alleman,1,7.0
278,5,il,23,2.0
28,1,e,45,1.0
280,4,pa,11,2.0
281,6,quil,9,4.0
285,3,cour,4,4.0
287,1,ga,3,2.0
288,9,jour,3,4.0
289,7,Madame,1,6.0
290,6,pe,7,2.0
293,1,xa,1,2.0
296,9,engage,4,6.0
297,3,ge,6,2.0
298,9,interest,3,8.0
299,9,maison,3,6.0
30,9,f,6,1.0
30',8,vingt,1,5.0
300,7,pi,1,2.0
301,4,quoique,1,7.0
307,6,gi,3,2.0
310,3,po,8,2.0
311,5,ra,24,2.0
32,1,g,11,1.0
320,3,pu,2,2.0
321,5,re,57,2.0
322,1,ta,3,2.0
324,0,ba,2,2.0
325,9,comme,10,5.0
328,4,intention,1,9.0
331,5,ri,15,2.0
332,5,te,20,2.0
334,0,be,2,2.0
335,9,Cardinal,21,8.0
339,4,na,6,2.0
341,3,ro,8,2.0
342,5,ti,20,2.0
344,3,bi,1,2.0
346,1,encore,1,6.0
347,9,gener,1,5.0
348,5,la,40,2.0
349,1,ne,33,2.0
35',8,?,1,
351,2,ru,2,2.0
352,7,to,1,2.0
354,7,bo,2,2.0
355,5,da,1,2.0
356,4,Empereur,1,8.0
357,4,gouvern,1,7.0
358,5,le,54,2.0
359,9,ni,10,2.0
36,5,i,32,1.0
36',8,?,2,
361,7,Roy,4,3.0
362,4,tu,2,2.0
363,0,zi,6,2.0
364,4,bu,1,2.0
365,5,de,72,2.0
368,3,li,2,2.0
369,0,no,2,2.0
370,5,par,10,3.0
374,4,beaucoup,1,8.0
375,1,di,6,2.0
377,1,grand,4,5.0
378,1,lo,9,2.0
379,7,nu,2,2.0
38',4,?,1,
380,0,pall,1,4.0
382,0,tant,1,4.0
385,1,do,5,2.0
388,3,lu,2,2.0
390,7,point,1,5.0
392,5,tion,11,4.0
394,8,Bethune,2,7.0
395,7,du,7,2.0
398,7,lettre,3,6.0
399,9,Nonce,1,5.0
40,5,l,17,1.0
404,0,bon,1,3.0
405,9,dans,9,4.0
41,5,r,20,1.0
410,7,Pape,5,4.0
414,3,bien,5,4.0
42,3,m,10,1.0
420,5,pour,14,4.0
423,0,ki,7,2.0
426,9,fa,3,2.0
43,5,s,34,1.0
436,9,fe,4,2.0
437,2,ha,1,2.0
438,7,luy,2,3.0
44,5,n,68,1.0
442,9,tout,6,4.0
446,6,fi,8,2.0
447,1,he,10,2.0
449,6,nous,2,4.0
451,6,Reine,1,5.0
455,7,donne,2,5.0
456,7,fo,1,2.0
458,3,leur,5,4.0
46,7,o,14,1.0
461,9,sa,6,2.0
462,9,temps,3,5.0
468,1,long,1,4.0
470,1,pendant,1,7.0
471,5,se,33,2.0
48,2,p,17,1.0
52,5,r,41,1.0
54,5,s,39,1.0
56,5,t,50,1.0
58,5,u,33,1.0
60,1,x,7,1.0
62,7,y,15,1.0
64,0,z,2,1.0
66,5,&,38,1.0
68,2,st,7,2.0
70,5,nt,12,2.0
72,2,ns,1,2.0
74,4,er,7,2.0
95,5,ca,13,2.0
ψ,5,s,37,1.0
