language,n_pairs,n_doubles,rate_per_1000,avg_doubled_word_length,w1,w1_pct,w2,w2_pct
German,14148298,8832,0.6242446971360088,3.6761775362318843,das,7.574728260869565,die,5.819746376811594
Latin,4349321,2404,0.5527299548596206,5.789517470881863,est,4.825291181364393,et,4.076539101497504
English,507703,262,0.5160497377403719,3.9236641221374047,that,32.82442748091603,the,6.488549618320611
French,606168,410,0.6763801454382283,3.995121951219512,nous,27.073170731707318,uous,9.268292682926829
Dutch,1670837,1173,0.7020433471367943,3.9096334185848254,die,29.58226768968457,dat,11.423699914748507
