type,idx,folio,pos,token,tok_freq,partner,partner_freq
B,1.r.1,1,4,"c^c,o,x",163,"cc,o,x",349
B,1.r.1,1,8,"c^c,o,x,8,9",8,"cc,o,x,8,9",10
B,1.r.1,1,13,"cc,M,a,m",3,"c^c,M,a,m",1
B,1.r.1,1,14,"c^c,a,Z",33,"cc,a,Z",72
A,1.r.1,1,20,"c^c,c,N,9",35,"cc,N,9",16
B,1.r.1,1,20,"c^c,c,N,9",35,"cc,c,N,9",57
B,1.r.1,1,23,"c^c,o,8",11,"cc,o,8",7
A,1.r.1,1,39,"cc,c,a,Z",51,"c^c,c,c,a,Z",2
B,1.r.1,1,39,"cc,c,a,Z",51,"c^c,c,a,Z",23
B,1.r.2,1,3,"c^c,o,x",163,"cc,o,x",349
B,1.r.2,1,6,"c^c,?,?",1,"cc,?,?",2
A,1.r.2,1,9,"9,c^c,c,9",11,"9,cc,9",5
B,1.r.2,1,9,"9,c^c,c,9",11,"9,cc,c,9",15
B,1.r.2,1,10,"c^c,o,8,9",51,"cc,o,8,9",83
B,1.r.2,1,12,"o,M,cc,o,x",22,"o,M,c^c,o,x",2
A,1.r.2,1,13,"cc,o,c,M,c,9",18,"c^c,c,o,c,M,c,9",2
B,1.r.2,1,13,"cc,o,c,M,c,9",18,"c^c,o,c,M,c,9",9
A,1.r.2,1,15,"cc,9",131,"c^c,c,9",257
B,1.r.2,1,15,"cc,9",131,"c^c,9",82
A,1.r.2,1,17,"cc,o,Z",212,"c^c,c,o,Z",41
B,1.r.2,1,17,"cc,o,Z",212,"c^c,o,Z",87
B,1.r.2,1,20,"c^c,o,2",9,"cc,o,2",33
B,1.r.2,1,22,"c^c,o,8,9",51,"cc,o,8,9",83
B,1.r.3,1,5,"c^c,o,c^c,9",2,"cc,o,c^c,9",3
B,1.r.3,1,8,"o,N,c^c,o",5,"o,N,cc,o",7
B,1.r.3,1,9,"N,c^c,o,9",1,"N,cc,o,9",2
B,1.r.3,1,13,"c^c,o,8,a,n",3,"cc,o,8,a,n",7
B,1.r.3,1,16,"c^c,o,9",2,"cc,o,9",9
A,1.r.3,1,27,"c^c,c,N,c,c,9",16,"cc,N,c,c,9",13
B,1.r.3,1,27,"c^c,c,N,c,c,9",16,"cc,c,N,c,c,9",34
A,1.r.3,1,29,"cc,o,Z",212,"c^c,c,o,Z",41
B,1.r.3,1,29,"cc,o,Z",212,"c^c,o,Z",87
A,1.r.3,1,30,"c^c,c,9",257,"cc,9",131
B,1.r.3,1,30,"c^c,c,9",257,"cc,c,9",322
A,1.r.3,1,32,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.3,1,32,"cc,o,x",349,"c^c,o,x",163
A,1.r.3,1,33,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.3,1,33,"cc,o,x",349,"c^c,o,x",163
B,1.r.3,1,35,"cc,?,?",2,"c^c,?,?",1
B,1.r.3,1,36,"c^c,o",115,"cc,o",70
A,1.r.3,1,37,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.3,1,37,"cc,o,x",349,"c^c,o,x",163
B,1.r.3,1,39,"N,c^c,9",5,"N,cc,9",25
A,1.r.3,1,42,"cc,o,8,a,m",45,"c^c,c,o,8,a,m",3
B,1.r.3,1,42,"cc,o,8,a,m",45,"c^c,o,8,a,m",22
B,1.r.3,1,43,"c^c,o",115,"cc,o",70
A,1.r.3,1,45,"9,cc,o",4,"9,c^c,c,o",2
B,1.r.3,1,45,"9,cc,o",4,"9,c^c,o",5
A,1.r.3,1,46,"M,cc,c,9",19,"M,c^c,c,c,9",1
B,1.r.3,1,46,"M,cc,c,9",19,"M,c^c,c,9",7
A,1.r.3,1,47,"cc,c,N,a,n",8,"c^c,c,c,N,a,n",1
B,1.r.3,1,47,"cc,c,N,a,n",8,"c^c,c,N,a,n",4
A,1.r.3,1,48,"c^c,c,o",40,"cc,o",70
B,1.r.3,1,48,"c^c,c,o",40,"cc,c,o",67
B,1.r.3,1,49,"P2,c^c,o,x",5,"P2,cc,o,x",8
B,1.r.3,1,54,"c^c,o,x",163,"cc,o,x",349
A,1.r.3,1,55,"c^c,c",23,cc,2
B,1.r.3,1,55,"c^c,c",23,"cc,c",1
B,1.r.3,1,61,"8,cc,a,Z",2,"8,c^c,a,Z",1
B,1.r.3,1,62,"c^c,c,M,c,a,m",1,"cc,c,M,c,a,m",1
A,1.r.3,1,64,"cc,c,9",322,"c^c,c,c,9",137
B,1.r.3,1,64,"cc,c,9",322,"c^c,c,9",257
B,1.r.3,1,71,"c^c,o,N",4,"cc,o,N",3
A,1.r.3,1,72,"cc,o,Z",212,"c^c,c,o,Z",41
B,1.r.3,1,72,"cc,o,Z",212,"c^c,o,Z",87
A,1.r.3,1,73,"cc,c,9",322,"c^c,c,c,9",137
B,1.r.3,1,73,"cc,c,9",322,"c^c,c,9",257
B,1.r.4,1,1,"c^c,a,m",20,"cc,a,m",45
B,1.r.4,1,2,"c^c,o,N,cc,c,c,9",1,"cc,o,N,cc,c,c,9",1
A,1.r.4,1,3,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.4,1,3,"cc,o,x",349,"c^c,o,x",163
A,1.r.4,1,5,"c^c,c,9",257,"cc,9",131
B,1.r.4,1,5,"c^c,c,9",257,"cc,c,9",322
A,1.r.4,1,11,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.4,1,11,"cc,o,x",349,"c^c,o,x",163
A,1.r.4,1,15,"c^c,c,a,Z",23,"cc,a,Z",72
B,1.r.4,1,15,"c^c,c,a,Z",23,"cc,c,a,Z",51
A,1.r.4,1,18,"c^c,c,9",257,"cc,9",131
B,1.r.4,1,18,"c^c,c,9",257,"cc,c,9",322
A,1.r.4,1,20,"cc,o",70,"c^c,c,o",40
B,1.r.4,1,20,"cc,o",70,"c^c,o",115
B,1.r.4,1,23,"c^c,o,a,m",3,"cc,o,a,m",6
B,1.r.4,1,30,"9,cc,c,c,9",24,"9,c^c,c,c,9",8
A,1.r.4,1,34,"o,N,cc,c,9",28,"o,N,c^c,c,c,9",2
B,1.r.4,1,34,"o,N,cc,c,9",28,"o,N,c^c,c,9",10
A,1.r.4,1,39,"8,cc,c,o",7,"8,c^c,c,c,o",1
B,1.r.4,1,39,"8,cc,c,o",7,"8,c^c,c,o",3
B,1.r.4,1,40,"c^c,o,8,9",51,"cc,o,8,9",83
A,1.r.4,1,43,"o,N,cc,c,9",28,"o,N,c^c,c,c,9",2
B,1.r.4,1,43,"o,N,cc,c,9",28,"o,N,c^c,c,9",10
B,1.r.4,1,47,"cc,M,o,Z",2,"c^c,M,o,Z",1
A,1.r.4,1,49,"cc,o,x",349,"c^c,c,o,x",96
B,1.r.4,1,49,"cc,o,x",349,"c^c,o,x",163
B,1.r.4,1,50,"cc,o,N",3,"c^c,o,N",4
A,1.r.4,1,51,"cc,o,M,9",35,"c^c,c,o,M,9",1
B,1.r.4,1,51,"cc,o,M,9",35,"c^c,o,M,9",6
B,1.r.4,1,52,"cc,o,M,c,9",3,"c^c,o,M,c,9",1
A,1.v.1,1,1,"cc,o,8,a,m",45,"c^c,c,o,8,a,m",3
B,1.v.1,1,1,"cc,o,8,a,m",45,"c^c,o,8,a,m",22
B,1.v.1,1,3,"o,x,M,cc,c,9",2,"o,x,M,c^c,c,9",2
A,1.v.1,1,4,"cc,a,Z",72,"c^c,c,a,Z",23
B,1.v.1,1,4,"cc,a,Z",72,"c^c,a,Z",33
A,1.v.1,1,8,"cc,a,Z",72,"c^c,c,a,Z",23
B,1.v.1,1,8,"cc,a,Z",72,"c^c,a,Z",33
A,1.v.1,1,10,"o,cc,9",3,"o,c^c,c,9",5
B,1.v.1,1,10,"o,cc,9",3,"o,c^c,9",1
A,1.v.1,1,11,"8,cc,o",6,"8,c^c,c,o",3
B,1.v.1,1,11,"8,cc,o",6,"8,c^c,o",9
A,1.v.1,1,14,"cc,o,8,9",83,"c^c,c,o,8,9",41
B,1.v.1,1,14,"cc,o,8,9",83,"c^c,o,8,9",51
B,1.v.1,1,19,"c^c,9",82,"cc,9",131
B,1.v.2,1,1,"c^c,o,x",163,"cc,o,x",349
A,1.v.2,1,5,"cc,c,9",322,"c^c,c,c,9",137
B,1.v.2,1,5,"cc,c,9",322,"c^c,c,9",257
B,1.v.2,1,8,"c^c,o,c^c,9",2,"cc,o,c^c,9",3
A,1.v.2,1,9,"cc,o,N,9",37,"c^c,c,o,N,9",7
B,1.v.2,1,9,"cc,o,N,9",37,"c^c,o,N,9",7
A,1.v.2,1,10,"cc,o,x",349,"c^c,c,o,x",96
B,1.v.2,1,10,"cc,o,x",349,"c^c,o,x",163
B,1.v.2,1,13,"c^c,o,x",163,"cc,o,x",349
A,1.v.2,1,15,"8,o,x,cc,c,9",2,"8,o,x,c^c,c,c,9",1
A,1.v.2,1,18,"cc,9",131,"c^c,c,9",257
B,1.v.2,1,18,"cc,9",131,"c^c,9",82
A,1.v.2,1,23,"cc,c,o,x",152,"c^c,c,c,o,x",14
B,1.v.2,1,23,"cc,c,o,x",152,"c^c,c,o,x",96
A,1.v.2,1,31,"cc,o,8,9",83,"c^c,c,o,8,9",41
B,1.v.2,1,31,"cc,o,8,9",83,"c^c,o,8,9",51
B,1.v.2,1,32,"c^c,o,Z",87,"cc,o,Z",212
A,1.v.2,1,34,"cc,o,x",349,"c^c,c,o,x",96
B,1.v.2,1,34,"cc,o,x",349,"c^c,o,x",163
B,1.v.2,1,37,"c^c,o,x",163,"cc,o,x",349
A,1.v.2,1,38,"8,cc,o,Z",22,"8,c^c,c,o,Z",3
B,1.v.2,1,38,"8,cc,o,Z",22,"8,c^c,o,Z",13
B,1.v.2,1,39,"o,M,cc,o",8,"o,M,c^c,o",1
B,1.v.2,1,43,"cc,o,M,cc,c,9",4,"c^c,o,M,cc,c,9",2
A,1.v.2,1,45,"cc,o,8,9",83,"c^c,c,o,8,9",41
B,1.v.2,1,45,"cc,o,8,9",83,"c^c,o,8,9",51
A,1.v.2,1,48,"cc,o,8,a,Z",13,"c^c,c,o,8,a,Z",1
B,2.r.1,2,3,"o,M,cc,a,x",4,"o,M,c^c,a,x",1
A,2.r.1,2,7,"cc,N,a,Z",11,"c^c,c,N,a,Z",2
B,2.r.1,2,7,"cc,N,a,Z",11,"c^c,N,a,Z",2
B,2.r.1,2,9,"c^c,o,Z",87,"cc,o,Z",212
A,2.r.1,2,15,"cc,o,Z",212,"c^c,c,o,Z",41
B,2.r.1,2,15,"cc,o,Z",212,"c^c,o,Z",87
A,2.r.1,2,17,"cc,a,m",45,"c^c,c,a,m",9
B,2.r.1,2,17,"cc,a,m",45,"c^c,a,m",20
A,2.r.1,2,30,"8,cc,o,x",21,"8,c^c,c,o,x",8
B,2.r.1,2,30,"8,cc,o,x",21,"8,c^c,o,x",4
A,2.r.1,2,31,"8,cc,9",25,"8,c^c,c,9",12
B,2.r.1,2,31,"8,cc,9",25,"8,c^c,9",7
B,2.r.1,2,33,"c^c,o,Z",87,"cc,o,Z",212
A,2.r.1,2,36,"cc,o,x",349,"c^c,c,o,x",96
B,2.r.1,2,36,"cc,o,x",349,"c^c,o,x",163
B,2.r.2,2,1,"c^c,a,m",20,"cc,a,m",45
B,2.r.2,2,4,"c^c,o,x",163,"cc,o,x",349
B,2.r.2,2,6,"9,N,c^c",1,"9,N,cc",1
A,2.r.2,2,8,"c^c,c,c,9",137,"cc,c,9",322
B,2.r.2,2,8,"c^c,c,c,9",137,"cc,c,c,9",160
A,2.r.2,2,12,"c^c,c,c,9",137,"cc,c,9",322
B,2.r.2,2,12,"c^c,c,c,9",137,"cc,c,c,9",160
A,2.r.2,2,16,"cc,o,x",349,"c^c,c,o,x",96
B,2.r.2,2,16,"cc,o,x",349,"c^c,o,x",163
B,2.r.2,2,21,"cc,o,x,a,m",3,"c^c,o,x,a,m",2
B,2.r.2,2,22,"c^c,o,x",163,"cc,o,x",349
A,2.r.2,2,23,"c^c,c,N,9",35,"cc,N,9",16
B,2.r.2,2,23,"c^c,c,N,9",35,"cc,c,N,9",57
A,2.r.2,2,31,"cc,9",131,"c^c,c,9",257
B,2.r.2,2,31,"cc,9",131,"c^c,9",82
B,2.r.2,2,33,"c^c,a,i",5,"cc,a,i",12
A,2.r.2,2,36,"c^c,c,c,9",137,"cc,c,9",322
B,2.r.2,2,36,"c^c,c,c,9",137,"cc,c,c,9",160
A,2.r.2,2,39,"cc,9",131,"c^c,c,9",257
B,2.r.2,2,39,"cc,9",131,"c^c,9",82
A,2.r.2,2,40,"cc,o,Z",212,"c^c,c,o,Z",41
B,2.r.2,2,40,"cc,o,Z",212,"c^c,o,Z",87
B,2.r.2,2,44,"cc,a,i",12,"c^c,a,i",5
A,2.r.2,2,46,"cc,c,M,9",23,"c^c,c,c,M,9",8
B,2.r.2,2,46,"cc,c,M,9",23,"c^c,c,M,9",8
A,2.r.2,2,47,"cc,9,N,9",6,"c^c,c,9,N,9",1
B,2.r.2,2,49,"c^c,o",115,"cc,o",70
A,2.r.2,2,51,"cc,c,9",322,"c^c,c,c,9",137
B,2.r.2,2,51,"cc,c,9",322,"c^c,c,9",257
A,2.r.2,2,53,"cc,c,M,c,9",85,"c^c,c,c,M,c,9",20
B,2.r.2,2,53,"cc,c,M,c,9",85,"c^c,c,M,c,9",34
A,2.v.1,2,5,"cc,o,Z",212,"c^c,c,o,Z",41
B,2.v.1,2,5,"cc,o,Z",212,"c^c,o,Z",87
B,2.v.1,2,7,"c^c,M,9",4,"cc,M,9",13
A,2.v.1,2,9,"N,cc,9",25,"N,c^c,c,9",5
B,2.v.1,2,9,"N,cc,9",25,"N,c^c,9",5
B,2.v.1,2,10,"c^c,o",115,"cc,o",70
B,2.v.1,2,11,"c^c,o,x",163,"cc,o,x",349
A,2.v.1,2,15,"cc,o,Z",212,"c^c,c,o,Z",41
B,2.v.1,2,15,"cc,o,Z",212,"c^c,o,Z",87
A,2.v.1,2,17,"o,M,cc,9",40,"o,M,c^c,c,9",7
B,2.v.1,2,17,"o,M,cc,9",40,"o,M,c^c,9",4
A,2.v.1,2,18,"cc,o,Z",212,"c^c,c,o,Z",41
B,2.v.1,2,18,"cc,o,Z",212,"c^c,o,Z",87
B,2.v.1,2,19,"x,c^c,9",3,"x,cc,9",10
A,2.v.1,2,20,"cc,o,x",349,"c^c,c,o,x",96
B,2.v.1,2,20,"cc,o,x",349,"c^c,o,x",163
A,2.v.1,2,21,"cc,o,8,9",83,"c^c,c,o,8,9",41
B,2.v.1,2,21,"cc,o,8,9",83,"c^c,o,8,9",51
B,2.v.1,2,22,"cc,o,8,a,n",7,"c^c,o,8,a,n",3
A,2.v.1,2,23,"cc,c,M,c,9",85,"c^c,c,c,M,c,9",20
B,2.v.1,2,23,"cc,c,M,c,9",85,"c^c,c,M,c,9",34
B,2.v.1,2,25,"c^c,o",115,"cc,o",70
A,2.v.1,2,26,"cc,o,x,o",1,"c^c,c,o,x,o",1
B,2.v.1,2,26,"cc,o,x,o",1,"c^c,o,x,o",1
A,2.v.1,2,27,"cc,c,o,Z",77,"c^c,c,c,o,Z",4
B,2.v.1,2,27,"cc,c,o,Z",77,"c^c,c,o,Z",41
A,2.v.1,2,28,"cc,o,8,a,m",45,"c^c,c,o,8,a,m",3
B,2.v.1,2,28,"cc,o,8,a,m",45,"c^c,o,8,a,m",22
B,2.v.2,2,0,"N,cc,o,Z",20,"N,c^c,o,Z",2
B,2.v.2,2,1,"c^c,9",82,"cc,9",131
A,2.v.2,2,4,"2,c^c,c,9",6,"2,cc,9",3
B,2.v.2,2,4,"2,c^c,c,9",6,"2,cc,c,9",6
A,2.v.2,2,6,"cc,o,x",349,"c^c,c,o,x",96
B,2.v.2,2,6,"cc,o,x",349,"c^c,o,x",163
A,2.v.2,2,9,"cc,o,x",349,"c^c,c,o,x",96
B,2.v.2,2,9,"cc,o,x",349,"c^c,o,x",163
A,2.v.2,2,10,"cc,o,Z",212,"c^c,c,o,Z",41
B,2.v.2,2,10,"cc,o,Z",212,"c^c,o,Z",87
A,2.v.2,2,11,"cc,o,x",349,"c^c,c,o,x",96
B,2.v.2,2,11,"cc,o,x",349,"c^c,o,x",163
A,2.v.2,2,13,"cc,9",131,"c^c,c,9",257
B,2.v.2,2,13,"cc,9",131,"c^c,9",82
A,2.v.2,2,14,"cc,M,9",13,"c^c,c,M,9",8
B,2.v.2,2,14,"cc,M,9",13,"c^c,M,9",4
B,2.v.2,2,17,"M,cc,o,Z",17,"M,c^c,o,Z",4
B,2.v.2,2,18,"cc,a,i",12,"c^c,a,i",5
B,2.v.2,2,20,"cc,o,M,cc,c,9",4,"c^c,o,M,cc,c,9",2
A,2.v.2,2,23,"cc,c,c,2",32,"c^c,c,c,c,2",1
B,2.v.2,2,23,"cc,c,c,2",32,"c^c,c,c,2",8
A,2.v.2,2,24,"cc,Z",6,"c^c,c,Z",1
B,2.v.2,2,24,"cc,Z",6,"c^c,Z",1
B,2.v.2,2,25,"cc,c,a,m",3,"c^c,c,a,m",9
A,2.v.2,2,27,"cc,o,Z",212,"c^c,c,o,Z",41
B,2.v.2,2,27,"cc,o,Z",212,"c^c,o,Z",87
A,2.v.2,2,29,"cc,o,x",349,"c^c,c,o,x",96
B,2.v.2,2,29,"cc,o,x",349,"c^c,o,x",163
A,3.r.1,3,0,"M,c^c,c,o,2",1,"M,cc,o,2",3
B,3.r.1,3,0,"M,c^c,c,o,2",1,"M,cc,c,o,2",1
A,3.r.1,3,2,"cc,o,x",349,"c^c,c,o,x",96
B,3.r.1,3,2,"cc,o,x",349,"c^c,o,x",163
B,3.r.1,3,5,"9,cc,c,o,Z",8,"9,c^c,c,o,Z",4
A,3.r.1,3,6,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.r.1,3,6,"cc,o,Z",212,"c^c,o,Z",87
A,3.r.1,3,9,"cc,a,Q",18,"c^c,c,a,Q",1
B,3.r.1,3,9,"cc,a,Q",18,"c^c,a,Q",7
B,3.r.1,3,10,"o,cc,o,Z",5,"o,c^c,o,Z",1
A,3.r.1,3,12,"cc,o,x",349,"c^c,c,o,x",96
B,3.r.1,3,12,"cc,o,x",349,"c^c,o,x",163
A,3.r.1,3,15,"2,cc,c,9",6,"2,c^c,c,c,9",2
B,3.r.1,3,15,"2,cc,c,9",6,"2,c^c,c,9",6
A,3.r.1,3,16,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.r.1,3,16,"cc,o,Z",212,"c^c,o,Z",87
A,3.r.1,3,17,"cc,a,x",46,"c^c,c,a,x",16
B,3.r.1,3,17,"cc,a,x",46,"c^c,a,x",16
A,3.r.1,3,18,"cc,a,Q",18,"c^c,c,a,Q",1
B,3.r.1,3,18,"cc,a,Q",18,"c^c,a,Q",7
A,3.r.1,3,19,"cc,a,Q",18,"c^c,c,a,Q",1
B,3.r.1,3,19,"cc,a,Q",18,"c^c,a,Q",7
A,3.r.1,3,20,"cc,o",70,"c^c,c,o",40
B,3.r.1,3,20,"cc,o",70,"c^c,o",115
A,3.r.1,3,24,"cc,a,Q",18,"c^c,c,a,Q",1
B,3.r.1,3,24,"cc,a,Q",18,"c^c,a,Q",7
A,3.r.1,3,27,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.r.1,3,27,"cc,o,Z",212,"c^c,o,Z",87
B,3.r.1,3,31,"o,M,cc,o,x",22,"o,M,c^c,o,x",2
A,3.r.1,3,33,"cc,o,Q",15,"c^c,c,o,Q",4
B,3.r.1,3,33,"cc,o,Q",15,"c^c,o,Q",5
B,3.r.1,3,34,"c^c,o,Q",5,"cc,o,Q",15
A,3.r.1,3,36,"9,c^c,c,o,Z",4,"9,cc,o,Z",14
B,3.r.1,3,36,"9,c^c,c,o,Z",4,"9,cc,c,o,Z",8
A,3.r.1,3,37,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.r.1,3,37,"cc,o,Z",212,"c^c,o,Z",87
A,3.r.1,3,38,"cc,o,x",349,"c^c,c,o,x",96
B,3.r.1,3,38,"cc,o,x",349,"c^c,o,x",163
B,3.r.1,3,41,"c^c,o",115,"cc,o",70
A,3.r.1,3,43,"c^c,c,o,x,8,a,Q",1,"cc,o,x,8,a,Q",1
A,3.r.1,3,44,"o,M,cc,o,8,9",2,"o,M,c^c,c,o,8,9",1
A,3.r.1,3,47,"cc,o,x",349,"c^c,c,o,x",96
B,3.r.1,3,47,"cc,o,x",349,"c^c,o,x",163
B,3.r.2,3,1,"c^c,o,x",163,"cc,o,x",349
A,3.r.2,3,3,"c^c,c,o,x",96,"cc,o,x",349
B,3.r.2,3,3,"c^c,c,o,x",96,"cc,c,o,x",152
A,3.r.2,3,4,"c^c,c,9",257,"cc,9",131
B,3.r.2,3,4,"c^c,c,9",257,"cc,c,9",322
A,3.r.2,3,11,"4,o,M,c^c,c,9",5,"4,o,M,cc,9",61
B,3.r.2,3,11,"4,o,M,c^c,c,9",5,"4,o,M,cc,c,9",17
A,3.r.2,3,13,"4,o,N,c^c,c,9",7,"4,o,N,cc,9",64
B,3.r.2,3,13,"4,o,N,c^c,c,9",7,"4,o,N,cc,c,9",25
A,3.r.2,3,14,"cc,c,o,8,9",79,"c^c,c,c,o,8,9",2
B,3.r.2,3,14,"cc,c,o,8,9",79,"c^c,c,o,8,9",41
A,3.r.2,3,15,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.r.2,3,15,"cc,o,Z",212,"c^c,o,Z",87
B,3.r.3,3,1,"c^c,a,Z",33,"cc,a,Z",72
A,3.r.3,3,3,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.r.3,3,3,"cc,o,Z",212,"c^c,o,Z",87
A,3.r.3,3,5,"cc,o,Q",15,"c^c,c,o,Q",4
B,3.r.3,3,5,"cc,o,Q",15,"c^c,o,Q",5
A,3.r.3,3,9,"cc,o,x",349,"c^c,c,o,x",96
B,3.r.3,3,9,"cc,o,x",349,"c^c,o,x",163
A,3.r.3,3,11,"cc,c,o,x",152,"c^c,c,c,o,x",14
B,3.r.3,3,11,"cc,c,o,x",152,"c^c,c,o,x",96
B,3.r.3,3,12,"c,N,c^c,9",2,"c,N,cc,9",3
B,3.r.4,3,1,"c^c,o,8,a,m",22,"cc,o,8,a,m",45
B,3.r.4,3,4,"o,P2,cc,o,x",6,"o,P2,c^c,o,x",1
B,3.r.4,3,7,"o,M,cc,o,Z",15,"o,M,c^c,o,Z",1
A,3.r.4,3,9,"cc,c,o,Z",77,"c^c,c,c,o,Z",4
B,3.r.4,3,9,"cc,c,o,Z",77,"c^c,c,o,Z",41
A,3.r.4,3,14,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.r.4,3,14,"cc,o,Z",212,"c^c,o,Z",87
B,3.r.4,3,16,"9,cc,c,o,Z",8,"9,c^c,c,o,Z",4
A,3.r.4,3,17,"cc,o,x",349,"c^c,c,o,x",96
B,3.r.4,3,17,"cc,o,x",349,"c^c,o,x",163
A,3.r.4,3,19,"cc,o,x",349,"c^c,c,o,x",96
B,3.r.4,3,19,"cc,o,x",349,"c^c,o,x",163
B,3.v.1,3,3,"c^c,a",2,"cc,a",1
B,3.v.1,3,9,"4,o,M,cc,o,x",14,"4,o,M,c^c,o,x",1
B,3.v.1,3,10,"o,N,cc,o,Z",14,"o,N,c^c,o,Z",1
A,3.v.1,3,16,"cc,o,x",349,"c^c,c,o,x",96
B,3.v.1,3,16,"cc,o,x",349,"c^c,o,x",163
B,3.v.1,3,17,"c^c,o,x",163,"cc,o,x",349
A,3.v.1,3,19,"cc,o,Q",15,"c^c,c,o,Q",4
B,3.v.1,3,19,"cc,o,Q",15,"c^c,o,Q",5
A,3.v.1,3,23,"cc,2",15,"c^c,c,2",4
B,3.v.1,3,23,"cc,2",15,"c^c,2",1
A,3.v.1,3,24,"cc,9",131,"c^c,c,9",257
B,3.v.1,3,24,"cc,9",131,"c^c,9",82
A,3.v.1,3,25,"N,cc,c,o,x",4,"N,c^c,c,c,o,x",2
B,3.v.1,3,25,"N,cc,c,o,x",4,"N,c^c,c,o,x",2
B,3.v.1,3,29,"9,cc,c,a,Z",3,"9,c^c,c,a,Z",1
B,3.v.1,3,30,"o,M,cc,a,x",4,"o,M,c^c,a,x",1
A,3.v.1,3,31,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.v.1,3,31,"cc,o,Z",212,"c^c,o,Z",87
A,3.v.1,3,32,"cc,a,Z",72,"c^c,c,a,Z",23
B,3.v.1,3,32,"cc,a,Z",72,"c^c,a,Z",33
A,3.v.1,3,35,"cc,c,a,Z",51,"c^c,c,c,a,Z",2
B,3.v.1,3,35,"cc,c,a,Z",51,"c^c,c,a,Z",23
A,3.v.1,3,38,"cc,a,Q",18,"c^c,c,a,Q",1
B,3.v.1,3,38,"cc,a,Q",18,"c^c,a,Q",7
B,3.v.2,3,0,"M,cc,o,Z",17,"M,c^c,o,Z",4
A,3.v.2,3,2,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.v.2,3,2,"cc,o,Z",212,"c^c,o,Z",87
B,3.v.2,3,5,"9,N,cc,9",19,"9,N,c^c,9",2
A,3.v.2,3,7,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.v.2,3,7,"cc,o,Z",212,"c^c,o,Z",87
B,3.v.2,3,8,"cc,c,N,c,o,x",5,"c^c,c,N,c,o,x",1
A,3.v.2,3,13,"cc,o,Z",212,"c^c,c,o,Z",41
B,3.v.2,3,13,"cc,o,Z",212,"c^c,o,Z",87
B,3.v.2,3,17,"4,o,N,c^c,o,x",1,"4,o,N,cc,o,x",18
A,3.v.2,3,19,"cc,o,x",349,"c^c,c,o,x",96
B,3.v.2,3,19,"cc,o,x",349,"c^c,o,x",163
B,3.v.2,3,21,"c^c,o",115,"cc,o",70
B,3.v.2,3,22,"c^c,o,c,N,c,o",1,"cc,o,c,N,c,o",1
B,3.v.2,3,24,"M,cc,o,Z",17,"M,c^c,o,Z",4
A,3.v.2,3,25,"cc,o,8,a,m",45,"c^c,c,o,8,a,m",3
B,3.v.2,3,25,"cc,o,8,a,m",45,"c^c,o,8,a,m",22
A,3.v.2,3,26,"cc,o,Q",15,"c^c,c,o,Q",4
B,3.v.2,3,26,"cc,o,Q",15,"c^c,o,Q",5
B,3.v.2,3,29,"9,M,cc,9",15,"9,M,c^c,9",3
B,3.v.2,3,30,"M,cc,o,Z",17,"M,c^c,o,Z",4
B,3.v.2,3,33,"c^c,a,Z",33,"cc,a,Z",72
B,3.v.2,3,34,"c^c,N,a,m",3,"cc,N,a,m",17
A,3.v.2,3,35,"4,o,N,cc,9",64,"4,o,N,c^c,c,9",7
B,3.v.2,3,35,"4,o,N,cc,9",64,"4,o,N,c^c,9",9
A,3.v.2,3,38,"cc,N,9",16,"c^c,c,N,9",35
B,3.v.2,3,38,"cc,N,9",16,"c^c,N,9",13
A,3.v.2,3,40,"c^c,c,a,Q",1,"cc,a,Q",18
B,3.v.2,3,40,"c^c,c,a,Q",1,"cc,c,a,Q",7
A,4.r.1,4,2,"c^c,c,o,x",96,"cc,o,x",349
B,4.r.1,4,2,"c^c,c,o,x",96,"cc,c,o,x",152
A,4.r.1,4,4,"c^c,c,c,9",137,"cc,c,9",322
B,4.r.1,4,4,"c^c,c,c,9",137,"cc,c,c,9",160
A,4.r.1,4,7,"cc,o,Z",212,"c^c,c,o,Z",41
B,4.r.1,4,7,"cc,o,Z",212,"c^c,o,Z",87
B,4.r.1,4,9,"8,c^c,o,Z",13,"8,cc,o,Z",22
B,4.r.1,4,10,"c^c,o,x",163,"cc,o,x",349
B,4.r.1,4,11,"c^c,o,x",163,"cc,o,x",349
B,4.r.1,4,13,"c^c,M,cc,9",3,"cc,M,cc,9",4
A,4.r.1,4,13,"c^c,M,cc,9",3,"c^c,M,c^c,c,9",1
B,4.r.1,4,13,"c^c,M,cc,9",3,"c^c,M,c^c,9",1
