folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
113,V,3,"o,x,cc,9","cc,o,x,N,a,m","cc,c,?,N,c,o,x","cc,o,N,a,m","o,N,a,m","a,Z","8,a,i,Z","M,o,N,9","o,M,a,Z","o,M,o,Z"
113,V,5,"9,M,c,c,c,o,Z","o,Z,a,m","c,M,c,o,Z","o,N,a,m","o,x,N,a,Z","x,cc,c,c,9","c^c,c,8,9","2,a,Z,a,m","a,Z","N,a,Q"
113,V,7,"cc,c,o,2","x,o,a,Z","x,cc,c,c,9","o,x,N,c,c,9","x,o,x","x,N,x","o,M,a,x","4,o,N,a,Z","cc,c,o,8,9","a,x"
113,V,9,"o,N,a,Z","a,m+","o,x,a,Z","a,Z","cc,a,Z","4,o,N,a,n","N,c,c,9",x,"c^c,c,o","a,Z,a,x"
113,V,11,"8,a,m",9,"4,o,N,a,i,Z","x,cc,c,8,9","M,c,c,c,9",o,"a,m","o,x","a,m","4,o,x"
113,V,13,"o,x,a,m","o,M,a,m","o,N,a,Z","o,M,a,n","cc,c,a,x","8,a,m","o,2","a,m","4,o,N","o,x,cc,c,8,9"
113,V,15,"N,c,c,8,9","x,M,a,x","x,N,c,c,9","cc,c,o,N,a,n","o,x,a,m","o,M,a,m","4,o,N,c,c,9","o,M,c,c,8,9","M,c,c,o","9,c^c,c,9"
114,R,1,"cc,c,o,8",9,"x,N,c,c,c,8,a,Q","N,c,c,c,8","o,x","cc,c,c,8","o,Z",o,"Z,a,m","o,N,o,c,c,9"
114,R,3,"cc,c,8,a,x,o,2","cc,8,a,m","4,o,c,8,c,c,9","cc,8,o,8,a,m","4,o,N,c,c,8,9","o,x,8","o,Z","o,a,Z","8,a,Z","8,a,m"
114,R,5,"8,a,i,x,8,a,n","4,o,8,a,m","4,o,c,c,o,8,9","cc,c,o,8,c,c,c,9",9,"o,N,a,Z","x,cc,c,o,2","cc,c,N,c,8","4,o,N,cc,c,8,9","o,M,cc,c,8,9"
114,R,7,"cc,c,2","a,n",2,"a,x","o,c,a,n","4,o,N,c,8,a,m","M,a,m","a,x","cc,c,o","o,Z"
114,R,9,"a,n","o,Z","4,o,N,c,c,8,a,n","o,M,c,8,9","o,N,a,m","cc,c,c,8,a,n","o,m","2,a,i,Z","Z,a,Q","o,N,c,c,9"
114,V,2,"N,cc,c,8,9","cc,o","c^c,o,8","cc,c,8,a,m+","cc,c,8,N,9","a,m",2,"cc,c,o,9","cc,c,c,8,a,Z","o,M,a,m"
114,V,4,"cc,c,M,c,a,n","a,m+",2,"4,o,M,c,c,o","c^c,c,c,8,9","9,o,Q","8,a,Z","8,a,n","4,o,M,a,n","o,M,cc,c,8,9"
114,V,6,"4,o,M,a,Z","cc,o,M,a,n","o,c^c,2,o,8,a,m","v,c^c,Y,a,Q","4,o,M,o","P2,c^c,c,8,9","cc,o,9","c^c,c,o,8,9","4,o,N,a,x","o,M,o,8,9"
114,V,8,"o,N,c,c,8,9","a,x,N,a,n","o,M,a,m","o,M,cc,c,8,9","a,m","2,o,Z","a,Q","a,m","9,M,c,c,8,9","4,o,8,c,c,8,9"
114,V,10,"8,a,n","c^c,c,c,o","cc,c,M,a,m","cc,c,o,a,m","x,cc,?,9",o,"9,cc,c,o,x","4,o,M,a,Z","o,M,a,x","o,M,a,m"
115,R,1,"o,Z,a,Z,o","8,a,a,Z","o,Z","cc,o,x","4,o,c,N,c,c,o,2","cc,c,8,9","4,o,x","o,8","cc,o,Z","cc,c,a,x"
115,R,3,"cc,c,o,8,9","cc,c,o,Z","a,Z","cc,c,o,Z","x,o,Z","4,o,M,c,o","4,o,N,c,c,8,9","4,o,M,c,c,c,8,9","8,cc,c,8,a,m","8,a,Z,o,Q"
115,V,9,"x,N,9","a,Z","o,M,c,c,8,a,x","Z,cc,c,8,a,Z","x,N,cc,c,8,9","cc,x,o,Z","o,x","9,cc,c,c,8,a,m","Z,a,Z,a,Q","x,N,9"
116,R,2,"o,M,c,c,9","o,M,c,8,9","4,N,o,x,a,n","cc,c,8,9","o,M,c,9","cc,c,8,9","x,cc,c,8,9","o,x","2,a,n","o,x,9"
116,R,6,"cc,c,8,9","4,o,x","o,N,c,c,9","x,a,n","o,N,c,c,9","4,o,N,c,c,9","cc,c,9","8,a,n","9,P2,a,Q","a,Z"
116,R,10,"o,N,a,x,9","o,x,x,a,n","a,i,2","o,N,a,Z","cc,c,M,c,9","4,o,N,a,n","c^c,c,9","2,a,Z,a,m","o,Z,9","Z,a,Z,a,m"
