folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
113,R,1,"o,M,c,c,o,2,9","a,m","cc,2","a,x",o,"c^c,c,c,2","9,N,a,x,a,i,Z,o,x","cc,c,N,c,c,9","a,Z","a,x"
113,R,3,"cc,o,M,a,m","cc,o,8,9","x,c","a,N,9","8,a,m","cc,c,o","o,N,a,m","cc,o","4,o,N,a,m","o,M,c,c,9"
113,R,5,"cc,a,m+","a,m",2,"cc,Z","cc,o,x","a,x","o,N,cc,8,a,Z","cc,o,N,cc,9","N,cc,c,8,9",x
113,R,7,"o,N,c,o,8,9","a,i,Z","x,c^c,o,Z","c^c,c,N,c,c,9","c^c,a,m","c^c,o,N,cc,9","o,M,cc,8,9","c^c,c,8,a,i,Z","c^c,o,x","o,n,Z"
113,R,11,"c^c,c,8,a,n","c^c,c,o,8,9","8,cc,c,c,9","4,o,2,a,n","Z,cc,c,8,9","o,c,N,c,9","o,N,a,Z","o,M,a,Z","4,o,M,a,m","o,N,cc,c,8,9"
113,V,4,"o,Z,o,Z","o,x,cc,c,9","a,Z,x","o,M,c^c,c,o,8,9","2,o,x,cc,c,8,9","Z,a,Q","x,N,c,8,a,x","o,N,o","o,N,a,Z","4,o,M,a,Z"
113,V,6,"o,x,a,m","o,M,a,Z,9","a,Z","o,M,cc,a,Z","cc,o,8,9","cc,c,N,c,c,9","x,N,a,m","4,c,N,c,a,Q","x,cc,a,x","cc,c,8"
113,V,10,"o,M,a,n","cc,c,8,9","x,o,Z","a,i,Z","4,o,N,a,m","a,Q",Z,"cc,c,o","cc,c,N,c,c,9","4,o,N,a,m"
114,R,6,"8,N,a,i,Z","x,cc,c,o","x,cc,c,8,o","x,cc,c,c,9","Z,o,x","8,o","o,M,c,8,9","o,M,a,Z","a,m","4,o,M,c,8"
114,R,10,"a,x,N,a,Q","cc,8,a,Z","9,N,a,Z","o,x,N,a,m","9,M,a,n","cc,c,8,9","8,a,x","cc,c,o","a,m","o,8,a,n,2"
114,V,1,"c^c,c,8,9","cc,c,c,8,a,n","o,N,a,x,9","4,o,N,c,c,8,9","cc,c,8,9","o,N,9","cc,c,8,a,n","8,a,m","o,N,c,c,8,9","4,o,M,c,8,9"
114,V,3,"cc,c,M,c,8,9","8,a,n","cc,c,8,a,n","cc,c,8,a,m","o,x","4,o,M,a,m","cc,c,8,a,m","o,x,N,c,c,2","cc,c,8,9","4,o,M,a,x"
114,V,7,"9,N,c,8,c,N,c,9","o,M,c,cc,9","o,x,N,c,8,9","cc,o,c,N,c,9","4,o,M,cc,c,9","4,o,N,a,m","c^c,o,8","9,cc,c,8,a,Z","a,Z,a,x","8,a,n"
114,V,9,"cc,c,M,a,Q","a,m","a,Z","cc,c,c,2","4,o,M,cc,c,8","c^c,8,o","M,cc,c,8,9","a,Z,9","M,a,n","cc,o,N,c,c,9"
114,V,11,"o,x,N,a,n,Q","cc,o,8,a,m","cc,c,N,c,9","4,o,N,a,m","9,M,c,c,c,9","N,a,i,Z","9,c^c,c,9","a,i,Z","cc,c,o,2","2,o,M,c,9"
115,V,8,"cc,8,9","cc,c,8,9","cc,o,x","cc,c,8,9","o,Z",x,"x,cc,o","9,cc,c,9","N,cc,c,M,a,Q","cc,N,a,x"
115,V,10,"x,cc,c,8,9","c,8,a,x","cc,c,M,c,9","4,o,M,cc,9","9,cc,c,8,a,x","8,a,m","M,c,c,o","cc,c,c,9","cc,c,M,c,c,8,9","cc,8,8,9"
116,R,1,"2,a,x,9","4,o","c^c,c,9","o,M,c,o,Z","x,c^c,c,8,9","c,M,c,9","x,c^c,c,9","cc,x","8,a,n","9,N,a,?,a,Q"
116,R,3,"x,N,a,n","o,N,c,c,9","4,o,N,a,n","4,o,N,c,c,8,9","x,cc,c,9","4,o,N,c,c,9","x,cc,c,8,9","x,8,9","o,M,c,8,9","o,M,c,c,8,a,Z"
