folio,par,line,para_idx,para_len,line_idx,rel_pos,is_para_first,is_para_last,is_line_first,is_line_last,before,after
32r,2,8,22,42,3,0.537,False,False,False,True,"8,a,m","2,cc,c,9"
33v,1,5,43,57,6,0.768,False,False,False,False,"a,Z,x","8,9,M,9,8,9"
35r,1,1,3,40,3,0.077,False,False,False,False,"cc,o,x,9","cc,o,M,9"
35v,1,4,15,83,3,0.183,False,False,False,True,"8,cc,9","8,cc,o,N,cc,9"
36r,1,1,6,22,6,0.286,False,False,False,False,"c^c,a,m","8,a,i,Z"
42v,2,6,45,55,3,0.833,False,False,False,False,"N,cc,9","c,M,c^c,c,2"
44v,1,3,23,25,5,0.958,False,False,False,False,"8,a,m","c,M,c,9"
44v,1,3,24,25,6,1.0,False,True,False,True,"c,M,c,9",<END>
44v,2,2,10,33,2,0.312,False,False,False,False,"c^c,o,x","c,P2,c,a,m"
44v,3,4,25,37,5,0.694,False,False,False,False,"o,N,a,m","o,M,a,x"
44v,3,5,31,37,4,0.861,False,False,False,False,"cc,c,M,c,9","c,M,c,o"
45r,1,2,10,33,1,0.312,False,False,False,False,"c^c,o,Z","4,o,N,9"
45r,1,3,24,33,5,0.75,False,False,False,False,"4,o,a,m","cc,a,m"
45r,3,1,1,23,1,0.045,False,False,False,False,"M,cc,o,x","4,o,8,a,m"
45r,3,1,3,23,3,0.136,False,False,False,False,"4,o,8,a,m","8,a,n"
45v,1,2,13,37,3,0.361,False,False,False,False,"8,a,m","o,N,cc,o,x"
45v,3,2,8,24,1,0.348,False,False,False,False,"9,cc,o,Z","cc,o,x"
46r,2,2,18,35,7,0.529,False,False,False,False,"cc,8,9","o,M,c,8,9"
46v,1,5,61,81,10,0.762,False,False,False,True,"2,a,Z,a,i,Z","M,a,Z"
47v,1,4,26,39,6,0.684,False,False,False,True,"4,o,M,9","8,c^c,o,x,9"
49v,1,3,13,62,3,0.213,False,False,False,False,"cc,c,M,c,9","N,o,8,8,9"
51v,1,2,13,79,7,0.167,False,False,False,True,"8,a,m","M,cc,o,8,9"
51v,1,3,15,79,1,0.192,False,False,False,False,"M,cc,o,8,9","cc,c,N,c,c,9"
52v,2,2,5,35,1,0.147,False,False,False,False,"N,o,8,a,m","4,o,N,c,c,9"
53v,1,2,12,74,5,0.164,False,False,False,False,"c^c,o,x","8,cc,a,Q"
54v,1,6,42,92,3,0.462,False,False,False,False,"c^c,c,o","4,o,8,a,m"
56r,2,7,29,47,2,0.63,False,False,False,True,"cc,o,c","4,o,M,cc,9"
66r,11,1,6,14,6,0.462,False,False,False,False,"c^c,c,o","o,x,x,8"
84v,3,3,25,160,4,0.157,False,False,False,False,"c^c,c,8,9","N,o,Z,o,x"
86r,3,2,17,62,6,0.279,False,False,False,False,"M,c,o,8,9","o,Z"
89vb,3,7,67,75,10,0.905,False,False,False,True,"o,x,N,c,c,9","2,o,x"
93r,1,22,112,151,1,0.747,False,False,False,False,"N,cc,o,Z","cc,a,N,a,x"
93v,1,4,35,90,7,0.393,False,False,False,False,"cc,o,x","9,N,cc,9"
101v,3,2,42,57,23,0.75,False,False,False,False,"cc,o,8,a,m","o,N,o,8,9,8,a,Z"
104r,4,1,8,39,8,0.211,False,False,False,False,o,"4,o,M,o,Z"
106v,2,1,10,41,10,0.25,False,False,False,False,o,"8,a,i,Z"
113r,7,1,8,22,8,0.381,False,False,False,False,"c,P2,c,o","cc,o,Z"
116r,1,3,29,35,3,0.853,False,False,False,False,"x,c^c,c,9","x,c^c,c,8,9"
