"url","author1","shorttitle","title","year","category"
"https://www.deutschestextarchiv.de/arnold_cyprian_1700","Arnold, Gottfried","","Erklärung/ Vom gemeinen Secten-wesen/ Kirchen- und Abendmahl-gehen; Wie auch Vom recht-Evangel. Lehr-Amt/ und recht-Christl. Freyheit","1700","Wissenschaft"
"https://www.deutschestextarchiv.de/arnold_ketzerhistorie02_1700","Arnold, Gottfried","","Gottfrid Arnolds Fortsetzung und Erläuterung Oder Dritter und Vierdter Theil der unpartheyischen Kirchen- und Ketzer-Historie","1700","Wissenschaft"
"https://www.deutschestextarchiv.de/392439","Arnold, Johannes","","Die Bittere Klage über den Erschlagenen in meinem Volck/ den weyland Ehrsamen und Nahmhafften Hanß Saupen","1713","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/arrhenius_planeten_1911","Arrhenius, Svante",,"Das Schicksal der Planeten","1911","Wissenschaft"
"https://www.deutschestextarchiv.de/santaclara_mercks_1680","a Santa Clara, Abraham","","Mercks Wienn","1680","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/aston_leben_1847","Aston, Louise",,"Aus dem Leben einer Frau","1847","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/aston_emancipation_1846","Aston, Louise",,"Meine Emancipation, Verweisung und Rechtfertigung","1846","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/526976","Aubelin, David ","","Leichpredigt","1602","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders2_1869","Auerbach, Berthold",,"Brief an Daniel Sanders","1869","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders2_1878","Auerbach, Berthold",,"Brief an Daniel Sanders","1878","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders2_1880","Auerbach, Berthold",,"Brief an Daniel Sanders","1880","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders_1880","Auerbach, Berthold",,"Brief an Daniel Sanders","1880","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders3_1878","Auerbach, Berthold",,"Brief an Daniel Sanders","1878","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders_1867","Auerbach, Berthold",,"Brief an Daniel Sanders","1867","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders_1869","Auerbach, Berthold",,"Brief an Daniel Sanders","1869","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders_1875","Auerbach, Berthold",,"Brief an Daniel Sanders","1875","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders_1878","Auerbach, Berthold",,"Brief an Daniel Sanders","1878","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_sanders_1881","Auerbach, Berthold",,"Brief an Daniel Sanders","1881","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/auerbach_diethelm_1910","Auerbach, Berthold",,"Die Geschichte des Diethelm von Buchenberg","1910","Belletristik"
"https://www.deutschestextarchiv.de/august_gesindlein_1650","August Braunschweig-Lüneburg, Herzog, 1579-1666","","Von Gottes Gnaden/ Wir Augustus/ Herzog zu BrunsWig/ und LunäBurg/ Geben allen und Jeden unseren Prälaten ... himit zu wissen. Ob wol ... das unnütze böse Gesindlein ... in disen Unseren Fürstentumen ... nicht geduldet noch gelitten ... werden solle. So erfahren Wir ... das ... auch dieses ... Gesindlein ... auch in Unseren Fürstentum ... sich wider finden lassen wollen ...","1650","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/kotzebue_schutzgeist_1814","August von, Kotzebue",,"Der Schutzgeist","1814","Belletristik"
"https://www.deutschestextarchiv.de/avelallemant_gaunerthum01_1858","Avé-Lallemant, Friedrich Christian Benedikt","","Das Deutsche Gaunerthum","1858","Wissenschaft"
"https://www.deutschestextarchiv.de/avelallemant_gaunerthum02_1858","Avé-Lallemant, Friedrich Christian Benedikt","","Das Deutsche Gaunerthum","1858","Wissenschaft"
"https://www.deutschestextarchiv.de/avelallemant_gaunerthum03_1862","Avé-Lallemant, Friedrich Christian Benedikt","","Das Deutsche Gaunerthum","1862","Wissenschaft"
"https://www.deutschestextarchiv.de/avelallemant_gaunerthum04_1862","Avé-Lallemant, Friedrich Christian Benedikt","","Das Deutsche Gaunerthum","1862","Wissenschaft"
"https://www.deutschestextarchiv.de/baader_arbeit_1911","Baader, Ottilie",,"Von der politischen Arbeit der proletarischen Frauen","1911","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/baar_hausangestellte_1911","Baar, Ida",,"Heraus mit dem Recht der Hausangestellten!","1911","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bach_versuch01_1759","Bach, Carl Philipp Emanuel","","Versuch über die wahre Art das Clavier zu spielen","1759","Wissenschaft"
"https://www.deutschestextarchiv.de/bach_versuch02_1762","Bach, Carl Philipp Emanuel","","Versuch über die wahre Art das Clavier zu spielen","1762","Wissenschaft"
"https://www.deutschestextarchiv.de/bach_bwv214_1733","Bach, Johann Sebastian",,"Drama Per Musica","1733","Belletristik"
"https://www.deutschestextarchiv.de/bachstrom_schwimmen_1742","Bachstrom, Johann Friedrich","","Die Kunst zu Schwimmen","1742","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bacmeister_predigt_1614","Bacmeister, Lucas",,"Leichpredigt/ Bey der Volckreichen und ansehnlichen Begrebnuß des Weiland Edlen/ Gestrengen und Ehrnuesten Tessen Von Parsow/ Fürstlichen Meckelnburgischen bestalten Obristen und geheimen Rath/ auff Parsow und Vpall Erbgesessen.","1614","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/523531","Bacmeister, Lucas ","","Christliche Klag und Trostpredigt auß dem 56. Capittel Esaiae. Bey der Leichbestetigung/ Des Weiland Edlen Gestrengen vnd Ehrnvesten Hans Ernst von Jaßmund","1616","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/baer_thiere_1828","Baer, Karl Ernst von","","Über Entwicklungsgeschichte der Thiere","1828","Wissenschaft"
"https://www.deutschestextarchiv.de/baer_thiere_1837","Baer, Karl Ernst von","","Über Entwicklungsgeschichte der Thiere","1837","Wissenschaft"
"https://www.deutschestextarchiv.de/421583","Bahn, Nikolaus","","Das unschuldig vergoßne Blut","1701","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bahnson_satzungen_1912","Bahnson, Minna",,"Ist es wünschenswert, daß der § 3 aus den Satzungen des Deutschen Verbandes für Frauenstimmrecht gestrichen wird?","1912","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bahr_phantom_1913","Bahr, Hermann","","Das Phantom","1913","Belletristik"
"https://www.deutschestextarchiv.de/bake_ball_1891","Bake, Elise",,"Der Ball der Tiere","1891","Belletristik"
"https://www.deutschestextarchiv.de/522372","Bakius, Reinhard ","","Arcanum Christianorum Triplex","1623","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/bakunin_aufruf_1848","Bakunin, Michail Alexandrowitsch",,"Aufruf an die Slaven","1848","Gebrauchs­literatur"
