folio,par,line,color,rays,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
103v,14,1,W,8,"o,Z,a,n","cc,c,N,c,c,9","4,o,N,a,m","c^c,c,N,c,9","c^c,M,a,x","o,P2,cc,9","x,N,c,c,8,9","cc,8,9","x,cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,14,2,,,"4,N,a,n","c^c,c,9","a,Z","a,Z","o,N,9","Z,a,n","cc,c,N,c,9","c^c,c,8,9","4,o,N,c,o,Z,9","x,M,c,c,8,9","Z,o",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,14,3,,,"o,N,c,9","o,x","cc,c,c,9","x,cc,c,c,9","x,N,a,n","c^c,c,N,c,9","c^c,c,c,N,c,9","o,Z,a,n","o,M,a,Z","o,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,14,4,,,"M,a,n","c^c,o,x","4,o,N,a,n","cc,c,N,c,9","Z,o,Z,o,x","cc,8,9","Z,a,x,9","o,Z,a,m","cc,a,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,1,1,R,7,"P2,cc,8,a,Z","cc,c,8,9","cc,a,Z","4,o,P2,cc,c,8,9","o,c,P2,c,c,8,9","4,o,P2,cc,c,8,9","c^c,c,8,a,m","o,M,c,c,o","cc,c,9","4,o,P2,cc,c,8,9","2,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,1,2,,,o,"a,Z","a,m","9,M,c,c,o,8,9","cc,c,o,8,a,m","cc,c,o,8,a,Z",2,"a,m","cc,c,9","M,a,i,Z","o,2","a,m+","cc,c,M,c,c,8,9","M,c,c,8,a,2,a,Q",$,$,$,$,$,$,$,$,$,$,$,$
104r,1,3,,,"8,a,m,Z",o,"c,M,c,c,c,8,9","o,M,c,cc","9,N,a,Z","o,M,c,8,9","o,M,o,8,9","4,o,M,c,c,o,2","9,M,c,c,o,8,9","o,M,c,c,8,9","o,N,9","o,N,a,x","8,a,Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
104r,1,4,,,"o,x","c^c,c,c,8,9","4,o,N,c,c,8,9","cc,c,8,a,x","4,o,8,a,m","4,o,8,a,m+","cc,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,2,1,W,7,"N,cc,8,a,x","4,o,M,a,m","4,o,c^c,c,8,9","o,x","cc,x","o,x","cc,c,8,a,c,P2,c,9","a,x","x,o,8","P2,cc,8,a,i,Z","o,P2,cc,8,9","4,o,8",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,2,2,,,"9,cc,c,c,o,8,9","a,m","x,N,a,Z","cc,c,c,o","8,a,n","o,c,N,c,c,8,9","4,o,N,c,c,8,9","4,o,M,a,n","o,M,cc,8,9","o,M,a,n","cc,c,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,2,3,,,"8,cc,o,8,c,c,2","c^c,c,o,2","o,8,a,m","o,M,cc,c,8,9","4,o,8,a,n","c^c,c,8,9","cc,c,8,9","4,o,8,a,n","o,N,a,Z","a,Z","o,N,a,i,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,2,4,,,"o,x,c^c,c,c,8,9","x,N,c,c,8,9","x,N,c,o,8,9","4,o,N,a,m","cc,c,8,a,x","4,o,N,a,Z","o,8,a,Z","4,o,N,a,x","o,N,a,Z","o,M,a,Z,?,8,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,2,5,,,"9,cc,c,c,o,9","4,o,N,c,cc,o","4,o,N,o,x","cc,c,c,o","8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,3,1,R,8,"M,o,x","cc,c,8,a,x","cc,c,o,c,N,a,9","o,M,9,8","o,2",x,"a,i,Z","c^c,8,9","4,o,N,c,c,8","o,c,M,c,c,o,8,9","cc,o,x,P1,o,Z","o,M,a,x,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,3,2,,,"o,M,o,8,cc,9","x,N,c,o,8,9","4,o,N,a,i,Z","o,M,o,x,9","c^c,o,8,o,Z","cc,c,c,9","o,N,a,Z","o,x,N,c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,4,1,R,7,"M,c^c,8,o,x","4,o,M,cc,c,8,9","4,o,N,o,c,c,9","4,o,M,c,o,8,c","x,o","Z,a,Z","a,x",o,"c,M,c,9","4,o,M,o,Z","o,P2,cc,c,9","4,o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,4,2,,,"o,x,cc,c,o,x","4,o,8,a,n","cc,o,N,a,Z","o,N,cc,o","x,N,a,n","o,N,a,Z","cc,c,o,8,9","o,N,c,c,o,8,9","4,o,8,a,?,Q","cc,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,4,3,,,"8,a,m","cc,o,a,m","4,o,N,c,cc,9","4,o,M,a,x","cc,c,o,x,o,Z","2,a,m","o,x,N,c,c,cc,c,9","o,M,a,x","o,x,o,c,c,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,4,4,,,"2,o,Z","cc,o,8,a,m","cc,o,8,9","o,N,a,Z","o,M,o,x,N,c,c,cc,8,9","o,N,a,x","N,a,m","cc,c,o,8,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,5,1,W,7,"o,cc,c,o,c,M,c,c,9","4,o,c,M,c,c,o,8,9","9,N,c,c,o,8,c,9","4,o,c,P2,cc,9","o,P2,cc,c,9","4,o,M,9",c^c,"M,c,9","9,M,c,c,8,9","c^c,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,5,2,,,"9,N,c,c,c^c,c,8,9","o,x,N,c,c,o,8,9","4,o,M,c,9","4,o,N,a,Z","cc,c,8,9","4,o,N,c,8,9","o,M,c,c,cc,9","cc,9,M,c,o,8,9","o,N,a,Z","o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,5,3,,,"8,cc,c,c,o,N,c,o,8,9","4,o,N,a,n","4,o,x,a,Z","o,Z","cc,o,c,N,c,a,Z","o,M,a,x","N,c^c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,6,1,R,8,"M,o,a,m","cc,8,a,Z","o,M,a,Z,c^c,8","4,o,M,a,Z","o,x,N,cc,c,8,9","cc,c,o,N,c,c,9","N,a,Z,9","o,P2,a,i,Z","o,M,a,Z","a,i,Z,o,8","x,c^c,8",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,6,2,,,"8,c^c,c,o,9","4,o,c,M,cc,c,9","4,o,N,cc,8,9","4,o,N,a,m","cc,o,x","Z,a,Z","cc,c,o,8,9","cc,c,c,c,N,a,i","a,Z","a,n","a,Z","a,x,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,6,3,,,"8,c^c,c,c,8,9","4,o,N,a,m","cc,c,a,Z","o,x,N,cc,c,8,9","cc,a,Z,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,7,1,W,8,"M,c^c,c,8,a,Z","cc,x,x,o","Z,x","c^c,c,8","N,cc,c,8,9","cc,o,N,o,Z","cc,c,c,8,9","o,P2,cc,a,Z","cc,c,o,Z","cc,c,N,c,c,9","M,a,m","8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,7,2,,,"o,x","c^c,c,o","c,N,c,c,9","cc,o,x","N,c,cc,8,9","o,N,c,c,8,a,x","x,N,a,n","cc,o,x","N,c,c,o,8,9","o,M,cc,o,Z","a,n,Z","cc,o,x","N,a,Z","a,x,o,x",$,$,$,$,$,$,$,$,$,$,$,$
104r,7,3,,,"8,a,m","cc,a,Z","4,o,M,a,x","o,N,c,cc,o,x","o,x,N,c,c,o,Z","o,x,N,c,c,o,8,a,x","x,N,a,m","cc,a,x","N,c,c,c,8,9","4,o,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,7,4,,,"2,a,Z","o,N,a,i,2","cc,o,N,c,c,9","4,o,8,a,m","cc,c,N,c,9","cc,c,c,N,c,8",x,"Z,a,m","o,M,a,n","a,Z","a,i,2,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,7,5,,,"c^c,a,Z","c^c,c,c,9","N,a,Z","c^c,c,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,8,1,R,7,"P2,cc,c,8,a,Z","4,o,N,a,m","4,o,M,a,m","8,x","Z,a,x","cc,c,o,8,x","c,P2,c,a,m","8,a,m","a,Z","4,o,N,c,c,c,9","4,o,P2,a,Z,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,8,2,,,"o,x,cc,c,c,a,Z","cc,c,8,a,Z","o,Z","a,Z,o,Z","c^c,c,c,9","o,x,N,c,c,cc,9","o,Z","cc,a,x","cc,c,c,o,x","2,o,Z","o,Z","a,m","o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
104r,8,3,,,"9,c^c,c,o","8,a,m","c^c,o,8,9","9,M,c,c,8,9","cc,c,c,8,a,Z","o,Z","a,i,Z","cc,c,o,x,M,a,Z","a,Z,o,8,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,9,1,W,9,"o,N,c,c,o",x,"N,c,c,o","8,a,n","x,N,c,o,8,a,m","4,o,N,c,c,o","x,N,c,cc,c,9","o,N,c,o,8,9","o,M,c,cc,8,9","o,P2,cc,c,o,c,P1","4,o,P2,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,9,2,,,"4,o,N,c,c,o","a,m","o,N,c^c,c,c,9","o,N,o,x","cc,c,9","x,cc,c,c,c,9","o,M,c,c,9","x,N,c,cc,c,8,9","4,o,N,a,m","cc,c,8,a,Z","cc,o,x","cc,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,9,3,,,"9,c^c,c,c,o,8,9","4,o,c,M,c","o,N,c^c,c,9","o,M,c,cc,c^c,9","cc,c,o,x","N,a,m","c^c,o,8,a","x,N,a,m","cc,c,o,8,a,n","4,o,N,a,Z","a,x,cc,8",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,9,4,,,"o,N,cc,c,cc,9","4,o,N,cc,c,c,8,9","o,N,cc,8,a,x","4,o,N,a,x","cc,a,Z","o,x,N,c,c,c,9","o,x,cc,c,o","x,N,a,m","cc,c,9","Z,o,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,10,1,R,9,"P2,cc,o,x","N,c^c,c,o,8,9","4,o,N,c,c^c,c,8,9","4,o,N,a,x","cc,c,8,9","4,o,N,a,m","o,M,a,m","cc,c,o,8,9","4,o,N,a,x","M,a,m","cc,o,x,Y,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,10,2,,,"9,c^c,o,m","4,o,cc,c,c,o,x","cc,c,8,a,m","4,o,8,a,x","cc,c,9","cc,o,x","cc,c,o,x","o,x,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,11,1,W,7,"P2,c^c,c,o,8,9","4,o,M,a,Z","cc,o,P2,a,Z","4,o,M,a,x,9","4,o,M,c^c,c,o,8","4,o,M,c,cc,9","N,a,m","o,N,a,Z","4,o,P2,cc,a,Z","o,P2,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,11,2,,,"o,N,a,m","cc,c,o,8,a,x","4,o,a,m","o,N,a,Z","o,Z,a,m","o,N,a,Z","o,M,c,o,8,9","4,o,N,a,m","o,N,a,x","4,o,M,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,11,3,,,"o,N,a,m","a,Z,cc,c,o,x","4,o,N,cc,o,x","N,cc,c,o,8,9","4,o,M,cc,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,12,1,R,7,"P2,cc,o,x,o,Z","a,Z","a,m","a,x,N,cc,8,9","4,o,M,a,x","cc,o,x","4,o,a,Z","a,m","4,o,P2,cc,c,c,8,9","4,o,M,a,i,Z","o,P1,a,m,o?",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,12,2,,,"o,x,N,c,c,o,2","o,x,N,a,m","o,a,i,Z","4,c,M,c,9","o,m,o,x","a,x","x,8","o,c,c,a,Z","cc,c,M,c,9","o,x,cc,c,8","4,o,M,a,m+",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,12,3,,,"4,o,M,c,c,9","4,o,N,c,o,Z","2,o,n,Z","4,o,M,9","4,o,N,x","x,N,a,m","9,M,c,c,8,9","4,o,N,a,n","o,4,o,c,N,c,9","8,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,12,4,,,9,"x,c^c,c,8,9","cc,o,x,N,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,13,1,W,8,"M,c^c,c,o,8,x","4,o,N,a,m","4,o,N,cc,c,8,9","9,N,cc,8,9","P2,cc,c,8,9","4,o,N,c,c,8,9","o,M,c,c,9","4,o,N,a,n","o,M,c,o,x","8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,13,2,,,"o,N,cc,c,o,cc,9","cc,c,c,9","4,o,c,c,8,a,m","4,o,N,c,c,9","a,Z","cc,c,o,x","o,x,N,a,i,Z","4,o,N,a,m","o,M,a,m","o,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104r,13,3,,,"8,a,m","o,x,cc,c,c,o",x,2,"a,m","o,M,a,n","a,Z","cc,c,8,9","4,o,N,a,m","o,M,a,m","o,M,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,1,1,R,8,"P2,cc,8,o,m","o,P2,cc,c,c,8,9","o,Z,a,Z","o,x,M,cc,c,c,9","o,P2,cc,c,8,9","o,x","c,a,Z","a,n,Z","a,x,9","cc,c,o,8,o,m","cc,c,c,N,a,n","8,o,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,1,2,,,"9,cc,c,8,a,m","4,o,M,c,c,Q","cc,o,c,N,c,9","o,M,a,m","9,8,a,m","4,o,N,a,Q,8,9","o,M,a,Z,a,Z","a,x,?,cc,c,8","o,M,a,i,Z","o,Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,1,3,,,"c^c,o,8","cc,c,8,9","4,o,M,a,m","o,8,a,m","o,N,c,o,x","o,c,N,c,c,9","cc,o,x","4,o,N,c,c,8,9","4,o,M,a,i,Z","o,c,c,8,a,m","o,x","8,?",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,1,4,,,"4,o,M,c,c,8,9","cc,c,8,a,m","cc,o,N,a,Z","4,o,M,o,x","4,o,M,cc,c,8","cc,o,x","cc,c,9","4,o,x","cc,c,8,9","4,o,c,c,c,9","4,o,N,c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,1,5,,,"8,cc,c,o,x","cc,8,c,c,9","o,c,c,o,8,a,n",2,"a,i,Z,o,x","cc,c,8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,2,1,W,8,"2,o,x,cc,8","c^c,o,x","c^c,c,o,x","4,o,N,cc,9","4,o,N,o",x,"cc,c,8,9","c^c,c,8,9","4,o,N,a,n","cc,c,c,8,9","c,P2,c,c,o","?,P2,cc,c,8,9","4,o,M,a,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,2,2,,,"o,2,cc,c,o","x,cc,o,8,9","cc,c,c,9","4,o,c,N,9","cc,c,o","a,n",o,"cc,c,8,9","cc,c,c,8,9","cc,c,8,9","2,o,x","cc,c,o,8,a,x,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,3,1,R,7,"M,cc,o,8,x,2","cc,c,c,o,8,9","cc,c,c,o,o,x","x,2","a,i,Z","9,N,c,c,8,9","cc,o,M,c,8,9","4,o,M,cc,c,8",9,"cc,c,8,9","4,o,c,N,9","4,o,M,c,c,o","x,o",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,3,2,,,"9,cc,c,o","x,cc,c,o,8","o,M,a,m","4,o,N,c,c,8,9","4,o,N,a,m","cc,c,o,Z","o,x","cc,c,8,a,m","4,o,M,a,Z","cc,c,8,9","4,o,M,9","8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,3,3,,,"c^c,o,x","cc,c,c,8,9","4,o,N,a,m","4,o,M,i,c,8,9","o,M,a,m","o,M,c,c,8,9","4,o,M,c,8,o,Z","o,N,a,n","cc,c,o,2","cc,c,c,o","x,cc,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,3,4,,,"9,cc,c,c,8,9","4,o,c,M,cc,9","9,N,cc,c,8,o,Z","cc,c,c,N,9","4,o,N,cc,8","4,o,M,o,x","4,o,N,o,x","4,o,N,o,x","8,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,4,1,W,7,"P2,o,x,cc,c,cc,9","o,M,c,o,9","cc,o,M,cc,2","cc,c,c,M,a","o,M,c,c,c,9","o,M,c,c,8,9","4,o,M,9","cc,c,8",x,"cc,c,o,x","P2,a,Z","o,x,M,c,8,9","cc,c,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,4,2,,,"9,cc,c,o,x","cc,c,o,8,9","4,o,c,c,cc,8,9","4,o,N,c,o,x","4,o,M,a,m","cc,c,8,a,Z","cc,c,o","x,N,a,m","cc,c,c,M,a,Z","a,m","cc,a,M,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,4,3,,,"9,M,cc,c,8,9","4,o,N,c,c,o","x,cc,c,o,x,c^c,c,8,9",2,"a,m","cc,c,N,9","8,a,n,8,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,5,1,R,8,"M,a,x,N,c^c,c,9","cc,o,c,M,c,9","4,o,N,c,o,cc,9","4,o,N,cc,9","4,o,M,cc,c,o","8,x,cc,8","cc,c,8,9","M,cc,8,9","4,o,M,cc,8,9","Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,5,2,,,"8,cc,c,c,8,9","4,o,c,N,c,c,c,9","cc,8,o,Z","a,2","a,m","cc,c,M,cc,9","8,cc,8,a,Z","cc,8,9","4,o,N,cc,c,8,9","o,x,N,cc,9","4,o,N,a,n","8,a,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,5,3,,,"9,cc,c,c,cc,9","cc,c,c,9","cc,c,o,2",?,"o,M","N,cc,c,8,9","cc,o,x,N,cc,9","4,o,M,cc,8,9","4,o,M,o,x","c^c,c,c,8,9","o,Z,a,n","cc,c,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,5,4,,,"8,cc,c,c,o,9","4,o,N,a,m+","4,o,N,a,m","x,N,a,Z","9,M,a,m","o,M,cc,c,o,cc,9","2,a,Z,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,6,1,W,8,"P2,cc,c,o,Z","cc,o,x","cc,P2,cc,c,o,Z","cc,o,x,N,c^c,c,8,9","4,o,M,o,x","c^c,c,c,8,9","4,o,N,cc,9","4,o,M,cc,c,8","c^c,o","P1,cc,o,Z","o,x,2","a,m","cc,c,N,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,6,2,,,"o,Z","c^c,c,c,o","x,cc,c,c,8,9","4,o,N,c,c,9","4,o,cc,c,9","4,o,M,cc,c,c,8,9","4,o,M,cc,c,8,9","4,o,N,o,x","cc,o,Z","cc,o,Z,o,x","cc,8,a,Z","o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,6,3,,,"9,c^c,o,Z","c^c,c,c,8,9","4,o,N,a,m","c^c,o,N,cc,c,9","4,o,N,c,c,9","cc,o,8,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,7,1,R,8,"9,M,cc,c,8,9","4,o,N,cc,c,8,9","4,o,M,cc,9","4,o,N,cc,c,8,9","4,o,N,cc,8","x,2","a,m","4,cc,o,Z","c^c,c,o,2","9,M,a,m","cc,c,9","M,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,7,2,,,"M,cc,c,9","4,o,N,cc,c,9","4,o,cc,c,9","4,o,8,c,c,9","4,o,8,a,m","cc,o,8,a,m","cc,c,N,c,8,9","8,a,i,Z,a,Z","o,M,a,Z","4,o,M,a,n","o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,7,3,,,"9,N,a,m","cc,c,o,Z","cc,c,c,c,9","8,a,m","cc,c,o","8,a,x,a,m","cc,o,c,N,c,c,8,9","cc,c,8,a,m","o,M,o,Z","4,o,N,a,Z","a,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,7,4,,,"8,c^c,c,c,9","4,o,9,N,c,c,9","x,cc,c,8,9","4,o,N,c,8,a,m","o,Z","cc,c,M,c,9","8,a,m","cc,c,c,9","2,a,i,Z","o,x","a,m","cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,7,5,,,"9,c^c,c,o,Z","cc,c,c,9","4,o,8,a,m","cc,o,8,a,Z","cc,o,cc,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,8,1,W,8,"P2,cc,o,Z,o,Z","c^c,o,Z","c^c,c,o,x","c^c,c,o,x","c^c,c,o,x","4,o,N,cc,c,8,9","cc,8,o,Z","c^c,o",Z,"a,m","cc,P2,cc,2","a,m","a,x",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,8,2,,,"o,x,c^c,o","x,?","a,i,Z","o,x,cc,c,c,9","4,o,N,c,c,cc,9","4,o,N,cc,9","8,a,m","cc,o,8,9","4,o,8,a,m","cc,c,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,9,1,R,8,"N,cc,c","c^c,o,8,a,m","4,o,N,c,c,9","cc,?,o,N,cc,c,o","x,o,x","N,a,m","4,o,M,cc,8,9","x,cc,c,o",x,"cc,c,8,9",x,"cc,c,c,8","cc,a,i,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,9,2,,,"9,cc,c,o,x","N,a,m","cc,c,o,8,9","c^c,a,m","4,o,c,c,o,x","o,M,a,i,Z,o,Z","cc,c,c,o,8,9","o,N,cc,c,c,9","x,N,a,i,Z","a,Z","a,Z","a,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,9,3,,,"9,cc,c,o,Z,a,m","c,M,c,c,9","cc,o,x","c^c,c,o,8,9","4,o,N,a,i,Z","4,o,c,c,9","cc,c,c,9","x,N,c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,10,1,W,8,"P1,cc,c,8,9","N,cc,c,8,9","cc,c,o,c,P2,c,c,9","o,Z,a,n","cc,c,c,o,2","a,m,Z,o","x,cc,c,c,8,9","x,cc,c,c,8,9","4,o,2,a,m","c,P1,c,c,o","a,Z","a,x,2","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,10,2,,,"9,M,c,c,c,9","cc,c,c,o,8","9,N,c,c,9","N,a,m","4,o,N,a,m","cc,c,c,9","o,Z","o,x","a,Z","o,8,a,Z","cc,c,8,a,n","c,M,a,Z","o,Z","a,i,Z","a,Z,9",$,$,$,$,$,$,$,$,$,$,$
104v,10,3,,,"9,cc,c,o","x,N,c,c,8","4,o,M,a,n","o,N,a,m","cc,o,N,a,n","o,N,a,n","cc,c,o,x","o,x,cc,o",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,11,1,R,8,"P2,c^c,c,o,8,a,Z","c^c,c,c,8,9","4,o,M,cc,c,8,a,Z","o,M,c,c,8,9","4,o,M,a,m","o,N,a,c,P1,cc,9","c^c,c,o,8,9","4,o,N,c,8,9","M,o,P2,a,m","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,11,2,,,"2,a,Z","a,n,Z","c^c,c,o,2","4,o,m+","o,N,c,c,8,9","4,o,N,cc,c,o,8,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,12,1,W,8,"P2,o,2,a,i,Z,9","9,M,c,8,a,Z","cc,c,8,9","c^c,o,c,P1,cc,c,c,9","N,c,cc,9","2,a,Z","o,8,x","a,i,Z","c^c,c,9","4,o,P2,cc,c,c,9","2,o,x","a,n","o,Z,o,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,12,2,,,"o,N,c,cc,c,9","cc,c,8,9","cc,cc,9","4,o,M,a,n","4,o,N,a,n","cc,c,9","o,Z","a,m","cc,c,o","o,Z","a,m","cc,c,8,a,n","o,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
104v,12,3,,,"9,c^c,c,c,9","2?,a,Z",a,"N,a,n","cc,a,Z","x,N,c,c,9","Z,o,n,2","c^c,c,9","cc,c,c,9","N,a,2","a,Z","x,N,cc,2","a,Z",9,"Z,a,i,2","a,x,o,8",$,$,$,$,$,$,$,$,$,$
104v,12,4,,,"4,o,N,c,c,c,9","o,N,cc,c,8,9","4,o,N,c,c,9","a,m","o,8,a,n","o,Z,cc,c,8,9","4,o,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,13,1,R,8,"M,cc,c,8,9","4,o,M,c,cc,9","o,M,cc,c,c,o,x,N,c,c,8,a","4,o,M,9","Z,a,m","cc,c,c,8,9","4,o,M,a,n","o,M,c,c,8,9","4,o,M,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,13,2,,,"o,M,c,c,8,cc,c,9","4,o,c,c,8,a","x,cc,a,x","cc,c,c,8,9","4,o,M,c,c,9","c^c,c,c,9","M,c,c,c,o","8,a,Z","cc,c,c,8","4,o,M,a,n","cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,13,3,,,"cc,c,9","N,c,c,c,9","4,o,c,N,c,c,c,9","?,N,c,c,9","o,N,c,c,c,8,9","4,o,N,c,c,9","o,N,c,c,c,9","4,o,M,?,o,8,a,m","o,N,a,n","o,Z,o,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
104v,13,4,,,"8,a,m","9,cc,c,c,?","cc,c,9","o,N,c,c,c,9","4,o,N,c,c,c,9","o,N,c,c,9","o,N,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,1,1,R,8,"P2?,a,m,8,a,Z","cc,c,P2,c,9","4,o,N,c,c,9","4,o,P2,a,m","9,P2,cc,c,c,c,9","2,a,Z,a,i,2,x","a,m","cc,c,c,8,9","N,a,m","a,Z,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,1,2,,,"8,c^c,c,c,2","9,c,9","cc,c,c,9","Z,a,m","o,M,cc,8,9","4,o,8,o,2","cc,c,2","o,Z","cc,c,c,9","o,N,c,c,2","o,8,a,Z","cc,c,o,8,9","4,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$
