folio,par,line,color,rays,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
103r,7,3,,,"9,cc,a,n","c^c,c,N,c,9","4,o,N,a,m","c^c,c,9","4,o,N,a,n","c^c,c,8,9","o,x,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,8,1,W,7,"P2,cc,c,a,Q","2,o,N,c,8,9","8,a,x,N,a,Z","o,M,a,x","4,o,N,a,x","cc,c,P2,9","o,N,c,8,9","4,o,N,9","P2,cc,c,8,9","o,N,a,x,9","4,o,N,c,c,8,9","x,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,8,2,,,"8,a,x,c^c,9","o,N,a,n","c^c,c,N,c,o,8,9","c^c,8,a,x","4,o,N,c,c,8,9","c^c,c,8,9","4,o,M,a,Z","cc,c,M,c,9","cc,c,P2,a,Z","o,M,a,Z","o,P2,cc,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,8,3,,,"8,a,m","c^c,c,c,N,c,9","x,cc,c,8,9","cc,c,N,c,9","c^c,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,9,1,R,7,"M,cc,o,N,9","o,N,c,a,x","c^c,c,8,9","4,o,N,a,x","o,M,9","o,P2,cc,c,8,9","4,o,M,a,n","c^c,c,M,c,9","o,M,c,9","8,a,n","o,M,c,c,9","o,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,9,2,,,"8,a,Z","c^c,c,9","4,o,N,a,n","cc,c,N,c,c,9","cc,c,9","N,a,n","cc,c,8,a,x","o,N,c,c,c,9","4,o,o,8,a,n","o,N,a,n","o,M,c,c,9","o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,9,3,,,"o,M,c,c,8,9","o,N,c,c,9","4,o,M,c,c,9","c^c,c,9","o,x,cc,c,c,8,a,Z","c^c,c,9","x,o,M,o,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,10,1,W,7,"4,o,N,c,cc,9","o,N,c,c,9","4,o,N,c,c,9","x,N,c,c,o,8,9","c^c,c,c,9","4,o,N,c,c,9,x","N,c,o,x","M,cc,c,9","4,o,N,c,c,9","o,N,c,c,9","4,o,N,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,10,2,,,"8,c,c^c,c,8,9","4,o,N,c,c,c,9","8,a,x,N,a,n","o,N,a,m","cc,c,8,9","4,o,N,c,c,9","o,M,a,n","a,n","o,x","cc,c,c,9","x,N,c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,10,3,,,"4,o,N,c,c,c,cc,9","c^c,o,N,c,c,9","4,o,cc,c,9","4,o,N,c,c,9","cc,a,x","cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,11,1,W,8,"P2,cc,o,x,N,cc,8,9","c^c,c,c,N,c,9","4,o,N,c,9","o,N,a,m","c^c,c,8,9","cc,P2,cc,9","o,P2,cc,c,8,9","o,M,c,c,9,N,c^c,9","cc,8,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,11,2,,,"2,a,m","cc,o,x","N,a,m","cc,a,x","o,N,a,m","c^c,c,N,c,9","4,o,N,a,x","c^c,8,a,Z","c^c,cc,8,9","o,N,a,m","cc,M,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,11,3,,,"o,N,c,c,9","c^c,c,8,9","4,o,N,c,8,9","4,o,N,a,x","c^c,c,M,9","o,M,c,8,9","c^c,c,M,c,9","o,Z,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,12,1,R,7,"4,o,N,c,c,9","cc,c,cc,9","4,o,N,c,9","c^c,c,N,c,9","cc,o,x,8,9","4,o,N,a,x",9,"c^c,c,8,9","9,M,c,c,8,9","4,o,M,a,i,x","c^c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,12,2,,,"c^c,c,o,8","o,c^c,c,9","cc,c,c,8,a,x,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,13,1,W,7,"4,o,N,c,c,a,Z","cc,a,n","o,x,a,n","cc,c,9","N,a,n","c^c,c,o,x","c^c,c,8,a,n","4,o,N,c,8,9","9,N,c,c,8,9","x,cc,c,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,13,2,,,"o,N,o,o,x","cc,c,8,9","o,N,c,c,8,9","4,o,N,c,c,8,9","4,o,N,c,c,9","c^c,8,9","o,M,c,9","4,o,M,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,14,1,R,7,"P2,cc,c,8,9","4,o,N,c,c,9","4,o,N,c,o,8,a,i,Z","4,o,N,c^c,9","4,o,N,c,c,8,9","4,o,N,c,c,8,9","cc,2,M,9","c^c,c,9","c^c,a,x,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,14,2,,,"o,M,c,cc,c,8,9","4,o,N,a,n","c^c,c,M,c,9","cc,c,N,c,9",x,"o,N,c,c,8,9","cc,c,c,N,c,9","x,o,N,a,n","c^c,c,8,9","o,N,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,14,3,,,"9,N,c,c,8,9","4,o,N,c,c,9","x,c^c,c,c,9","4,o,M,a,x","c^c,c,8,9","o,M,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,15,1,W,8,"4,o,N,c,c,9","c^c,c,c,o,x","c^c,c,N,c,9","c^c,c,o,x","c^c,o,8,9,o,x,a,m","o,M,c,8,9","4,o,M,c,c,9","x,o,M,a,Z","o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,15,2,,,"cc,c,o,x","c^c,c,c,c,9","4,o,M,c,9","o,M,c,c,a,x","o,M,c,c,8,9","c^c,c,M","c^c,o","N,c,c,o,2","c^c,c,9","4,o,N,c,c,8,9","4,o,N,a,x","8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,15,3,W,7,"M,c^c,c,9","c^c,c,o,x","cc,c,o,x,c^c,9","cc,a,x,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,16,1,,,"M,a,Z","cc,c,a,x","o,x","c^c,c,c,9","4,o,M,a,x","c^c,c,a,x","4,o,N,a,x","c^c,c,c,8,9","o,N,c,c^c,c,8,9","c^c,o,N,c,9","4,o,N,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,16,2,R,7,"o,8,c,c,c,9","4,o,N,c,c,9","c^c,c,9","c^c,c,a,x","o,M,c^c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
