folio,side,par,line,,,,,,,,,,,,,,,,,,
104,R,2,5,"9,cc,c,c,o,9","4,o,N,c,cc,o","4,o,N,o,x","cc,c,c,o","8,a,Q",,,,,,,,,,,,,
104,R,5,1,"o,cc,c,o,c,M,c,c,9","4,o,c,M,c,c,o","8,9","9,N,c,c,o,8,c,9","4,o,c,P2,cc,9","o,P2,cc,c,9","4,o,M,9",c^c,"M,c,9","9,M,c,c,8,9","c^c,o,8,9",,,,,,,
104,R,5,2,"9,N,c,c,c^c,c,8,9","o,x,N,c,c,o,8,9","4,o,M,c,9","4,o,N,a,Z","cc,c,8,9","4,o,N,c,8,9","o,M,c,c,cc,9","cc,9,M,c,o,8,9","o,N,a,Z","o,8,9",,,,,,,,
104,R,5,3,"8,cc,c,c,o,N,c,o,8,9","4,o,N,a,n","4,o,x,a,Z","o,Z","cc,o,c,N,c,a,Z","o,M,a,x","N,c^c,c,8,9",,,,,,,,,,,
104,R,11,1,"P2,c^c,c,o,8,9","4,o,M,a,Z","cc,o,P2,a,Z","4,o,M,a,x,9","4,o,M,c^c,c,o,8","4,o,M,c,cc,9","N,a,m","o,N,a,Z","4,o,P2,cc,a,Z","o,P2,a,Q",,,,,,,,
104,R,11,2,"o,N,a,m","cc,c,o,8,a,x","4,o,a,m","o,N,a,Z","o,Z,a,m","o,N,a,Z","o,M,c,o,8,9","4,o,N,a,m","o,N,a,x","4,o,M,?,Z",,,,,,,,
104,R,11,3,"o,N,a,m","a,Z,cc,c,o,x","4,o,N,cc,o,x","N,cc,c,o,8,9","4,o,M,cc,8,9",,,,,,,,,,,,,
104,V,4,1,"P2,o,x,cc,c,cc,9","o,M,c,o,9","cc,o,M,cc,2","cc,c,c,M,a","o,M,c,c,c,9","o,M,c,c,8,9","4,o,M,9","cc,c,8",x,"cc,c,o,x","P2,a,Z","o,x,M,c,8,9","cc,c,8,a,Q",,,,,
104,V,4,2,"9,cc,c,o,x","cc,c,o,8,9","4,o,c,c,cc,8,9","4,o,N,c,o,x","4,o,M,a,m","cc,c,8,a,Z","cc,c,o","x,N,a,m","cc,c,c,M,a,Z","a,m","cc,a,M,a,m",,,,,,,
104,V,4,3,"9,M,cc,c,8,9","4,o,N,c,c,o","x,cc,c,o","x,c^c,c,8,9",2,"a,m","cc,c,N,9","8,a,n,8,x",,,,,,,,,,
105,R,3,1,"P2,8,a,Z",o,"c^c,c,8,9","o,M,cc,c,o,2","o,m+","a,x","M,cc,c,8,a,Z","cc,9","P2,cc,o,2","a,m","P2,o,x,a,m","P2,o,x,N,c,c,c,9","8,9,a,m",,,,,
105,R,3,2,9,"a,n,Z","9,M,c,c,o","8,9","4,o,c,c,o,8,9","4,o,c,c,8,9","N,cc,c,8,9","4,o,M,cc,8,9","o,M,cc,c,c,9","cc,c,9","M,c,c,a,Z","9,N,c,8,9","Z,9",,,,,
105,R,3,3,"8,9,M,c,c,9","4,o,N,8,9","cc,c,8,9","cc,c,8,9","8,a,x","4,o,N,c,8","c^c,c,8,9","4,o,M,c,o,8,9","cc,c,c,8,9","o,M",,,,,,,,
105,R,7,1,"P2,8,a,x","c^c,c,c,9","9,4,o,P2,cc,9","a,i,Z,a,x","c^c,c,c,9","P2,cc,8,9","4,o,P2,cc,8,9","Z,a,n,i,2","o,N,9","cc,8,c,8,9","4^o,8,c,c,8,9","4,o,M?,c,8,9",,,,,,
105,R,7,2,"8,a,i,Z","cc,o","a,x",Z,"x,a,x","cc,c,c,2,9","c,P2,c,c,8,9",,,,,,,,,,,
105,R,9,1,"M,o,8,c,c,9","x,cc,x","c^c,Y","a,Z","a,n,8,9","c,P2,c,c,c,2,9","o,N,a,x","x,N,c,8,9","x,N,a,Z","cc,c,8,9","4,o,N,a,m","o,Z","P1,cc,o,N?,9",,,,,
105,R,9,2,"9,cc,c,o","cc,9","x,N,c,o,x","8,a,m","9,N,a,i,Z","o,x,N,cc,c,9","8,a,Z","4,o,P2,cc,8,9","8,a,i,Z","o,M,a,Z","a,Z","a,8,a,Q",,,,,,
105,R,9,3,"o,N,c,c,o","8,a,i,Z","o,M,c,c,9","x,N,c,c,9","M,c,c,o,x","M,c,c,8,9","o,M","o,N,a,x","o,Z","a,m+","4,o,N,a,m","a,Z","a,i,Z,o,8",,,,,
105,R,9,4,"8,o,Z","a,i,x","cc,c,N,c,9","N,a,Z","o,8,a,m","9,N,x","a,x","o,c,c,2","a,x","a,Z","a,x,N,a,Q",,,,,,,
105,V,2,1,"P2,cc,c,8,a,x","4,o,P2,cc,8,9","8,a,m","cc,c,8,9","8,a,m","o,N,a,i,x,8,9","o,P2,cc,c,8,a,m","o?,P2,cc,c,o","o,x,N,c,c,8,9","2,a,i,Z,o,Q",,,,,,,,
105,V,2,2,"8,cc,c,o","P1,cc,c,c,o","8,9","c,N,c,c,c,9","8,a,Z","a,m","a,x","8,a,Z","a,Z","8,a,m,8,9","o,M,c,8,9","o,M,c,o,8,9","9,M,a,m",Q,,,,
105,V,2,3,"9,cc,c,c,o","x,N,a,m","o,M,a,i,Z","o,x","o,x,N,a,m","o,N,a,i,Z,o,8,9","x,cc,c,8,Z",,,,,,,,,,,
106,R,4,1,"P2,cc,c,8,a,m","cc,c,N,c,8,9","4,o,N,a,n,Z","o,x,P2,cc,c,8,9","x,o,Z,8","a,m+","N,a,i,x","o,8,a,Z","N,a,Z,8","cc,M,cc,9",,,,,,,,
106,R,4,2,"9,cc,c,c,9","N,a,Z","9,N,c,c,9","o,M,a,m","o,M,a,x","8,a,Z","cc,8,o,2","N,a,x,cc,c,8,9","o,P2,cc,8,9","8,a,m","o,Z,a,m",Z,,,,,,
106,R,4,3,"8,a,m","cc,c,c,9","8,a,x","cc,x","o,N,a,i,Z","a,m","c,P2,c,c,o,Z","a,m","o,N,a,x","cc,o,8,a,m","o,M,a,m","o,P2,a,n,Q",,,,,,
106,R,4,4,"o,x,Z","a,m","cc,c,9",x,"Z,a,m","x,N,x","8,x","x,N,x,o,Z","8,m+","o,x,N,a,m",,,,,,,,
106,R,6,1,"P2,o,Z,a,i,Z","cc,o,P2,cc,8,9","cc,c,8,a,n","o,M,a,i,Z","o,M,cc,o,8","a,m","a,x,o,x","cc,c,o","9,P2,cc,c,8,9","N,a,i,Z","o,8,x","x,P2,a,i,Q",,,,,,
106,R,6,2,"9,N,c,c,o","8,a,n,Q","c^c,c,c,9","4,o,N,a,m","cc,c,o,M","8,a,m","4,o,c,N","c,c,9,N,c,o,8,9","4,o,P2,a,m","o,Z","a,n,N,a,Q",,,,,,,
106,R,6,3,"8,a,m","cc,c,o,8,a,m","cc,c,8,a,x","a,i,Z","o,N,a,m","cc,c,c,9",,,,,,,,,,,,
106,V,10,1,"P2,o,a,Z","N,c,c,o","8,a,m","4,o,a,i,Z","a,Z","a,c?,P2,cc,c,9","4,o,c,c,8,c,o,8,9","4,o,N,a,m","4,o,M,c,8,a,i,2","a,P2,o","Z,a,i,Z","a,P2,9",,,,,,
106,V,10,2,"x,c^c,c,o,8,9","M,a,i,Z","o,M,c,c,9","o,M,c,c,o",o,x,"o,M,a,m","o,N,c,c,9","4,o,N,a,m","o,Z","a,n,Z","a,x","8,a,Z",,,,,
106,V,10,3,"c^c,c,c,o","8,a,m","cc,2,8","4,o,N,c,c,c,9","8,a,i,Z","o,N,a,m","o,M,a,m","cc,c,8,a,m","o,x,N,a,x","x,N,x","8,a,n",,,,,,,
