folio,side,par,line,,,,,,,,,,,,,,,,,,
103,V,5,2,"M,cc,c,8,a,x","c^c,c,9","x,cc,c,c,9",x,"cc,8,9","cc,a,Z","o,x,cc,c,9","x,cc,c,o,8,9","M,c,8,9","o,M,a,n","o,M,a,n","o,M,a,x",9,,,,,
103,V,5,3,"8,a,m","c^c,c,c,N,cc,9","o,N,c,c,c^c,9","4,o,x","c^c,c,8,9","o,M,a,n","o,x,N,c,8,9",,,,,,,,,,,
103,V,7,1,"P2,o,x","cc,a,Z","o,M,a,Z","o,N,a,n","c^c,a,?,N,c,9","o,M,c,a,x","o,N,a,n","4,o,M,a,x","c^c,c,8,9","4,o,N,c,c,9","x,o,x,a,n",,,,,,,
103,V,13,1,"P2,o,x,c^c,o,Z","N,c,c,o,x","c^c,c,9","o,N,c,9","x,cc,a,Z,a,Z","c^c,o,x","o,N,c,c,8,a,Z","c^c,c,Z","o,m","o,M,9","x,cc,8,9",,,,,,,
103,V,13,2,"9,M,c,c,9","c^c,c,a,x","c^c,c,9","4,o,a,n","o,x","N,c,c,9","4,o,N,a,n","c^c,c,N,c,9","x,cc,c,8,9","Z,a,n",,,,,,,,
103,V,13,3,"8,a,m","c^c,c,9","xc^c,c,9","x,c^c,c,9","5,o,a,Z","c^c,a,n","a,x","o,M,a,Z","c^c,c,8,9","?,M,c,9","x,cc,8,9","Z,a,Z",,,,,,
103,V,13,4,"9,c^c,c,9","c^c,c,9,N,a,n","cc,c,9","Z,a,Z","o,Z,o,x","c,c^c,a,x,9",,,,,,,,,,,,
104,R,1,1,"P2,cc,8,a,Z","cc,c,8,9","cc,a,Z","4,o,P2,cc,c,8,9","o,c,P2,c,c,8,9","4,o,P2,cc,c,8,9","c^c,c,8,a,m","o,M,c,c,o","cc,c,9","4,o,P2,cc,c,8,9","2,a,m",,,,,,,
104,R,1,2,"o,a,Z","a,m","9,M,c,c,o,8,9","cc,c,o,8,a,m","cc,c,o,8,a,Z",2,"a,m","cc,c,9","M,a,i,Z","o,Z","a,m+","cc,c,M,c,c,8,9","M,c,c,8,a,Z,a,Q",,,,,
104,R,1,3,"8,a,n,Z",o,"c,M,c,c,8,9","o,M,c,cc","9,N,a,Z","o,M,c,8,9","o,M,o,8,9","4,o,M,c,c,o,2","9,M,c,c,o,8,9","o,M,c,c,8,9","o,N,9","o,N,a,x","8,a,Z,a,Q",,,,,
104,R,1,4,"o,x","c^c,c,c,8,9","4,o,N,c,c,8,9","cc,c,8,a,x","4,o,8,a,m","4,o,8,a,m+","cc,Z,9",,,,,,,,,,,
104,R,4,1,"M,c^c,8,o,x","4,o,M,cc,c,8,9","4,o,N,o,c,c,9","4,o,M,co,8,c","x,o","Z,a,Z","a,x",o,"c,M,c,9","4,o,M,o,Z","o,P2,cc,c,9","4,o,M,o,Q",,,,,,
104,R,4,2,"o,x","cc,c,o,x","4,o,8,a,n","cc,o,N,a,Z","o,N,cc,o","x,N,a,n","o,N,a,Z","cc,c,o,8,9","o,N,c,c,o,8,9","4,o,8,a,Q","cc,8,9",,,,,,,
104,R,4,3,"8,a,m","cc,o,a,m","4,o,N,c,cc,9","4,o,M,a,x","cc,c,o","x,o,Z","2,a,m","o,x,N,c,c,cc,c,9","o,M,a,x","o,x","o,c,c,a,x",,,,,,,
104,R,4,4,"2,o,Z","cc,o,8,a,m","cc,o,8,9","o,N,a,Z","o,M,o,x","N,c,c,cc,8,9","o,N,a,x","N,a,m","cc,c,o","8,a,m",,,,,,,,
104,R,8,1,"P2,cc,c,8,a,Z","4,o,N,a,m","4,o,M,a,m","8,x","Z,a,x","cc,c,o,8,x","c,P2,c,a,m","8,a,m","a,Z","4,c?,N,c,c,c,9","4,o,P2,o,Z,a,m",,,,,,,
104,R,8,2,"o,x,cc,c,c,a,Z","cc,c,8,a,Z","o,Z","a,Z,o,Z","c^c,c,c,9","o,x,N,c,c,cc,9","o,Z","cc,a,Z","cc,c,c,o,x",2,"o,Z","o,Z","a,m","o,M,a,Q",,,,
104,R,8,3,"9,c^c,c,o","8,a,m","c^c,o,8,9","9,M,c,c,8,9","cc,c,c,8,a,Z","o,Z","a,i,Z","cc,c,o,x,M,a,Z","a,Z,o,8,x,0",,,,,,,,,
104,R,12,1,"P2,cc,o,x,o,Z","a,Z","a,m","a,x,N,cc,8,9","4,o,M,a,x","cc,o,x","4,o,a,Z","a,m","4,o,P2,cc,c,c,8,9","4,o,M,a,i,Z","o,P1,a,m",,,,,,,
104,R,12,2,"o,x,N,c,c,o,2","o,x,N,a,n","o,a,i,Z","4,c,M,c,9","o,m","o,x","a,x","x,9","o,c,c,o,Z","cc,c,M,c,9","o,x,cc,c,8","4,o,M,a,m",,,,,,
104,R,12,3,"4,o,M,c,c,9","4,o,N,c,o,Z","2,a,n,Z","4,o,M,9","4,o,N,x","x,N,a,m","9,M,c,c,8,9","4,o,N,a,n","o,4,o,c,N,c,9","8,a,Z",,,,,,,,
104,R,12,4,9,"x,c^c,c,8,9","cc,o,x,N,a,Z",,,,,,,,,,,,,,,
104,V,3,1,"M,cc,o,8,x,2","cc,c,c,o,8,9","cc,c,c,o,o,x","x,2","a,i,Z","9,N,c,c,8,9","cc,o,M,c,8,9","4,o,M,cc,c,8",9,"cc,c,8,9","4,o,c,N,9","4,o,M,c,c,o","x,o",,,,,
104,V,3,2,"9,cc,c,o","x,cc,c,o,8","o,M,a,m","4,o,N,c,c,8,9","4,o,N,a,m","cc,c,o,Z","o,x","cc,c,8,a,m","4,o,M,a,Z","cc,c,8,9","4,o,M,9","8,a,x",,,,,,
104,V,3,3,"c^c,o,x","cc,c,c,8,9","4,o,N,a,m","4,o,M,c,c,8,9","o,M,a,m","o,M,c,c,8,9","4,o,M,c,8,o,Z","o,N,a,n","cc,c,o,2","cc,c,c,o","x,cc,c,9",,,,,,,
104,V,3,4,"9,cc,c,c,8,9","4,o,c,M,cc,9","9,N,cc,c,8,o,Z","cc,c,c,N,9","4,o,N,cc,8","4,o,M,o,x","4,o,N,o,x","4,o,N,o,x","8,a,m",,,,,,,,,
105,R,2,1,"P2,a,Z","a,Z,o,8,9","c^c,c,8,c,c,c,9","4,o,P2,cc,c,8,9","4,o,8,9","4,o,M,c,o,8,9","a,m","9,M,c,o,8,9","4,o,N,o,Z","o,x,P2,c^c,c,8,9",,,,,,,,
105,R,2,2,"9,c^c,c,c,o,8,9","9,N,c,c,o,2","o,Z","a,m","c^c,c,9","4,o,8,a,m","4,o,N,c,c,8","4,o,N,c,c,9","2,a,m","a,n,Z,o,8,9",,,,,,,,
105,R,2,3,"c^c,c,c,9","o,x,c,c,c,9","o,Z","i,a,Z","4,o,N,a,m","cc,c,9","4,o,N,c,c,8,9","4,o,N,c,8,9","o,M,c,c,8,9","x,cc,c,8,9","o,c,2,a,x",,,,,,,
105,R,2,4,"o,c,c,o,x,c,c,9","o,N,c,c,9?,8,9","o,N,c,c,9","o,N,cc,c,9",,,,,,,,,,,,,,
105,R,4,1,"N,c,2,o,a,Z","4,o,c,c,c,8,9","N,c,c,o,8,9","8,x,x,2","a,i,Z","c^c,c,N,c,9","o,c,N,c,o,8,9","cc,c,o,8,9","o,c,c,9","4,o,N,c,c,o,8,9","c^c,c,o","x,N,c,c,9",,,,,,
