MARC ID,URL,Publication Date,Title,Image Set ID,Publication Type,Collection,Author,Publisher,Publication Country,Publication Language,Accession Number,Source Library,Full Text - Image,Full Text,USTC Classification,Release Date
99836516,https://search.proquest.com/eebo/docview/2240869427,1477,[The horse the ghoos & the sheep],794,Book,"Early English Books, 1475-1640 (STC)","Lydgate, John, 1370?-1451?",By W. Caxton,England,English,Duff 261|STC (2nd ed.) / 17018,Cambridge University Library,Y,Y,Poetry,10/1/19
99842174,https://search.proquest.com/eebo/docview/2264193416,1477,Here endeth the book named the dictes or sayengis of the philosophhres ...,6806,Book,"Early English Books, 1475-1640 (STC)","Anon.|Mubashshir ibn Fātik, Abū al-Wafāʼ, 11th cent.|Rivers, Anthony Woodville, Earl, 1442?-1483.|Caxton, William, ca. 1422-1491.",Printed by William Caxton,England,English,"Duff 123|GW 8321|Needham, P.  Printer & the pardoner, Cx 26|STC (2nd ed.) / 6826",,Y,Y,"Philosophy and morality|Adages, aphorisms, emblem books, jests, proverbs",10/1/19
99844414,https://search.proquest.com/eebo/docview/2240855866,1477,Hic incipit paruus Catho,9225,Book,"Early English Books, 1475-1640 (STC)","Anon.|Cato, Marcus Porcius, 234-149 B.C.|Burgh, Benedict.",W. Caxton,England,Latin,Duff 76|GW 6358|STC (2nd ed.) / 4850,Cambridge University Library,Y,Y,Philosophy and morality,10/1/19
99844416,https://search.proquest.com/eebo/docview/2240908523,1477,The lyf so short the craft so lo[n]ge to lerne,9227,Book,"Early English Books, 1475-1640 (STC)","Chaucer, Geoffrey, d. 1400.",W. Caxton,England,English,Duff 93|GW 6591|STC (2nd ed.) / 5091,Cambridge University Library,Y,Y,Poetry,10/1/19
99845368,https://search.proquest.com/eebo/docview/2248531414,1477,If it plese ony man spirituel or temporel to bye ony pyes of two and thre comemoracio[n]s of saliburi vse ...,10265,Book,"Early English Books, 1475-1640 (STC)","Caxton, William, ca. 1422-1491.",W. Caxton,England,English,Duff 80|STC (2nd ed.) / 4890,Bodleian Library,Y,Y,,10/1/19
99845458,https://search.proquest.com/eebo/docview/2248515952,1477,wHan that Apprill with his shouris sote and the droughte of marche hath p[er]cid þe rote ...,10360,Book,"Early English Books, 1475-1640 (STC)","Chaucer, Geoffrey, d. 1400.",Printed by William Caxton,England,English,"Duff 87|GW 6585|Needham, P.  Printer & the pardoner, Cx 17|STC (2nd ed.) / 5082",British Library,Y,Y,Poetry,10/1/19
99853239,https://search.proquest.com/eebo/docview/2273372456,1477,[Méditationes sur les sept psaumes],,Book,"Early English Books, 1475-1640 (STC)","Ailly, Pierre d', 1350-1420?",Colard Mansion,Belgium,French,Duff 25,British Library,N,N,,10/1/19
99854650,https://search.proquest.com/eebo/docview/2264215148,1477,For as moche as late by the comau[n]dement of the right hye [and] noble princesse my right redoubted lady my lady Margarete by the grace of god Duchesse of Bourgoyne Brabant  [et]c. [...] as to the historie of Iason [...],20082,Book,"Early English Books, 1475-1640 (STC)","Lefèvre, Raoul, fl. 1460.|Caxton, William, ca. 1422-1491.",William Caxton,England,English,"Duff, 245|STC (2nd ed.) / 15383",British Library,Y,Y,Literature,10/1/19
99855768,https://search.proquest.com/eebo/docview/2240896137,1477,[The chorle and the birde],21270,Book,"Early English Books, 1475-1640 (STC)","Lydgate, John, 1370?-1451?",W. Caxton,England,English,STC (2nd ed.) / 17008,British Library,Y,Y,Poetry,10/1/19
99855786,https://search.proquest.com/eebo/docview/2240894533,1477,The temple of glas,21288,Book,"Early English Books, 1475-1640 (STC)","Lydgate, John, 1370?-1451?",By William Caxton,England,English,Duff 270|STC (2nd ed) / 17032,Cambridge University Library,Y,Y,Poetry,10/1/19
