line,0,1,swap,n,n2
112r.1.5,"o,N,o,8,9","o,M,o,8,9",N → M,40,1
2v.2.2,"cc,o,x","cc,o,Z",x → Z,36,7
9v.1.2,"cc,o,x","cc,o,Z",x → Z,36,7
15v.1.12,"cc,o,x","cc,o,Z",x → Z,36,7
16v.2.3,"cc,o,x","cc,o,Z",x → Z,36,7
42v.1.1,"cc,o,x","cc,o,Z",x → Z,36,7
47r.2.2,"cc,o,x","cc,o,Z",x → Z,36,7
48v.1.6,"o,x","o,Z",x → Z,36,7
49r.2.3,"o,x","o,Z",x → Z,36,7
49v.3.8,"cc,o,x","cc,o,Z",x → Z,36,7
78v.2.6,"o,x","o,Z",x → Z,36,7
79r.7.2,"o,x","o,Z",x → Z,36,7
84r.5.2,"o,x","o,Z",x → Z,36,7
102va.4.3,"o,x","o,Z",x → Z,36,7
112r.6.3,"o,x","o,Z",x → Z,36,7
23v.2.4,"8,a,x","8,a,Z",x → Z,36,5
77v.3.8,"8,a,x","8,a,Z",x → Z,36,5
81v.1.1,"8,a,x","8,a,Z",x → Z,36,5
84v.2.12,"8,a,x","8,a,Z",x → Z,36,5
106v.2.3,"8,a,x","8,a,Z",x → Z,36,5
48r.1.7,"a,x","a,Z",x → Z,36,3
58v.4.5,"o,N,a,x","o,N,a,Z",x → Z,36,3
82r.3.2,"o,N,a,x","o,N,a,Z",x → Z,36,3
86r.3.1,"a,x","a,Z",x → Z,36,3
112v.2.2,"o,N,a,x","o,N,a,Z",x → Z,36,3
113r.1.2,"a,x","a,Z",x → Z,36,3
111r.5.1,x,Z,x → Z,36,2
115v.12.2,x,Z,x → Z,36,2
7v.2.2,"8,o,x","8,o,Z",x → Z,36,1
45v.1.4,"8,a,i,x","8,a,i,Z",x → Z,36,1
52r.1.5,"o,N,cc,a,x","o,N,cc,a,Z",x → Z,36,1
55v.2.4,"9,N,a,x","9,N,a,Z",x → Z,36,1
58r.1.2,"9,M,a,x","9,M,a,Z",x → Z,36,1
82r.4.10,"x,cc,c,8,9","Z,cc,c,8,9",x → Z,36,1
86r.5.4,"M,a,x","M,a,Z",x → Z,36,1
96r.1.1,"c,P2,c,c,o,x","c,P2,c,c,o,Z",x → Z,36,1
113r.9.2,"cc,a,x","cc,a,Z",x → Z,36,1
5v.1.5,"8,a,m","8,a,x",m → x,33,11
21v.1.3,"8,a,m","8,a,x",m → x,33,11
23r.3.4,"8,a,m","8,a,x",m → x,33,11
36v.2.2,"8,a,m","8,a,x",m → x,33,11
66r.5.3,"8,a,m","8,a,x",m → x,33,11
66r.9.2,"8,a,m","8,a,x",m → x,33,11
84v.2.15,"8,a,m","8,a,x",m → x,33,11
85r.2.2,"8,a,m","8,a,x",m → x,33,11
89ra.4.2,"8,a,m","8,a,x",m → x,33,11
89rb.6.2,"8,a,m","8,a,x",m → x,33,11
108r.5.3,"8,a,m","8,a,x",m → x,33,11
54r.2.7,"a,m","a,x",m → x,33,8
58v.2.5,"a,m","a,x",m → x,33,8
104v.8.1,"a,m","a,x",m → x,33,8
105v.2.2,"a,m","a,x",m → x,33,8
107v.15.1,"a,m","a,x",m → x,33,8
113r.2.3,"a,m","a,x",m → x,33,8
114r.10.2,"a,m","a,x",m → x,33,8
114r.11.4,"a,m","a,x",m → x,33,8
26v.1.3,"o,M,c,8,9","o,N,c,8,9",M → N,33,6
39v.2.7,"o,M,c,8,9","o,N,c,8,9",M → N,33,6
76r.3.3,"o,M,c,8,9","o,N,c,8,9",M → N,33,6
84v.2.12,"o,M,c,8,9","o,N,c,8,9",M → N,33,6
108r.10.2,"o,M,c,8,9","o,N,c,8,9",M → N,33,6
108r.15.2,"o,M,c,8,9","o,N,c,8,9",M → N,33,6
50r.1.7,"o,M,a,m","o,M,a,x",m → x,33,6
105v.3.5,"o,M,a,m","o,M,a,x",m → x,33,6
105v.4.2,"o,M,a,m","o,M,a,x",m → x,33,6
106v.6.2,"o,M,a,m","o,M,a,x",m → x,33,6
114v.10.3,"o,M,a,m","o,M,a,x",m → x,33,6
114v.12.2,"o,M,a,m","o,M,a,x",m → x,33,6
18v.1.9,"4,o,M,cc,9","4,o,N,cc,9",M → N,33,5
21v.1.2,"4,o,M,cc,9","4,o,N,cc,9",M → N,33,5
32r.1.5,"4,o,M,cc,9","4,o,N,cc,9",M → N,33,5
44r.3.2,"4,o,M,cc,9","4,o,N,cc,9",M → N,33,5
115r.11.2,"4,o,M,cc,9","4,o,N,cc,9",M → N,33,5
