line,0,1,swap,n,n2
42r.2.5,"8,a,n","8,a,x",n → x,8,1
50v.1.3,"o,N,a,n","o,N,a,x",n → x,8,1
1v.1.3,"c,N,c,o","c,N,c,9",o → 9,8,1
8r.3.1,"c,M,c,o","c,M,c,9",o → 9,8,1
32r.2.13,"c^c,o","c^c,9",o → 9,8,1
47v.2.4,"M,cc,o","M,cc,9",o → 9,8,1
50r.1.5,"o,N,a,n","9,N,a,n",o → 9,8,1
107r.14.1,"o,M,a,m","9,M,a,m",o → 9,8,1
3r.1.4,"cc,a,x","cc,a,Q",x → Q,8,1
17v.1.19,"cc,o,x","cc,o,Q",x → Q,8,1
24r.1.16,"8,a,x","8,a,Q",x → Q,8,1
79r.2.3,"4,o,N,a,x","4,o,N,a,Q",x → Q,8,1
106v.1.4,"cc,8,a,x","cc,8,a,Q",x → Q,8,1
112r.7.2,"a,x","a,Q",x → Q,8,1
16v.2.5,"2,a,m","8,a,m",2 → 8,7,4
39r.3.4,"2,a,m","8,a,m",2 → 8,7,4
55r.1.3,"2,a,m","8,a,m",2 → 8,7,4
81v.1.3,"2,a,m","8,a,m",2 → 8,7,4
76r.1.11,"a,Z","a,n",Z → n,7,4
104r.6.2,"a,Z","a,n",Z → n,7,4
108v.8.2,"a,Z","a,n",Z → n,7,4
111v.4.3,"a,Z","a,n",Z → n,7,4
58r.1.10,"a,Z","a,Q",Z → Q,7,3
58r.3.2,"a,Z","a,Q",Z → Q,7,3
85v.3.2,"a,Z","a,Q",Z → Q,7,3
93v.1.9,"2,a,Z","8,a,Z",2 → 8,7,2
102va.6.8,"2,a,Z","8,a,Z",2 → 8,7,2
88r.2.3,"o,Z","o,Q",Z → Q,7,2
88r.2.3,"o,Z","o,Q",Z → Q,7,2
80r.2.3,"4,o,N,a,Z","4,o,N,a,n",Z → n,7,2
85v.2.4,"4,o,N,a,Z","4,o,N,a,n",Z → n,7,2
10v.1.1,"2,a,n","8,a,n",2 → 8,7,1
14v.1.3,"N,9","8,9",N → 8,7,1
24v.1.4,"o,N,a,m","o,8,a,m",N → 8,7,1
35r.1.8,"N,a,m","8,a,m",N → 8,7,1
45r.2.3,"N,a,Z","8,a,Z",N → 8,7,1
55r.1.3,"cc,N,9","cc,8,9",N → 8,7,1
89ra.2.5,"cc,c,o,N,9","cc,c,o,8,9",N → 8,7,1
116r.6.8,"c^c,c,N,9","c^c,c,8,9",N → 8,7,1
75r.5.13,"o,M,a,Z","o,M,a,Q",Z → Q,7,1
86r.5.10,"9,M,a,i,Z","9,M,a,i,Q",Z → Q,7,1
76r.1.22,"o,N,a,Z","o,N,a,n",Z → n,7,1
104r.13.3,x,2,x → 2,6,3
108v.5.4,x,2,x → 2,6,3
111v.1.17,x,2,x → 2,6,3
40v.2.6,"o,N,a,x","o,N,a,n",x → n,6,2
75r.1.23,"4,o,N,a,x","4,o,N,a,n",x → n,6,2
82v.4.1,"4,o,N,a,x","4,o,N,a,n",x → n,6,2
116r.6.3,"o,N,a,x","o,N,a,n",x → n,6,2
7r.1.2,"8,cc,c,9","N,cc,c,9",8 → N,6,1
49v.3.7,8,N,8 → N,6,1
50r.1.8,"8,a,Z","N,a,Z",8 → N,6,1
89rb.2.3,"cc,c,o,8,9","cc,c,o,N,9",8 → N,6,1
107r.13.2,"4,o,8,a,m","4,o,N,a,m",8 → N,6,1
107v.12.3,"o,8,a,m","o,N,a,m",8 → N,6,1
20v.2.1,"c^c,o,x","c^c,o,2",x → 2,6,1
87r.2.5,"cc,c,o,x","cc,c,o,2",x → 2,6,1
107v.7.1,"o,M,a,x","o,M,a,2",x → 2,6,1
89ra.5.4,"8,a,x","8,a,n",x → n,6,1
100v.4.5,"2,a,x","2,a,n",x → n,6,1
34r.3.4,"a,Z","a,m+",Z → m+,5,4
85v.1.9,"a,Z","a,m+",Z → m+,5,4
115r.8.1,"a,Z","a,m+",Z → m+,5,4
116r.1.2,"a,Z","a,m+",Z → m+,5,4
83r.4.13,"x,N,c,8,9","x,cc,c,8,9",N → cc,5,2
108v.10.2,"x,N,c,8,9","x,cc,c,8,9",N → cc,5,2
8v.2.3,"c^c,o,x","N,o,x",c^c → N,5,2
38v.1.2,"c^c,c,9","N,c,9",c^c → N,5,2
58v.1.10,"c^c,c,9","N,c,9",c^c → N,5,2
105r.5.1,"c^c,o,x","N,o,x",c^c → N,5,2
31r.3.4,"o,N,c,8,9","9,N,c,8,9",o → $,5,2
78v.1.8,"o,N,c,8,9","8,N,c,8,9",o → $,5,2
99r.6.2,"c,N,c,o,x","o,N,c,o,x",$ → $,5,1
99r.8.4,"c,N,c,c,9","9,N,c,c,9",$ → $,5,1
99v.7.2,"o,N,a,x,a,m","o,N,o,x,a,m",$ → $,5,1
111r.5.3,"o,M,c,o,8,9","o,M,c,c,8,9",$ → $,5,1
111r.14.4,"4,o,N,c,o,x","4,o,N,c,c,x",$ → $,5,1
41r.2.2,"9,N,c,8,9","cc,N,c,8,9",$ → cc,5,1
52v.1.3,"o,o,Z","cc,o,Z",$ → cc,5,1
75r.5.6,"4,o,N,c,c,8,9","4,o,N,c,cc,8,9",$ → cc,5,1
85v.1.5,"x,o,x","cc,o,x",$ → cc,5,1
105r.2.4,"o,N,c,c,9","o,N,cc,c,9",$ → cc,5,1
14r.2.2,"2,o,8,9","cc,o,8,9",2 → cc,5,1
15v.1.10,"2,o,Z","cc,o,Z",2 → cc,5,1
27r.2.4,"2,9","cc,9",2 → cc,5,1
100r.1.1,"2,a,Z","cc,a,Z",2 → cc,5,1
102vb.3.5,"2,o,x","cc,o,x",2 → cc,5,1
24r.1.5,"c,M,c,9","c,M,c,c",9 → $,5,1
99r.10.2,"9,N,c,o,x","o,N,c,o,x",9 → $,5,1
99v.3.3,"o,M,9","o,M,o",9 → $,5,1
105v.10.2,"o,M,c,c,9","o,M,c,c,o",9 → $,5,1
111r.8.3,"4,o,N,c,c,9","4,o,N,c,c,o",9 → $,5,1
1r.3.4,"N,o,x","cc,o,x",N → cc,5,1
84v.2.13,"N,c,8,9","cc,c,8,9",N → cc,5,1
112r.3.4,"N,c,9","cc,c,9",N → cc,5,1
78v.2.11,"o,Z","o,m+",Z → m+,5,1
99v.8.6,"o,x,c^c,c,o,x","o,x,N,c,o,x",c^c → N,5,1
6v.1.4,"8,cc,9","8,c,9",cc → c,5,1
77r.3.1,"o,M,cc,8,9","o,M,c,8,9",cc → c,5,1
78r.2.13,"4,o,N,cc,8,9","4,o,N,c,8,9",cc → c,5,1
84r.7.7,"M,cc,8,9","M,c,8,9",cc → c,5,1
99v.3.2,"4,o,N,cc,o,x","4,o,N,c,o,x",cc → c,5,1
35v.1.3,"cc,o,M,9","cc,9,M,9",o → $,5,1
43r.3.3,"o,M,9","9,M,9",o → $,5,1
106r.15.4,"o,N,a,n","a,N,a,n",o → $,5,1
75v.4.3,"4,o,N,c,c,8","4,o,N,c,c,9",8 → 9,4,2
105r.2.2,"4,o,N,c,c,8","4,o,N,c,c,9",8 → 9,4,2
20r.2.3,"8,o,x","c^c,o,x",8 → c^c,4,2
93r.1.21,"8,o,x","c^c,o,x",8 → c^c,4,2
79v.6.3,"cc,x","o,x",cc → o,4,2
104r.2.1,"cc,x","o,x",cc → o,4,2
56r.1.3,"4,o,N,c,c,9","cc,o,N,c,c,9",4 → cc,4,1
104v.7.2,"4,o,8,a,m","cc,o,8,a,m",4 → cc,4,1
106v.4.2,"4,o,N,a,m","cc,o,N,a,m",4 → cc,4,1
108r.14.1,"4,o,N,c,c,8,9","cc,o,N,c,c,8,9",4 → cc,4,1
79r.4.2,"cc,c,8","cc,c,9",8 → 9,4,1
115v.4.1,"4,o,M,cc,c,8","4,o,M,cc,c,9",8 → 9,4,1
75r.3.17,"8,a,x","c^c,a,x",8 → c^c,4,1
107v.4.4,"8,a,m","c^c,a,m",8 → c^c,4,1
30r.1.1,8,o,8 → o,4,1
35v.1.7,"8,a,m","o,a,m",8 → o,4,1
106v.1.2,"c^c,c,8","c^c,c,o",8 → o,4,1
114r.3.2,"8,a,Z","o,a,Z",8 → o,4,1
1v.1.3,"c,N,c,9","c,N,c,o",9 → o,4,1
33v.1.2,"9,M,a,Q","o,M,a,Q",9 → o,4,1
44v.3.5,"c,M,c,9","c,M,c,o",9 → o,4,1
58v.1.1,"9,P2,a,x","o,P2,a,x",9 → o,4,1
50r.1.3,"N,cc,8,9","P2,cc,8,9",N → P2,4,1
66v.2.3,"N,o,8,9","P2,o,8,9",N → P2,4,1
76r.3.1,"o,N,a,Z","o,P2,a,Z",N → P2,4,1
107r.8.1,"cc,N,a,m","cc,P2,a,m",N → P2,4,1
2r.2.4,"c^c,a,i","8,a,i",c^c → 8,4,1
4v.1.3,"c^c,a,m","8,a,m",c^c → 8,4,1
24v.2.8,"c^c,o","8,o",c^c → 8,4,1
75r.1.25,"c^c,9","8,9",c^c → 8,4,1
28r.1.4,"cc,M,o,x","o,M,o,x",cc → $,4,1
83r.2.6,"4,o,N,cc,c,8,9","4,o,N,c,c,8,9",cc → $,4,1
99r.8.4,"cc,N,c,c,9","c,N,c,c,9",cc → $,4,1
111r.14.3,"4,o,N,c,cc,9","4,o,N,c,c,9",cc → $,4,1
43v.1.3,"cc,N,9","o,N,9",cc → o,4,1
111r.5.1,"cc,Z","o,Z",cc → o,4,1
8v.1.1,"2,o,x","c^c,o,x",2 → c^c,3,2
93v.1.4,"2,o,x","c^c,o,x",2 → c^c,3,2
80r.2.11,"M,c,o,x","c^c,c,o,x",M → c^c,3,2
93v.1.8,"M,c,o,x","c^c,c,o,x",M → c^c,3,2
47r.2.4,"2,9","c^c,9",2 → c^c,3,1
6v.2.2,"9,cc,o,2","9,cc,o,x",2 → x,3,1
88r.2.4,"cc,c,o,2","cc,c,o,x",2 → x,3,1
116r.7.13,"a,2","a,x",2 → x,3,1
10r.2.1,"8,9","cc,9",8 → cc,3,1
37v.2.2,"8,o,Z","cc,o,Z",8 → cc,3,1
58r.1.14,"8,a,x","cc,a,x",8 → cc,3,1
53v.1.7,"M,o,8,a,m","c^c,o,8,a,m",M → c^c,3,1
54v.1.12,"M,o,x","cc,o,x",M → cc,3,1
77r.2.5,"M,c,8,9","cc,c,8,9",M → cc,3,1
101v.5.4,"M,c,o,x","cc,c,o,x",M → cc,3,1
18r.2.3,"c^c,o,x,8,9","8,o,x,8,9",c^c → $,3,1
66v.1.2,"o,N,c^c,c,8,9","o,N,c,c,8,9",c^c → $,3,1
78r.2.8,"8,c^c,c,8,9","8,c,c,8,9",c^c → $,3,1
9r.1.5,"cc,o,Z","2,o,Z",cc → 2,3,1
36r.2.2,"cc,9","2,9",cc → 2,3,1
75r.3.18,"cc,a,Z","2,a,Z",cc → 2,3,1
28v.3.2,"cc,a,i","cc,a,n",i → n,3,1
42v.1.2,"8,a,i","8,a,n",i → n,3,1
116r.8.3,"o,M,a,i","o,M,a,n",i → n,3,1
32v.1.4,"o,Z","cc,Z",o → cc,3,1
84v.2.7,"o,N,c,c,8,9","cc,N,c,c,8,9",o → cc,3,1
104r.2.1,"o,x","cc,x",o → cc,3,1
42r.2.6,"c^c,o,x","c^c,o,M",x → M,3,1
83r.2.7,"x,cc,c,8,9","M,cc,c,8,9",x → M,3,1
106v.6.2,"o,x,a,m","o,M,a,m",x → M,3,1
79r.8.5,"x,8,9","o,8,9",x → o,3,1
107v.12.2,"x,N,a,n","o,N,a,n",x → o,3,1
113r.16.5,"x,N,c,c,c,9","o,N,c,c,c,9",x → o,3,1
75r.5.10,"2,o,N,c,c,8,9","4,o,N,c,c,8,9",2 → 4,2,2
83r.4.6,"2,o,N,c,c,8,9","4,o,N,c,c,8,9",2 → 4,2,2
39v.2.3,"a,2","a,n",2 → n,2,2
76r.3.2,"a,2","a,n",2 → n,2,2
55v.2.3,"o,Z,a,m","o,N,a,m",Z → N,2,2
107r.3.4,"o,Z,a,m","o,N,a,m",Z → N,2,2
8r.1.3,"c^c,9","2,9",c^c → 2,2,2
47v.1.5,"c^c,9","2,9",c^c → 2,2,2
75v.3.1,"8,c,8,9","N,c,8,9",$ → N,2,1
102va.6.8,"4,o,c,c,c,9","4,o,N,c,c,9",$ → N,2,1
111v.4.1,"M,a,x,o,x","M,a,Z,o,x",$ → Z,2,1
116r.2.2,"x,o,x","Z,o,x",$ → Z,2,1
3v.1.4,"cc,2","cc,9",2 → 9,2,1
13r.1.2,2,9,2 → 9,2,1
102va.4.5,"o,2","o,m",2 → m,2,1
104v.5.2,"a,2","a,m",2 → m,2,1
36r.1.3,"8,a,m","Q,a,m",8 → Q,2,1
87v.1.7,"4,o,N,c,o,8","4,o,N,c,o,Q",8 → Q,2,1
85r.4.3,"8,a,Q","x,a,Q",8 → x,2,1
114v.5.2,"4,o,N,o,8","4,o,N,o,x",8 → x,2,1
115r.5.2,"9,cc,c,c,o","Z,cc,c,c,o",9 → Z,2,1
116r.7.4,9,Z,9 → Z,2,1
80v.1.4,"4,o,N,a,?","4,o,N,a,n",? → n,2,1
103v.8.4,"o,M,a,?","o,M,a,n",? → n,2,1
35r.1.5,"M,cc,c,c,9","2,cc,c,c,9",M → 2,2,1
107r.14.3,"M,a,Z","2,a,Z",M → 2,2,1
75r.4.2,"M,cc,c,8,9","P2,cc,c,8,9",M → P2,2,1
75v.5.1,"o,M,a,x","o,P2,a,x",M → P2,2,1
42r.2.6,"c^c,o,M","c^c,o,x",M → x,2,1
85r.8.3,"o,M,a,Z","o,x,a,Z",M → x,2,1
32v.2.4,"c,P2,c,o,x","c,M,c,o,x",P2 → M,2,1
112v.1.1,"o,P2,a,x","o,M,a,x",P2 → M,2,1
6r.1.3,"8,a,Q","8,a,Z",Q → Z,2,1
46r.4.3,"4,o,N,a,Q","4,o,N,a,Z",Q → Z,2,1
79r.3.4,"4,o,N,a,Q","4,o,N,a,m",Q → m,2,1
90va.1.2,"2,a,Q","2,a,m",Q → m,2,1
24r.1.16,"8,a,Q","8,a,x",Q → x,2,1
53v.1.2,"c^c,o,Q","c^c,o,x",Q → x,2,1
76v.3.4,"a,Z","a,2",Z → 2,2,1
82r.4.13,"Z,a,n","2,a,n",Z → 2,2,1
30r.2.1,"Z,cc,c,9","8,cc,c,9",Z → 8,2,1
51v.1.7,"cc,o,Z","cc,o,8",Z → 8,2,1
35r.1.6,"cc,a,Z","cc,a,i",Z → i,2,1
80r.1.1,"o,N,a,Z","o,N,a,i",Z → i,2,1
45v.1.3,"4,o,M,a,x","4,o,M,o,x",a → $,2,1
102rb.4.4,"o,N,c,a,x","o,N,c,o,x",a → $,2,1
18v.1.4,"4,o,N,a,9","4,o,N,cc,9",a → cc,2,1
113r.2.3,"a,x","cc,x",a → cc,2,1
104r.1.3,"o,M,c,8,9","o,M,o,8,9",c → $,2,1
106r.8.1,"o,P2,cc,c,8,9","o,P2,cc,o,8,9",c → $,2,1
29r.2.1,"c^c,c,c,9","M,c,c,9",c^c → M,2,1
44v.1.1,"c^c,o,x","M,o,x",c^c → M,2,1
75r.3.3,"cc,c,9","4,c,9",cc → 4,2,1
82v.6.7,"cc,o,x","4,o,x",cc → 4,2,1
38v.1.6,"8,a,m","8,a,m+",m → m+,2,1
104r.1.4,"4,o,8,a,m","4,o,8,a,m+",m → m+,2,1
37v.2.2,"8,a,m+","8,a,m",m+ → m,2,1
104v.5.4,"4,o,N,a,m+","4,o,N,a,m",m+ → m,2,1
47r.2.5,"8,a,n","8,a,Q",n → Q,2,1
103r.18.2,"a,n","a,Q",n → Q,2,1
76v.3.7,"x,cc,c,8,9","8,cc,c,8,9",x → $,2,1
78v.1.17,"x,cc,8,9","8,cc,8,9",x → $,2,1
24r.1.12,"M,o,x","M,o,8",x → 8,2,1
31r.2.3,"cc,c,o,x","cc,c,o,8",x → 8,2,1
16r.3.4,"8,x","8,9",x → 9,2,1
107r.8.2,"x,N,a,m","9,N,a,m",x → 9,2,1
1r.4.6,"cc,o,x","cc,o,N",x → N,2,1
38r.1.1,"o,x,9","o,N,9",x → N,2,1
106r.3.1,"4,o,M,c,c,8,o","4,o,M,c,c,8,9",$ → 9,1,1
75r.5.8,"4,o,N,c,c,8,9","4,o,N,c,?,8,9",$ → ?,1,1
113v.3.2,"o,M,o,Z","o,M,a,Z",$ → a,1,1
85v.1.8,"9,N,cc,c,8,9","x,N,cc,c,8,9",$ → x,1,1
49v.3.6,2,<,2 → <,1,1
18v.1.2,2,Q,2 → Q,1,1
66v.2.1,"cc,o,2","cc,o,Z",2 → Z,1,1
89rb.2.3,2,a?,2 → a?,1,1
36r.2.2,2,o,2 → o,1,1
80v.2.3,"4,o,x","M,o,x",4 → M,1,1
16r.2.4,"8,a,m","2,a,m",8 → 2,1,1
81r.1.13,"cc,c,8,9","cc,c,M,9",8 → M,1,1
35r.1.8,"8,a,m","P2,a,m",8 → P2,1,1
84v.3.16,"c^c,c,9","c^c,c,2",9 → 2,1,1
7v.1.2,"c,M,c,9","c,M,c,8",9 → 8,1,1
45v.3.2,"2,9","2,a",9 → a,1,1
2v.1.2,"N,cc,9?","N,cc,9",9? → 9,1,1
55r.1.6,"N,c,?,9","N,c,8,9",? → 8,1,1
102rb.4.3,"o,N,?","o,N,9",? → 9,1,1
52r.1.1,"?,M,9","o,M,9",? → o,1,1
77r.2.4,"4,o,M,c,c,8,9","4,o,8,c,c,8,9",M → $,1,1
36v.1.4,"M,9","8,9",M → 8,1,1
116r.6.2,"o,M,c,9","o,M?,c,9",M → M?,1,1
115r.6.1,"4,o,M,cc,c,8,9","4,o,P1,cc,c,8,9",M → P1,1,1
112v.12.3,"o,M,9","o,Z,9",M → Z,1,1
106r.2.2,"x,N,c,o","x,c,c,o",N → $,1,1
103v.8.4,"N,a,n","2,a,n",N → 2,1,1
105r.5.4,"o,x,N,a,m","o,x,P1,a,m",N → P1,1,1
107r.9.2,"N,x","a,x",N → a,1,1
58v.1.13,"N,a,Z","c^c,a,Z",N → c^c,1,1
113v.7.3,"x,N,x","x,o,x",N → o,1,1
104v.10.1,"P1,cc,c,8,9","N,cc,c,8,9",P1 → N,1,1
105v.5.1,"o,P2,a,i,Z","o,Z,a,i,Z",P2 → $,1,1
10v.1.1,"P2,a,m","8,a,m",P2 → 8,1,1
114v.5.1,"4,o,P2,cc,c,8,9","4,o,N,cc,c,8,9",P2 → N,1,1
116r.6.10,"P2,c^c,c,8,9","x,c^c,c,8,9",P2 → x,1,1
89va.2.1,"8,a,Q","8,a,n",Q → n,1,1
46r.2.2,"Y,o,x","c^c,o,x",Y → c^c,1,1
89va.2.3,"cc,o,Z","cc,o,2?",Z → 2?,1,1
54r.2.6,"cc,o,Z","cc,o,?",Z → ?,1,1
82v.4.1,"Z,cc,c,8,9","P2,cc,c,8,9",Z → P2,1,1
113v.9.1,"a,Z","a,c^c",Z → c^c,1,1
85r.3.5,"a,x","8,x",a → 8,1,1
108v.1.2,a,Z,a → Z,1,1
2r.2.3,"2,a,m","2,â,m",a → â,1,1
43v.2.3,"cc,c,8,9","cc,o,8,9",c → o,1,1
66r.6.1,c^c,9,c^c → 9,1,1
43v.2.2,"cc,c,8,9","M,c,8,9",cc → M,1,1
30r.1.6,"cc,o","Z,o",cc → Z,1,1
25r.1.4,"cc,a,i","cc,a,m",i → m,1,1
58v.1.1,"9,P2,a,i","9,P2,a,x",i → x,1,1
85v.4.14,"o,N,a,m","o,N,a,i",m → i,1,1
38v.1.6,"8,a,m+","8,a,n",m+ → n,1,1
86r.3.3,"a,m+","a,x",m+ → x,1,1
55v.1.5,"9,N,a,n","9,N,a,i",n → i,1,1
107v.1.3,"a,n","a,m+",n → m+,1,1
100r.3.1,o,2,o → 2,1,1
107r.3.4,"cc,c,c,o","cc,c,c,?",o → ?,1,1
114r.9.2,"o,c,c,8,9","N,c,c,8,9",o → N,1,1
36r.2.2,o,Z,o → Z,1,1
112r.3.4,"cc,o,8,9","cc,c,8,9",o → c,1,1
84r.2.4,"o?,x","o,x",o? → o,1,1
40r.1.5,"x,o,N,a,Z","4,o,N,a,Z",x → 4,1,1
78r.3.16,"x,cc,c,8,9","P2,cc,c,8,9",x → P2,1,1
112r.1.8,x,a,x → a,1,1
115v.11.1,"x,8,a,Z","c^c,8,a,Z",x → c^c,1,1
6v.2.6,"x,a,Z","cc,a,Z",x → cc,1,1
111v.1.6,"a,x?","a,x",x? → x,1,1
