line,0,1,add,n
50r.1.5,"N,a,Z","a,Z",N,46
50v.1.5,"cc,c,8,9","cc,N,c,8,9",N,46
56r.1.8,"cc,o,9","cc,o,N,9",N,46
56r.2.2,"o,M,cc,9","cc,o,N,9,M",N,46
56v.2.8,"N,cc,o,x","cc,o,x",N,46
58r.3.3,"o,x,a,x,8,9","o,N,a,x,o,8,9",N,46
58v.3.4,"N,o,x","o,x",N,46
76v.3.2,"4,o,c,c,c,8,9","4,o,N,c,8,9",N,46
79r.3.2,"4,o,x","4,o,N,x",N,46
80v.7.2,"o,x,a,m","o,x,N,a,m",N,46
83r.4.19,"2,a,Z","2,N,a,Z",N,46
84v.2.8,"4,o,N,c,c,8,9","4,o,c,c,8,9",N,46
85v.1.10,"o,x,a,m","o,x,N,a,m",N,46
86r.5.3,"N,a,Z","a,Z",N,46
95vb.2.1,"c^c,c,8,9","8,N,c^c,c,9",N,46
95vb.2.2,"cc,8,9","N,cc,8,9",N,46
95vb.4.1,"c^c,c,8,9","N,c^c,c,8,9",N,46
96r.1.7,"o,N,Z","o,Z",N,46
100v.2.1,"9,N,cc,8,9","8,cc,8,9",N,46
101v.5.1,"cc,c,9","N,cc,c,9",N,46
102va.6.8,"N,o,Z","o,Z",N,46
102vb.5.3,"o,N,c,o,8,9","8,c,o,8,9",N,46
104v.7.2,"4,o,N,cc,c,9","4,o,cc,c,9",N,46
105r.8.1,"N,o,Z","o,Z",N,46
106r.1.3,"x,cc,c,8,9","x,N,cc,c,8,9",N,46
106v.12.2,"N,cc,c,8,9","cc,c,8,9",N,46
107r.9.2,"a,x","N,a,x",N,46
112r.1.8,"c,c,9","N,c,c,9",N,46
113r.11.1,"x,c^c,c,8,9","x,N,c^c,c,8,9",N,46
114r.3.2,"o,N,cc,8,9","cc,o,8,9",N,46
115v.3.2,"x,N,cc,c,9","x,cc,c,9",N,46
115v.4.2,"x,cc,c,8,9","x,N,cc,c,8,9",N,46
115v.8.3,"8,cc,c,c,8,9","N,cc,c,8,9",N,46
6r.1.6,"9,8,a,m","8,a,m",9,39
6v.2.3,"9,cc,o,Z","cc,o,Z",9,39
8r.2.3,"cc,o,M","cc,o,M,9",9,39
17v.1.5,"9,cc,o,x","cc,o,x",9,39
18r.2.4,"8,a,Z,9","8,a,Z",9,39
21v.1.3,"M,cc,o","cc,o,M,9",9,39
22r.4.3,"8,a,m","9,8,a,m",9,39
22v.2.2,"9,cc,o,Z","cc,o,Z",9,39
24v.2.4,"9,cc,o,x","cc,o,x",9,39
31v.1.2,"o,c,N,c,c,9","o,N,c,c,o",9,39
38r.1.6,"9,c^c,o","c^c,o",9,39
42v.2.2,"c,M,cc,9","M,cc,c,c,c",9,39
48r.1.8,"o,M,c,o,x","o,M,c,o,x,9",9,39
56r.1.4,"cc,o,N,o,Z","cc,N,o,Z,cc,9",9,39
58r.1.2,"M,a,x","9,M,a,x",9,39
58r.1.5,"a,Z","a,Z,9",9,39
58r.1.13,"o,x","o,x,9",9,39
58v.2.6,"o,N,a,x","o,N,a,x,9",9,39
66r.9.2,"8,a,i,Z,a,x,9","8,a,i,Z,a,x",9,39
75r.4.5,"4,o,N,c,8","4,o,N,c,8,9",9,39
77v.4.3,"8,a,x","8,a,x,9",9,39
77v.4.13,"4,o,N,c,8,9","4,o,N,c,8",9,39
77v.5.1,"8,a,x,9","8,a,x",9,39
80r.3.4,"o,N,a,x,o,x","o,N,a,x,9",9,39
81r.2.6,"o,x","o,x,9",9,39
83r.4.9,"2,9",2,9,39
83r.5.5,"2,a,Z,o,x,8,a,x","8,a,Z,o,x,2,9",9,39
86r.5.2,"P2,cc,o,Z","9,P2,cc,o,Z",9,39
88r.4.1,"2,a,x","2,a,x,9",9,39
90vb.1.4,"2,9",2,9,39
93v.1.8,"8,cc,o","cc,o,8,9",9,39
94v.3.2,"o,x,9","o,x",9,39
96r.1.12,"8,9",8,9,39
101r.1.1,"c^c,c,o,x","o,x,c^c,c,9",9,39
101r.3.2,"o,Z","o,Z,9",9,39
106r.1.1,"4,o,M,c,8,9","4,o,M,c,8",9,39
106r.1.2,"cc,c,8","cc,c,8,9",9,39
107r.8.2,"9,N,a,x","N,a,x",9,39
108r.1.2,"cc,o,N,c,8,9","cc,o,c,N,c,c,8",9,39
2v.2.2,"cc,9","cc,M,9",M,23
7v.1.5,"cc,c,c,9","M,cc,c,c,9",M,23
13r.2.1,"c^c,9","M,c^c,9",M,23
16r.2.1,"M,cc,o,Z","cc,o,Z",M,23
17v.1.14,"M,cc,o,Z,9","9,cc,o,Z",M,23
22v.2.4,"cc,o,x","M,cc,o,x",M,23
29v.1.4,"9,c^c,o","o,M,c^c,9",M,23
29v.1.4,"c^c,o,M","c^c,o",M,23
40r.1.6,"M,o,Z","o,Z",M,23
46r.3.1,"M,c^c,8,9","c^c,8,9",M,23
53v.1.8,"M,c^c,c,o,8,9","c^c,c,o,8,9",M,23
58r.3.2,"M,a,x","a,x",M,23
76r.1.28,"M,a,x,o,Z","o,x,a,x,o,Z",M,23
85v.3.2,"M,a,Z","a,Z",M,23
85v.3.10,"8,cc,c,8,9","cc,c,M,c,8,9",M,23
89va.5.4,"cc,M,9","cc,9",M,23
95rb.1.4,"M,o,Z","o,Z",M,23
105v.9.2,"M,a,m","a,m",M,23
107v.3.3,"c^c,c,8,9","M,c^c,c,8,9",M,23
108r.11.2,"cc,c,8,9","M,cc,c,8,9",M,23
111v.2.2,"c^c,c,c,9","M,c^c,c,c,9",M,23
112r.6.4,"M,a,Z","a,Z",M,23
113r.10.1,"M,cc,o,x","cc,o,x",M,23
19v.2.6,"o,M,9","9,M,o,Z",Z,19
30r.1.6,"cc,o,Z","cc,o",Z,19
33v.2.4,o,"o,Z",Z,19
50v.1.4,"o,x,a,m","o,x,Z,a,m",Z,19
52v.1.3,"cc,o,Z","cc,o",Z,19
56r.1.5,"cc,o","cc,o,Z",Z,19
56r.1.5,"cc,o,Z","cc,o",Z,19
56r.2.2,"9,M,cc,o,Z","o,M,cc,9",Z,19
75r.3.21,"o,x","x,o,Z",Z,19
75r.3.24,"x,o,Z","o,x",Z,19
77v.5.10,"8,o,x,cc,c,c,8,9","Z,o,x,cc,c,8,9",Z,19
80v.7.5,"c^c,c,9,Z","c^c,c,9",Z,19
81v.1.2,"o,x","Z,o,x",Z,19
81v.2.14,"Z,o,x","o,x",Z,19
101v.3.2,"o,Z",o,Z,19
101v.3.2,o,"o,Z",Z,19
111v.1.6,"o,N,c,c,o","o,N,c,c,o,Z",Z,19
115r.4.3,o,"Z,o",Z,19
115r.7.3,"x,o,Z","o,x",Z,19
1v.2.5,"cc,o,8,9","2,cc,o,8,9",2,16
4v.1.1,"8,o,x,8,2","8,x,o,8",2,16
13r.1.2,9,"2,9",2,16
58r.2.5,"o,x,c,c,c,9","o,x,c,c,2,c,9",2,16
78v.2.8,"o,x","o,x,2",2,16
79r.6.1,"o,x","2,o,x",2,16
83r.4.16,"2,o,x,cc,c,8,9","o,x,cc,c,8,9",2,16
83r.4.18,"2,o,x","o,x",2,16
90vb.2.3,"a,2,m","a,m",2,16
93r.1.11,"a,x","2,a,x",2,16
93r.1.29,"c,M,c,o","c,M,c,o,2",2,16
104r.8.2,"2,o,Z","o,Z",2,16
107v.1.3,"2,a,n","a,n",2,16
108v.10.1,"2,a,n","a,n",2,16
111v.1.20,"2,a,i,Z","a,i,Z",2,16
114r.11.3,"o,x,2","o,x",2,16
4v.2.6,"o,8,9","c^c,o,8,9",c^c,14
7v.1.3,"N,c^c,9","N,9",c^c,14
19r.1.9,"c^c,8,a,m","8,a,m",c^c,14
29v.2.3,"8,9","c^c,8,9",c^c,14
41r.1.3,"c^c,c,N,cc,9","cc,c,N,9",c^c,14
44v.3.2,"x,o","x,c^c,o",c^c,14
76v.4.1,"4,o,N,c^c,c,8,9","4,o,N,c,8,9",c^c,14
78v.2.8,"c^c,Z",Z,c^c,14
79v.1.3,"4,o,N,c^c,c,8,9","4,o,N,c,8,9",c^c,14
84r.7.8,"c^c,c,N,c,cc,9","cc,c,N,c,9",c^c,14
84v.3.13,"o,N,c,9","o,N,c,c^c,9",c^c,14
90va.2.3,"c^c,c,o,c,M,9","o,M,c,c,9",c^c,14
95rb.2.2,"o,x","c^c,o,x",c^c,14
108v.3.5,"c^c,c,8,9","8,c,c,8,9",c^c,14
66r.14.2,"cc,c,8,9","P2,cc,c,8,9",P2,9
75r.1.5,"cc,c,9","P2,cc,c,9",P2,9
79v.7.1,"P2,o,x","o,x",P2,9
80v.4.1,"Z,o,Z","o,P2,o,Z",P2,9
80v.8.6,"P2,o,x","o,x",P2,9
81v.2.7,"cc,8,9","P2,cc,8,9",P2,9
86r.5.1,"P2,c^c,o,8,9","c^c,o,8,9",P2,9
94v.3.1,"P2,a,Z","a,Z",P2,9
101r.3.1,"c^c,c,o,a,Z","c^c,c,o,Z",a,9
107r.7.1,"P2,a,x","a,x",P2,9
108v.8.1,"x,2","2,a,x",a,9
111r.7.2,"a,x",x,a,9
111v.1.8,"a,x",x,a,9
112r.5.1,"4,o,a,m","4,o,m",a,9
114r.3.2,"o,a,Z","o,Z",a,9
115r.3.2,Z,"a,Z",a,9
115v.5.3,Z,"a,Z",a,9
116r.7.3,"a,Z",Z,a,9
2v.2.4,"cc,i,o,x","cc,o,x",i,5
58r.2.1,"a,Z","a,i,Z",i,5
87v.2.4,"a,n,Q","a,Q",n,5
89ra.5.2,"x,8,a,n","8,a,x",n,5
108r.3.2,"a,Z","a,i,Z",i,5
111r.14.2,"x,a,n","a,x",n,5
113v.14.2,"x,a,n","a,x",n,5
114r.5.2,"o,M,a,i,Z","o,M,a,Z",i,5
114r.9.2,"a,i,Z","a,Z",i,5
115r.12.1,"a,n,Z","a,Z",n,5
17r.1.1,"8,a,Z,a,Q","8,8,a,Z",Q,4
24v.1.2,"o,N,cc,o,Q","o,N,cc,o",Q,4
49v.2.3,"8,cc,o","8,cc,o,Q",Q,4
107r.14.1,"o,Q",o,Q,4
101v.5.1,"?,?","?,?,m",m,3
108r.4.3,"Z,a,m","a,Z",m,3
116r.7.4,"a,Z","Z,a,m",m,3
45r.3.2,"?,o,Z","o,Z",?,2
57r.1.3,"cc,c,o,8,9","cc,c,?,o,8,9",?,2
89va.5.4,"o,x","x,o,9?",9?,1
113v.5.3,"2?,a,Z","a,Z",2?,1
