line,0,1,add,n
42v.2.4,"cc,o,x","o,x",cc,66
44r.1.2,"8,cc,9","8,9",cc,66
44v.3.5,"cc,c,M,c,9","c,M,c,9",cc,66
45v.3.4,"o,Z","cc,o,Z",cc,66
46r.4.3,"8,a,Q","cc,8,a,Q",cc,66
49v.1.3,"cc,c,M,c,9","c,M,c,9",cc,66
55r.1.4,"cc,a,Z","a,Z",cc,66
56v.1.1,"cc,o,Z","o,Z",cc,66
58r.1.5,"cc,a,Z","a,Z",cc,66
58r.1.5,"cc,a,Z","a,Z",cc,66
58r.3.6,"cc,o,x","o,x",cc,66
66r.3.2,"o,N,c,o,8,9","cc,c,N,c,o,8,9",cc,66
79r.5.3,"9,M,c,c,9","cc,9,M,c,c,9",cc,66
79v.3.6,"cc,o,x","o,x",cc,66
81v.2.3,"9,M,c,8,9","cc,c,M,c,8,9",cc,66
82r.3.5,"cc,8,9","8,9",cc,66
82v.1.1,"o,M,c,cc,8,9","o,M,c,8,9",cc,66
82v.4.5,"cc,8,9","8,9",cc,66
83r.3.4,"4,o,N,cc,c,8,9","4,o,N,c,8,9",cc,66
84r.7.2,"c,N,c,c,8,9","cc,N,c,8,9",cc,66
85r.3.1,"8,a,x","cc,8,a,x",cc,66
86r.2.4,"cc,o,Z","o,Z",cc,66
90rb.1.3,"cc,o,x","o,x",cc,66
90vb.1.3,"cc,o,x","o,x",cc,66
93r.1.31,"o,x","cc,o,x",cc,66
95vb.2.3,"o,N,c,8,9","o,N,cc,c,8,9",cc,66
96r.1.4,"o,Z","cc,o,Z",cc,66
99r.5.1,"cc,o,N,9","o,N,9",cc,66
101r.3.1,"c,N,cc,c,c,9","9,N,c,c,9",cc,66
101v.3.1,"cc,o,Z","o,Z",cc,66
103v.9.2,"cc,c,c,N,c,9","9,N,c,c,9",cc,66
104v.10.3,"cc,o,N,a,n","o,N,a,n",cc,66
105r.1.2,"9,c,9","cc,c,c,9",cc,66
106r.10.2,"o,x","x,cc,o",cc,66
106v.4.4,"cc,a,Z","a,Z",cc,66
107r.14.4,"cc,o,x","o,x",cc,66
111v.7.1,"cc,a,x","a,x",cc,66
112r.6.4,"cc,o,x","o,x",cc,66
112v.12.2,"o,x","cc,o,x",cc,66
113r.5.1,"N,c,c,o,x","x,N,cc,c,o,x",cc,66
113r.10.2,"a,x","cc,a,x",cc,66
113v.3.3,"o,N,a,m","cc,o,N,a,m",cc,66
113v.5.4,"cc,x",x,cc,66
113v.9.5,"cc,a,Z","a,Z",cc,66
114r.5.3,"8,a,i,Z","cc,8,a,i,Z",cc,66
115v.13.4,"4,o,N,c,9","4,o,N,cc,c,9",cc,66
116r.6.12,"cc,x",x,cc,66
6v.1.4,2,"o,2",o,60
6v.2.8,2,"o,2",o,60
17v.1.7,"o,2",2,o,60
19r.1.5,"o,M,cc,9","M,cc,9",o,60
22r.4.3,"o,N,cc,9","N,cc,9",o,60
27v.1.4,"cc,x","cc,o,x",o,60
32v.1.4,"cc,Z","cc,o,Z",o,60
35v.1.11,"cc,o,8,a,m","8,cc,a,m",o,60
38v.1.7,Z,"o,Z",o,60
39r.3.4,"o,M,c,8,9","M,c,8,9",o,60
39v.1.2,"o,8,9","8,9",o,60
41r.2.6,"9,N,c,o,8","9,N,c,c,8,9",o,60
41v.1.7,"9,N,c,c,9","o,N,c,9",o,60
42r.3.4,2,"o,2",o,60
43r.2.2,"cc,c,8,9","cc,c,o,8,9",o,60
44v.3.3,"N,a,x","o,N,a,x",o,60
48r.1.6,"o,N,c,9","9,N,c,c,9",o,60
48v.1.2,"9,o,M,c,8,9","c,M,c,8,9",o,60
66r.11.1,"cc,o,N,c,c,9","cc,c,N,c,9",o,60
75v.1.7,"M,c,8,9","o,M,c,8,9",o,60
75v.1.7,"o,M,c,8,9","M,c,8,9",o,60
76v.2.5,"o,M,c,8,9","c,M,c,c,8,9",o,60
76v.2.5,"c,M,c,c,8,9","o,M,c,8,9",o,60
76v.4.1,"P2,c^c,c,a,x,8,9","o,P2,a,x,c^c,c,8,9",o,60
76v.5.3,"4,c,c,8,9","4,o,c,c,8,9",o,60
77v.3.9,"o,x,cc,c,9","x,cc,c,9",o,60
78r.2.11,"o,N,c,8,9","N,c,8,9",o,60
78v.2.2,"x,c^c,c,8,9","o,x,c^c,c,8,9",o,60
79v.2.1,"o,P2,cc,c,8,9","P2,cc,c,8,9",o,60
79v.3.7,"M,c,c,9","o,M,c,c,9",o,60
80r.6.7,x,"o,x",o,60
84r.2.1,"o,M,c,8,9","8,9,M,c,8,9",o,60
84v.3.19,"o,x,cc,c,9","x,cc,c,9",o,60
85v.4.7,"x,N,a,m","o,x,N,a,m",o,60
86r.2.2,"M,a,Z,a,Z","o,M,a,Z",o,60
86r.4.4,"o,a,Z","a,Z",o,60
89va.5.3,"8,a,m","o,8,a,m",o,60
95vb.2.2,"M,a,Z","o,M,a,Z",o,60
99r.8.3,"cc,c,c,o,N,c,c,9","cc,c,c,N,c,c,9",o,60
101r.1.2,Z,"o,Z",o,60
102ra.5.5,"9,8,a,Z","a,Z,o,8,9",o,60
105v.3.1,"o,P2,cc,c,8,9","P2,cc,c,8,9",o,60
105v.3.2,"o,Z",Z,o,60
107v.1.4,"cc,c,N,9","o,N,c,cc,9",o,60
108r.15.1,"o,N,c,c,9","N,c,c,9",o,60
108v.5.4,"o,x",x,o,60
108v.7.3,"N,a,m","o,N,a,m",o,60
111r.3.2,"o,x,cc,c,8,9","x,cc,c,8,9",o,60
