folio,par,line,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
,,5,"c^c,9","o,M,cc,o","N,c,c,9","M,o,Z","cc,c,9","o,M,cc,9","M,cc,o,x","8,a,n","8,a,Q",,,,,,,,,,,,,,,,,
,,6,"8,c^c,o","c,P2,c,9","8,a,m","8,a,m",9,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47v,1,1,"P2,c^c,c,o,M","cc,c,o,Z","cc,o,x,c^c,o","cc,o,P2,cc,9","2,a,x","2,a,Z,9",,,,,,,,,,,,,,,,,,,,
,,2,"8,c^c,c,c,9","c^c,9","c,P2,c,9","o,M,cc,c,9","8,a,n,8,9","cc,o,Z,9","8,a,n,9",,,,,,,,,,,,,,,,,,,
,,3,"c^c,o,x","cc,a,Z","o,M,c,o,x","8,o,Z","o,M,cc,o,x","cc,N,cc,9","8,a,m",,,,,,,,,,,,,,,,,,,
,,4,"4,o,M,o,x","c^c,c,c,9","N,o,x","c^c,o","N,c,c,cc,9","4,o,M,9","c,M,c,9",,,,,,,,,,,,,,,,,,,
,,5,"8,c^c,o,x,9","c^c,c,c,2","cc,o,Z","o,8,9","c^c,9","2,9","2,a,Z,9",,,,,,,,,,,,,,,,,,,
,,6,"cc,o,8,9","cc,c,o,Z","2,a,m","8,o,cc,o,8","cc,o,x",,,,,,,,,,,,,,,,,,,,,
,2,1,"P2,cc,o,8,a,m","8,a,i,Z","8,c,M,c,9",,,,,,,,,,,,,,,,,,,,,,,
,,2,"8,a,m","cc,c,o,M,a,Z","cc,o,8,a,x,9","2,a,x",,,,,,,,,,,,,,,,,,,,,,
,,3,"4,o,M,cc,c,c,9","cc,c,M,9","cc,o,x","cc,o,x","8,a,n",,,,,,,,,,,,,,,,,,,,,
,,4,"cc,o,M,cc,o","x,M,cc,c,9",9,"M,cc,o","M,cc,9","8,9","cc,o,x","cc,o,8,9","8,a,Z",,,,,,,,,,,,,,,,,
,,5,"o,M,c,c,9","cc,o","cc,8,9","cc,9","N,c,9","cc,9,N,9","8,cc,9","8,a,m","cc,9",,,,,,,,,,,,,,,,,
,,6,"cc,9","cc,o,N,cc,2,9","cc,9","cc,9","cc,c,N,9","cc,o,cc,9","8,a,m",,,,,,,,,,,,,,,,,,,
,,7,"8,c^c,9","8,a,m","cc,o,x,c,M,9","cc,a,m","8,cc,c,c,9","o,M,a,x,8",,,,,,,,,,,,,,,,,,,,
,,8,"cc,o,x","c,M,cc,c,9",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48r,1,1,"P2,c^c,8,a,m","9,P2,cc,8,9","o,P2,cc,c,9","c,N,c,9","8,a,x","c^c,c,o","8,a,m","c^c,c,o,N,c,o,x","9,N,c,c,o,8,9","o,x,a,m","o,P2,a,x,8,9",,,,,,,,,,,,,,,
,,2,"8,a,m","9,M,c,c,o,x","cc,c,o,8,9","N,?,cc,o,8,c^c,c,9","4,o,M,c,8,9","cc,M,a,m","o,M,cc,8,9","M,c,8,a,n","o,N,a,n","c,N,c,9",,,,,,,,,,,,,,,,
,,3,"c^c,c,o,8,9","c^c,c","M,c,o,M,c,c,9","o,M,c,o,8,a,m","o,8,9","4,o,M,c,o",x,"N,c,8,9","8,o,x,o,8,a,x","4,o,M,a,Z","o,P2,cc,c,M,9","x,8,9",,,,,,,,,,,,,,
,,4,"M,o,x,N,c,o,x","8,a,n","o,M,a,m","9,N,c,c,8,9","cc,c,M","9,M,c,8,9","M,c,8,9","4,o,8,9","M,c^c,8,9","cc,c,M,c,8,9","c,M,c,c,c,M,9",Z,,,,,,,,,,,,,,
,,5,"9,M,c,c,9","M,c,o,x","o,N,c,o,8,9","cc,c,o,c,N,c,9","o,x,c^c,c,c,9","4,o,c,N,a,m","o,c,M,c,c,9","cc,o,x,N,a,Z","a,m","c,M,c,a,Z","o,8",,,,,,,,,,,,,,,
,,6,"a,x,c^c,c,9","x,N,c,c,?,9","9,,cc,c,8,9","4,o,N,c,8,9","x,o,M,a,x","4,o,M,o,x","o,M,a,x","cc,c,8","o,N,c,9","9,N,c,c,9","8,a,?,8,9",,,,,,,,,,,,,,,
,,7,"M,o,c,M,c,9","4,o,N,c,o,x","9,M,c,c,8,9","x,o,x,N,c,o,x","o,M,a,x,cc,c,2","a,x","a,Z","9,N,c,c,o,8,a,Q","o,N,c,8,9","o,N,a,Q",,,,,,,,,,,,,,,,
,,8,"o,M,cc,8,a,n","c^c,o,x","o,M,c,o,x","o,M,c,o,x,9","9,N,c,c,9","8,a,Q,8,Z",,,,,,,,,,,,,,,,,,,,
,,9,"9,M,?,cc,c,8","a,Z","o,x,N,c,9","o,N,c,o,a,Q",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48v,1,1,"P2,cc,c,o,8,cc,9","8,c^c,c,8,9","P1,cc,c,8,9","x,o,2","a,m","9,N,c,c,c,8,9","c^c,c,9","9,P2,cc,c,8,9","M,c,c,8,9","cc,8,9","9,P2,a,i,Z,9","cc,c,8,9,M,9",,,,,,,,,,,,,,
,,2,"cc,c,9","M,c,8,9","o,M,cc,o,8,?","9,N,c,c,8,9","o,M,a,Z","9,o,M,c,8,9","c,M,c,8,9","o,N,a,n","cc,c,M,9","cc,o","o,x,N,c,c,9",,,,,,,,,,,,,,,
,,3,"a,x,cc,c,9","N,o,Z,9","N,c,o,8,9","o,x","N,c,c,c,9","c,c,o,8,9","cc,c,8,9","8,a,x,9","o,N,c,c,o,Z","a,m","o,M,a,Z","a,i,Z","a,Q",,,,,,,,,,,,,
,,4,"8,cc,c,8,9","M,cc,8,8,9","o,M,c^c","o,N,c,c,9","M,9","o,M,a,Z","a,x","cc,8,9","9,M,c,c,8,9","o,M,c,?,8","9,M,c,8,9",Q,,,,,,,,,,,,,,
,,5,"x,N,c,c,9","4,o,c,M,c,c,8,9","M,a,m","c^c,c,a","4,o,N,a,Z","o,M,c,8,9","8,9","8,a,n","M,o,x,N,a,n","o,M,a,Q",,,,,,,,,,,,,,,,
,,6,"c^c,8,9","4,o,N,a,n","o,N,a,Z","o,M,a,Z","o,Z","o,M,c,c,2","o,x","o,Z","a,n","o,M,a,x","o,N","9,M,a,Z","cc,c,8,9","a,Q",,,,,,,,,,,,
,2,1,"P2,cc,c,8,a,Z","cc,c,9","9,P2,cc,c,8,9","o,M,c,8,9","c^c,c,P1,c,c,c,8,9","a,x","c^c,c,8,9","o,M,c,8,9","P1,cc,c,o,8,a,x","c,P2,c,c,c,Q",,,,,,,,,,,,,,,,
,,2,"o,M,c,o,8,9","cc,N,c,9","o,N,c,8,9","cc,c,N,c,c,8,9","9,N,c,8,9","o,x,8,9","o,M,o,x,9","cc,c,9","N,a,x,9","M,o,N,a,Z","o,M,a,Q",,,,,,,,,,,,,,,
,,3,"M,o,Z","c^c,o,8,9","o,N,a,x","o,M,cc,c,8,9","cc,o,N,9","o,x,9","x,o,x,8,9","x,o,x","o,M,cc,8,9","o,M,o,x,8,9","9,M,a,Q","o,M,c,?,9",,,,,,,,,,,,,,
,,4,"M,o,x","cc,c,8,9","9,M,c,8,9","9,N,c,o,x","cc,8,9","cc,8,o,Z","cc,M,o,x","cc,8,9","9,M,cc,c,8,a,x","c,M,c,c,9","o,N,a,Z,a,Z,a,Z,9",,,,,,,,,,,,,,,
,,5,"9,N,c,c,8,a,x","cc,c,N,c,9","9,N,a,x","9,M,a,Q","o,Z","cc,c,c,8,x,2","2,a,Z,9",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49r,1,1,"P2,o,c^c,o,x","8,9","c^c,o,Z","c^c,o,x","c^c,M,cc,9","c^c,o,Z,P2,cc,o,Z","o,P2,cc,o,Z","c^c,o,Z,N,cc,9",,,,,,,,,,,,,,,,,,
,,2,"4,o,M,o,Z","c^c,o","cc,o,M,cc,9","cc,o,c^c,9","4,o,P2,cc,a,Z","4,^,o","8,o,Z","8,a,m",,,,,,,,,,,,,,,,,,
,,3,"8,c^c,o","8,cc,o,Z","8,cc,o,Z","8,a,m","8,o,Z","cc,c,o,Z,a,m",,,,,,,,,,,,,,,,,,,,
,2,1,"N,c^c,o","4,o,8,a,n","cc,o,M,c^c,9","8,o,8,a,Z",,,,,,,,,,,,,,,,,,,,,,
,,2,"cc,o,Z","c^c,c,o,Z","cc,c,9,M,c,c,9","4,o,M,a,i",,,,,,,,,,,,,,,,,,,,,,
,,3,"o,x","o,Z","c^c,2,c,c,2","c^c,c,o,M,9","cc,o,x","8,a,m",,,,,,,,,,,,,,,,,,,,
,,4,"4,o,N,c,o,Z","cc,c,c,9","4,o,N,cc,9","4,o,M,o,8,9",,,,,,,,,,,,,,,,,,,,,,
,,5,"cc,o,M,cc,o,Z","cc,9","cc,c,c,M","4,o,x,2,o,Z",,,,,,,,,,,,,,,,,,,,,,
,,6,"o,9,N,c,c,c,9","cc,c,9","N,c^c,c,9","cc,o,Z,o,m",,,,,,,,,,,,,,,,,,,,,,
,,7,"c^c,o",Z,"cc,o,m","c^c,o,Z","c^c,o,Z","c^c,9",,,,,,,,,,,,,,,,,,,,
,,8,"cc,o,M,cc,c,o,x","8,cc,o,x",,,,,,,,,,,,,,,,,,,,,,,,
,3,1,"P2,o,8,a,m","cc,c,o","N,cc,o","8,a,m","cc,c,M,c,9",,,,,,,,,,,,,,,,,,,,,
,,2,"c^,o,8","cc,o,x,9","M,cc,c,o,x","8,a,m","c,M,c,o,88",,,,,,,,,,,,,,,,,,,,,
,,3,"4,^,o","c^c,o,4,o,N,9","c^c,o,Z","c^c,c,o,Z","o,M,o,x","8,a,m",,,,,,,,,,,,,,,,,,,,
,,4,o,"cc,o,x","cc,o,x","cc,o,8,9","8,cc,o,8,a,m","8,a^,m",,,,,,,,,,,,,,,,,,,,
,,5,"4,^,o,cc,o","cc,c,c,9","8,cc,c,9","4,o,M,cc,o,8,9",,,,,,,,,,,,,,,,,,,,,,
,,6,"o,x","o,x","o,x","cc,c,9","cc,c,9","N,cc,9","4,o,M,cc,o,x","cc,o,2,o,Z,9",,,,,,,,,,,,,,,,,,
,,7,"c^c,o,Z","cc,c,o,x","o,8","cc,o","8,cc,c,c,c,9","4,o,M,cc,o,M,cc,9",,,,,,,,,,,,,,,,,,,,
,,8,"8,cc,c,o",Z,"cc,c,c,9","N,c,o,x,cc,c,9","cc,o,N,cc,o,x","cc,o,N,a,i",,,,,,,,,,,,,,,,,,,,
,,9,"4,o,M,cc,o","cc,o,8,2","cc,o","cc,o,c^c,9","cc,2","o,Z,m",,,,,,,,,,,,,,,,,,,,
,,10,"o,8,cc,9","cc,o,Z","c,M,9","cc,o,x",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49v,1,1,P1,"N,c^c,o,Z","c^c,o,x","c,P2,c,o,N,cc,o,x","cc,c,P1,cc,9",,,,,,,,,,,,,,,,,,,,,
,,2,o,"4,o,N,cc,9","4,o,N,cc,o,8","c^c,o","c,N,c,9",,,,,,,,,,,,,,,,,,,,,
,,3,Z,"cc,o,M,cc,9","cc,c,M,c,9","c,M,c,9","N,o,8,8,9",,,,,,,,,,,,,,,,,,,,,
,,4,9,"o,N,c,o,8,c^c,o","cc,o,M,c^c,o,x","8,a,Q",,,,,,,,,,,,,,,,,,,,,,
,,5,<,"c^c,o,x","c^c,o,8,a,m","4,o,M,cc,a,Z",,,,,,,,,,,,,,,,,,,,,,
,,6,>,"4,o,M,cc,9","cc,o,N,cc,9","cc,o,N,9",,,,,,,,,,,,,,,,,,,,,,
,,7,N,"cc,o,M,cc,9","cc,o,8,a,m","8,a,i",,,,,,,,,,,,,,,,,,,,,,
,,8,2,"4,o,M,c,c,c,2","cc,c,o","8,a,m","8,o,x",,,,,,,,,,,,,,,,,,,,,
,,9,P2,"o,cc,o,Z","c^c,c,c,o,8","N,c^c,c,o,8,x",,,,,,,,,,,,,,,,,,,,,,
,,10,o,"4,^,o,N,c^c,o,8,a,m","c^c,c,N,c,9","8,a,Z",,,,,,,,,,,,,,,,,,,,,,
,,11,2,"8,cc,o,x","c,M,c,o,x","8,a,m","cc,o,N,9",,,,,,,,,,,,,,,,,,,,,
,,12,9,"o,cc,o,N,c,c,9","c,N,c,c,9","8,a,m","8,a,n","cc,o,N,a,Q",,,,,,,,,,,,,,,,,,,,
,,13,<,"4,o,N,c,o,x","cc,o,N,c,c,o,8,9","o,M,o,x","N,cc,o,2","cc,o,x","8,a,m",,,,,,,,,,,,,,,,,,,
,2,1,>,"P1,cc,o,cc,o,Z","c^c,o,x","M,cc,o,x","o,P2,cc,c,o,8,a,x","8,cc,2,9","cc,o,M,cc,9",,,,,,,,,,,,,,,,,,,
,,2,2,"8,cc,o","8,cc,o,x","cc,o,N,cc,o,8,a,m","cc,o,N,cc,9","M,cc,o,x","o,N,cc,o,N,o,x",,,,,,,,,,,,,,,,,,,
,,3,P2,"M,cc,o,M,cc,c,9","cc,o,N,c,c,o,8,o,x","Z,cc,c,c,9","o,M,cc,o,8,a,Z","8,cc,o","8,cc,o,Q",,,,,,,,,,,,,,,,,,,
,,4,o,"c^c,o,cc,o","o,a,m","c^c,c,o","cc,o,M,9",,,,,,,,,,,,,,,,,,,,,
,3,1,2,"4,o,M,cc,o","cc,c,o,x","cc,o,x,2","cc,o","cc,c,M,c,c,9","8,cc,c,o,x","cc,o,M,cc,o,8,9",,,,,,,,,,,,,,,,,,
,,2,9,"cc,o,N,c,o","c^c,o","cc,c,o,Z","cc,c,o,N,cc,c,M","cc,o,Z","8,a,m","8,9","8,a,m","4,o,N,8",,,,,,,,,,,,,,,,
,,3,<,"o,a,m","cc,9","8,a,m","cc,o,x","cc,a,m","N,c^c,a,Z,8,9","cc,o,N,cc,9",,,,,,,,,,,,,,,,,,
,,4,>,"4,o,N,c,a,m","cc,",o,"cc,o,Z","cc,o,M,cc,9","M,cc,c,o,x","8,a,n","cc,o","8,a,i,Z,n",,,,,,,,,,,,,,,,
,,5,8,"cc,o,N,a,m","cc,o","8,x,2","cc,a,Z,m","8,a,m","cc,a,n","8,9","cc,c,M,cc,o","8,9",,,,,,,,,,,,,,,,
,,6,9,"o,a,m","cc,c,N,9",Z,"cc,o","Z,cc,2,c,c,2,9","N,cc,o,Z","2,o,x","cc,c,M,c,o",2,,,,,,,,,,,,,,,,
,,7,<,"4,o,M,cc,c,o,x","cc,c,9","cc,o,Z","cc,o,N,a,x,9","cc,o,Z","8,a,x","cc,a,m",8,,,,,,,,,,,,,,,,,
,,8,N,"cc,o,x","cc,o,Z","cc,N,a,x,cc,9","cc,o,N,c,c,o,N,9","cc,o,N,o,Z,a,i",,,,,,,,,,,,,,,,,,,,
,,9,"9,N,cc,o,N,c,o",Z,"cc,c,c,9","8,a,m",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50r,1,1,"P2,c^c,c,o,Z","o,x,N,a,i,2","o,x,P1,cc,c,8,9","4,o,P2,c,c,c,8,a,Z","o,P2,cc,c,9","8,a,i,Z","o,x","a,m","cc,2,P1,cc,8,9",,,,,,,,,,,,,,,,,
,,2,"2,o,Z","o,Z,c^c,c,c,N,c,9","o,c,N,c,o,8,9","c^c,o,2","a,x,o,x","8,9","N,a,Z","o,N,9","8,a,m","o,N,a,Z","a,Z","o,N,a,Q",,,,,,,,,,,,,,
,,3,"M,c^c,o,x","N,a,Z","c^c,c,c,8,9","o,N,c,o,8,9","4,o,N,c,8,9","cc,o,8,9","N,cc,8,9","P2,cc,8,9","cc,N,o,m","o,8,a,Q",,,,,,,,,,,,,,,,
,,4,"M,cc,8,9","4,o,N,a,Z","cc,c,8,9","4,o,N,cc,8,9","4,o,N,a,m","o,Z","a,Z","a,x,o,x","N,c,o,8,a,m","o,x,Z",,,,,,,,,,,,,,,,
,,5,"2,o,x,N,cc,9","cc,c,N,c,9","4,o,N,cc,8,9","4,o,N,cc,8,9","o,N,a,Z","a,Z,9","4,o,N,cc,8,9","N,a,Z","a,Z","o,N,a,n",,,,,,,,,,,,,,,,
,,6,"9,N,a,n","c^c,?,c,a,Z","o,x","N,cc,c,8,9","o,N,a,x","4,o,M,o,Z","cc,c,c,o,Z","o,x,N,a,8,9","8,a,m","4,o,N,9",,,,,,,,,,,,,,,,
,,7,"M,o,8,a,x,a,n","4,o,M,a,x","N,a,m","o,M,a,m","o,M,a,x","c^c,c","N,a,Z","a,?,m","o,N,cc,c,8,9","8,aZ,i,n",,,,,,,,,,,,,,,,
,,8,"9,N,9,N,a,m","c^c,c,N,a,Z","o,M,cc,8,9","8,a,Z","N,a,Z","c^c,c,8,a,n","M,a,i,P2,a,Z","o,Z,o,x,N,a,m",,,,,,,,,,,,,,,,,,
,,9,"9,M,cc,8,9","N,cc,c,8,9","9,N,c,c,9","N,a,m","4,o,N,a,n","a,x,8","a,x,o,2,a,Q",,,,,,,,,,,,,,,,,,,
,,10,"2,o,x,N,a,m","o,P2,a,x,N,c","cc,c,N,c,9","8,a,Z,i,o","cc,N,9",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50v,1,1,"M,cc,9","8,o","x,8,a,Z","c^c,o,M,cc,8,9","4,o,N,cc,8,9","o,P2,cc,c,8,9","4,o,N,o,x","c^c,o,Z","o,P1,a,Z","P1,a,Z,8,a,Q",,,,,,,,,,,,,,,,
,,2,"M,cc,o,8,a,n","o,c,c,c,9","o,N,a,m","c^c,c,8,9","4,o,N,a,x,9","cc,8,9","o,N,9","N,co,8,9","cc,c,c,9","o,N,a,n",,,,,,,,,,,,,,,,
,,3,"P2,o,cc,c,8,9","4,o,N,o,8,9","cc,c,c,N,c,9","c^c,c,N,c,9","8,a,x,o,x","9,N,c,c,c,9","4,o,N,c,8,9","o,N,a,n","o,N,a,x",,,,,,,,,,,,,,,,,
,,4,"8,a,Z","4,o,a,n","o,x,a,m","o,x,Z,a,m","o,x","o,N,cc,8,9","o,N,cc,8,9","o,M,a,Z","cc,c,N,cc,9","o,Z",,,,,,,,,,,,,,,,
,,5,"9,cc,9","M,a,i,Z","cc,c,N,c,9","4,c,N,a,m","4,o,8,a,m","o,x,cc,c,N,9","cc,c,8,9","cc,N,c,8,9","o,N,c,8,9,8",,,,,,,,,,,,,,,,,
,,6,"8,a,m","N,c,8,a,i,Z","o,N,a,x","cc,o,8,9","4,o,N,c,8,9","o,N,a,Z","o,N,cc,c,9","o,N,c,8,9","o,M,a,Z","cc,N,c,c,9",,,,,,,,,,,,,,,,
,,7,"M,c,8,a,m","o,8,a,m","?,Z","o,N,a,m","9,N,o,Z","8,a,m","cc,o,N,9","4,o,M,cc,8,9","N,c,9","8,a,i,2,a,Q",,,,,,,,,,,,,,,,
,,8,"9,N,a,Z","o,N,a,i,Z","o,M,a,Z","4,o,N,c,8,9","9,N,cc,o,x","N,a,Z","cc,c,N,c,9","o,x,N,a,m","o,N,a,n","4,o,9?,8",,,,,,,,,,,,,,,,
,,9,"9,M,c^c,c,o,8","a,n","c^c,c,c^c,9","c,cc,c,8,9","N,cc,8,9","o,M,a,m","o,N,a,m","a,N,9",,,,,,,,,,,,,,,,,,
,,10,"8,cc,c,8,9","o,N,a,m","o,x,cc,8,9","o,x,o,c,c,8,9","9,N,c,c,o,8","a,Z","a,Z,a,8",,,,,,,,,,,,,,,,,,,
,,11,"x,cc,c,9","N,a,Z","9,N,cc,9","N,cc,8,9",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51r,1,1,"M,c^c,o,x,8,cc,9","4,o,M,cc,9","o,P2,cc,c,a,Z","9,P2,cc,c,8,9",,,,,,,,,,,,,,,,,,,,,,
,,2,"8,cc,c,o,8,a,m","c,N,c,c,o,8,9","c,N,c,o,8,9","cc,o,8,9",,,,,,,,,,,,,,,,,,,,,,
,,3,"9,8,cc,o,8,9","c,N,c,c,9","o,M,9","c,N,c,c,a,8,a,Z","4,o,N,9",,,,,,,,,,,,,,,,,,,,,
,,4,"8,a,m","c,M,c,c,2","o,N,o,x","cc,c,o,8,9","c,N,c,9","cc,c,c,c,9",,,,,,,,,,,,,,,,,,,,
,,5,"M,cc,c,o,8,9","4,o,8,a,m","c,N,c,c,9","4,o,c,N,c,c,9","M,a,m",,,,,,,,,,,,,,,,,,,,,
,,6,"9,cc,o,8,a,m","cc,o,N,a,m","9,N,cc,?,8,a,m","9,N,a,x,8",,,,,,,,,,,,,,,,,,,,,,
,,7,"9,cc,o,2,a,Z","c,c,c,N,c,9","N,cc,o","4,o,N,cc,9","4,o,M,a,x",,,,,,,,,,,,,,,,,,,,,
,,8,"o,c^c,o,x","o,8,a,m","c,N,c,?,9","c,N,c,c,o,8,9","4,o,N,c,9","o,M,9,8,9",,,,,,,,,,,,,,,,,,,,
,,9,"M,o,x","8,a,m","8,a,i,Q","4,cc,o,8,a,x","8,a,x","4,o,8,9","4,o,c,M,a,Q",,,,,,,,,,,,,,,,,,,
,,10,"9,N,cc,o,x","8,a,Z","c^c,c,9","4,o,N,c,o,x","N,cc,c,9","c^c,a,x","o,N,a,Q",,,,,,,,,,,,,,,,,,,
,,11,"M,cc,o,8,a,m","?,P2,c,c,a,8,9","4,o,N,o,x","o,M,o,8,a,m","N,o,x","o,M,a,Q",,,,,,,,,,,,,,,,,,,,
,,12,"9,o,c,c,2","c,N,c,c,c,9","N,o,x","cc,c,c,a,x","o,N,co,Z","4,o,c,N,c,c,9","P2,cc,o,8,a,x",,,,,,,,,,,,,,,,,,,
,,13,"o,a,m","c,N,co,x","9,N,?,c,o,x","?,M,cc,c,9","c,P2,c,c,o,8,a,m","9,N,c,o,x,8,9",,,,,,,,,,,,,,,,,,,,
,,14,"8,a,n,c,M,c,9","4,o,8,a,m","N,a,m,8,a,x","c,P2,c,o,8,a,x",2,"a,x","8,a,Q",,,,,,,,,,,,,,,,,,,
,,15,"4,o,N,o,x","cc,c,o,Z","c,N,c,a,x",2,"o,Z","a,x,8,9","o,M,a,x",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51v,1,1,"P2,o,c^c,o,8,9","4,o,N,o,8,a,Z","c^c,o,8,a,m","4,o,M,a,x","8,2,cc,c,c,9","2,a,m,8,9",,,,,,,,,,,,,,,,,,,,
,,2,"8,c^c,o,8,9","c,N,c,o,8,9","4,o,N,o,x","8,9,N,a,m","cc,9","4,o,N,c,9","8,a,m","c,M,c,9",,,,,,,,,,,,,,,,,,
,,3,"M,cc,o,8,9","c,M,c,9","cc,c,N,c,c,9","4,o,8","9,M,cc,o,8,9","8,cc,o,x","2,a,m","9,M,a,Q",,,,,,,,,,,,,,,,,,
,,4,"o,M,a,m","4,o,8,a,x","9,M,a,x","cc,c,o,8,a,Z","2,o,8,9","o,M,c,o","8,a,m","c^c,o,N,o,8",,,,,,,,,,,,,,,,,,
,,5,"M,o,8,a,m","9,M,o,8,9","4,o,N,o,x","c^c,o,8,o,x","4,o,c,N,c,9","9,N,o,x","o,M,a,m","8,a,Z",9,,,,,,,,,,,,,,,,,
,,6,"o,N,o,Z","c,M,c,c,o,8,9","4,o,c,P2,c,9","4,o,N,a,x","4,o,M,a,m","o,M,9,N,a,x","cc,o,x","8,a,m",,,,,,,,,,,,,,,,,,
,,7,"4,o,M,o,x","cc,o,8,a,m","4,o,N,cc,c,o,8,9","cc,o,Z","cc,o,8","9,c,M,c,o,x",2,"o,x,cc,c,c,M,9",,,,,,,,,,,,,,,,,,
,,8,"o,x,N,c,c,o,8,9","4,o,N,a,x","4,o,8,a,m","9,N,c,o,Z","9,P1,a,x",,,,,,,,,,,,,,,,,,,,,
,,9,"8,a,m","c,N,c,o,x","c^c,a,n","N,cc,o,x,o,x",,,,,,,,,,,,,,,,,,,,,,
,,10,"9,N,c,o,x","c^c,c,o","4,o,N,a,8,9","P1,o,x,8",,,,,,,,,,,,,,,,,,,,,,
,,11,"9,cc,c,o,N,9","c^c,c,c,9","9,N,c,c,9","cc,c,9",,,,,,,,,,,,,,,,,,,,,,
,,12,"a,cc,o,c,N,c,9","8,a,m","cc,o","c,N,c,9",,,,,,,,,,,,,,,,,,,,,,
,,13,"8,a,m","cc,c,o,x","cc,c,o,8,a,n",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52r,1,1,"M,8,o,N,cc,c,P1,c,9","9,c,P2,c,N,o","9,M,a,i,Z","c^c,a,Z","4,o,P1,9,8,a,m","9,P2,cc,9","o,M,cc,o,x","8,a,Z","?,M,9",,,,,,,,,,,,,,,,,
,,2,"o,M,9","c^c,o,Z","9,M,o,x,8,9","4,o,N,9","N,o,x,8,a,x","o,M,c,c,c,2","8,a,x,2","o,M,a,Z,8,x",,,,,,,,,,,,,,,,,,
,,3,"M,cc,o,M,c^c,c,9","4,o,M,9","o,N,cc,o,x","M,cc,o,8,9","4,o,M,a,Q","o,N,9","9,M,o,x,8,9",,,,,,,,,,,,,,,,,,,
,,4,"x,c^c,o,P2,cc,9","4,o,N,9","4,o,M,cc,9","o,M,9","8,a,Z","o,M,9","8,a,Q","9,cc,c,M,c,o,8",,,,,,,,,,,,,,,,,,
,,5,"o,N,9","cc,o,Z","o,N,cc,a,x","o,N,cc,a,Z","c^c,o,Z","M,o,x","9,N,a,i,Z","9,M,cc,8,a,Q",,,,,,,,,,,,,,,,,,
,,6,"8,a,m","c^c,c,8,a,m","4,o,8,a,x","8,9","cc,o,N,a,Q","o,M,cc,o,Z,8,9","o,N,cc,o,x","8,o",,,,,,,,,,,,,,,,,,
,,7,"4,o,N,c^c,9","4,o,c,N,c,o,Q","8,a,x,2","c^c,o,8,a,i,Q","M,cc,a,Q","8,o,8,9","9,N,c,c,9","8,a,i,Q","a,Q",,,,,,,,,,,,,,,,,
,,8,"o,Z","cc,c,c,9","8,o,Z","c^c,c,9","N,a,Q",2,"cc,c,c,9","8,cc,a,Q","8,a,m",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52v,1,1,"P2,cc,o,Z","cc,c,P2,c,a,x","c,P2,c,a,m","o,M,cc,c,o,Z","9,M,o,Z,N,o,x","cc,o,c,P2,c,o,Z",,,,,,,,,,,,,,,,,,,,
,,2,"9,M,cc,c,9","cc,o,x","c,M,c,o,8,a,n,2","c^c,9","N,o,Z","c,2,c","cc,o,Z","cc,9","8,a,Q",,,,,,,,,,,,,,,,,
,,3,"o,o,Z","cc,o,Z","cc,o","cc,a,Z","x,2","cc,M,c,c,o,Z","9,M,o,x","c^c,c,o,x","o,M,a,Q",,,,,,,,,,,,,,,,,
,,4,"M,cc,o,Z","c,M,c,c,o,Z","c,M,c,c,o,x","cc,c,c,o,Z","cc,c,o,x","cc,c,N,c,c,c,9","2,o,8,9",,,,,,,,,,,,,,,,,,,
,,5,"9,M,c,c,9","c,M,c,o,Z","cc,c,o,Z","c,P2,c,c,o,8,a,Z","8,9","2,a,Z,Q",,,,,,,,,,,,,,,,,,,,
,,6,"4,o,M,o,8,a,m","c,M,c,o,Z","o,M,9","c,M,c,o,Z","o,M,9","N,cc,o,x,9",,,,,,,,,,,,,,,,,,,,
,2,1,"P2,cc,c,o,x","c^c,o,x,o,m","?,M,c,o,Z","a,m",,,,,,,,,,,,,,,,,,,,,,
,,2,"N,o,8,a,m","c,M,c,9","4,o,N,c,c,9",2,"o,x",,,,,,,,,,,,,,,,,,,,,
,,3,"8,a,m","c,N,c,c,o,x","cc,o,x","4,o,N,c,?,x","8,a,m",,,,,,,,,,,,,,,,,,,,,
