line,t1,t2,t3,n
108r.7.1,"4,o,x,c^c,9","4,o,c,c,8,9","x,N,c,a,x",1
103r.3.1,"8,a,Z,o,a,x","o,N,c,9","cc,c,8,9",1
108v.15.1,"8,a,i,2","a,x","cc,c,c,M,c,9",1
114r.4.1,"8,a,x,cc,9","N,o,x,N,9","4,o,c,8,a,m",1
111r.8.1,"8,c^c,c,9","c^c,c,c,c,N,c,9","4,o,N,c,c^c,c,9",1
108v.16.1,"8,c^c,c,c,9","o,M,c,c,9","cc,c,o,x",1
111r.11.1,"8,c^c,c,c,o,M,c,c,9","4,o,N,c,c,o","x,N,c,c,9",1
103r.6.1,"8,c^c,o,x","c^c,o,x,N,a,Z","c^c,8,a,m",1
115r.2.1,"8,cc,c,8,a,n","4,o,N,c,c,8,9","o,x,N,c,c,cc,8,9",1
115v.13.1,"8,cc,c,o,8,x","c^c,c,o","N,o,x,cc,c,9",1
114v.6.1,"8,o,Z,N,cc,c,N,9","cc,c,o","a,m",1
104v.7.1,"9,M,cc,c,8,9","4,o,N,cc,c,8,9","4,o,M,cc,9",1
111r.4.1,"9,N,c,c,8,a,m","c^c,c,N,a,n","c^c,c,8,9",1
105r.8.1,"9,P2,cc,c,8,9","o,N,a,n,Z","o,P2,cc,c,c,8,9",1
103v.11.1,"9,c^c,c,9","x,N,c,c,9","4,o,N,a,n",1
108v.13.1,"9,cc,c,a,n","cc,c,9","x,cc,c,a,x",1
112v.12.1,"9,cc,c,c,9","cc,o,N,c,c,9","o,N,a,2,a,x",1
112v.6.1,"9,cc,c,o,x","N,c,c,o,Z","o,x,N,c,c,c,9",1
105v.9.1,"M,8,o,x","M,o,Z,o,a,x,8,a,Z","a,n,Z",1
107v.10.1,"M,a,?,?","o,a,m","o,N,c,c,o,8,9",1
107r.6.1,"M,a,Z,o,Z","o,x,a,x","o,N,a,n",1
115v.11.1,"M,a,m","c^c,c,c,N,c,c,9","x,cc,c,N,c,9",1
104v.5.1,"M,a,x,N,c^c,c,9","cc,o,c,M,c,9","4,o,N,c,o,cc,9",1
114v.2.1,"M,c,8,cc,c,o","cc,c,o","c,M,c,c,8,9",1
107r.2.1,"M,c,c,o,8,9","cc,c,8,a,n","4,o,M,c,c,9",1
103v.5.1,"M,c,c,o,x","c^c,c,o,x","c^c,o",1
111r.12.1,"M,c,o","o,x,N,c,c,o","o,x",1
112v.11.1,"M,c,o,8,a,Z,o,8,9","o,P2,cc,c,c,8","o,N,a,m",1
108r.4.1,"M,c,o,8,c,c,9","a,Z","a,m",1
108r.1.1,"M,c,o,8,c,c,o,Z","4,o,P2,cc,c,M,9","o,N,c,c,o,x,9",1
115r.4.1,"M,c?c,c,8,9","N,c,cc,c,8,9","4,o,N,cc,c,9",1
104r.4.1,"M,c^c,8,o,x","4,o,M,cc,c,8,9","4,o,N,o,c,c,9",1
115v.12.1,"M,c^c,a,Z","c^c,o,Z","c^c,c,N,c,c,9",1
108v.4.1,"M,c^c,c,8,N,9","c^c,c,c,N,c,9","a,N,c,9",1
104r.7.1,"M,c^c,c,8,a,Z","cc,x,x,o","Z,x",1
114v.7.1,"M,c^c,c,8,a,n","4,o,M,cc,o,8,9","4,o,N,o,x",1
114v.12.1,"M,c^c,c,9","o,c,8,a,x","o,P2",1
114v.5.1,"M,c^c,c,o,8,a,Z","cc,c,o","c,N,c,o,Z",1
104r.13.1,"M,c^c,c,o,8,x","4,o,N,a,m","4,o,N,cc,c,8,9",1
106v.8.1,"M,c^c,o,8","4,o,N,cc,9","4,o,N,a,m",1
106r.8.1,"M,c^c,o,8,a,i,Z","o,x,N,c,c,c,2","o,8,a,n",1
106v.3.1,"M,c^c,o,8,a,m","c^c,o,x,N,a,i,2","o,Z,a,n,N,a,Z",1
106v.2.1,"M,c^c,o,a,Z",o,"c,c,9",1
106v.4.1,"M,cc,8,9,2","a,Z","c^c,c,8,9",1
115v.4.1,"M,cc,8,o,Z","c^c,o",Z,1
114r.7.1,"M,cc,c,8,a,i,Z","c^c,o,8,a,m","8,a,i,Z",1
114r.8.1,"M,cc,c,8,a,m","o,x,8,a,x","cc,o,Z",1
112v.10.1,"M,cc,c,8,c","2,a,n","a,Z",1
114r.1.1,"M,cc,c,8,o,x","8,o,i,Z,o,2","P2,cc,c,o,2",1
114r.10.1,"M,cc,c,o,8,a,m","cc,a,m","4,o,N,a,m",1
115r.13.1,"M,cc,c,o,8,x","Z,a,m","cc,N,a,Z",1
106r.10.1,"M,cc,c,o,N,9","x,N,c^c,c,8,9","4,o,N,a,m",1
106r.12.1,"M,cc,c,o,Z,c^c,o","x,N,c^c,c,9","x,P2,cc,c,o",1
115v.3.1,"M,cc,o,2,o,2","c^c,c,o,x","4,o,M,cc,2",1
113r.16.1,"M,cc,o,8,a,i,Z,o,2","a,Z","cc,c,9",1
104v.3.1,"M,cc,o,8,x,2","cc,c,c,o,8,9","cc,c,c,o,o,x",1
103r.9.1,"M,cc,o,N,9","o,N,c,a,x","c^c,c,8,9",1
108r.2.1,"M,cc,o,N,c,8,9","cc,c,9","o,M,c,c,9",1
112v.3.1,"M,cc,o,Z","a,m","o,8,c,c,8,9",1
113r.8.1,"M,cc,o,a,Z","c^c,c,c,o,8,a,m","cc,N,a,m",1
113r.10.1,"M,cc,o,x","cc,o,x","x,c^c,c,o,x",1
105v.7.1,"M,cc,o,x,N,a,m","o,8,a,x","N,x",1
107r.13.1,"M,o,8,N,9","cc,c,8,9","4,o,c,N,c,9",1
114r.12.1,"M,o,8,a,m","cc,c,o,x,M,cc,c,8,a,m?","8,a,m",1
105r.7.1,"M,o,8,c,c,9","x,cc,x","c^c,Y",1
113v.8.1,"M,o,N,a,Z,9","x,N,cc,c,9","x,N,c,c,8,9",1
103v.8.1,"M,o,N,a,n","c^c,a,x","4,o,N,c,c,8",1
107r.3.1,"M,o,Z,c^c,o,Z","c^c,c,c,c,9","o,M,c,c,o,x",1
104r.6.1,"M,o,a,m","cc,8,a,Z","o,M,a,Z,c^c,8",1
104r.3.1,"M,o,x","cc,c,8,a,x","cc,c,o,c,N,a,9",1
107v.9.1,"M,o,x,N,c,c,c,8,9","o,N,c,o,x","cc,c,o,8,9",1
107v.2.1,"M,o,x,c^c,c,o,c,N,c,c,8,9","4,o,M,o,x","cc,8,o,Z",1
107r.5.1,"M,o,x,c^c,o,2,o,Z","o,x,N,c,c,8,9","4,o,M,a,m",1
106v.11.1,"M,o,x,o,2","c^c,8,a,i,Z","c^c,c,N,9",1
111v.1.1,"N,a,c^c,c,9","4,o,N,a,x","cc,c,N,c,c,a,x",1
