idx,textstring
2.v.2,"N,cc,o,Z; c^c,9; 8,a,m+; cc,c,N,o,9; 2,c^c,c,9; 8,o,Z; cc,o,x; 8,a,m; 8,o,Z; cc,o,x; cc,o,Z; cc,o,x; N,c,o,x; cc,9; cc,M,9; 8,a,m; o; M,cc,o,Z; cc,a,i; 8,a,m; cc,o,M,cc,c,9; 4,o,M,c,c,c,9; cc,o,N,c,o,2; cc,c,c,2; cc,Z; cc,c,a,m; cc,o,N,o,?,c^c,c; cc,o,Z; cc,i,o,x; cc,o,x; 8,o,x,o,8,9"
3.r.1,"M,c^c,c,o,2; 4,o,P2,a,x; cc,o,x; c,M,c,o,x; 8,a,i,Q,Q; 9,cc,c,o,Z; cc,o,Z; 8,a,Q; 4,o,M,cc,a,Q; cc,a,Q; o,cc,o,Z; 4,o,cc,c,o,Z; cc,o,x; 8,a,m; c,M,c,9; 2,cc,c,9; cc,o,Z; cc,a,x; cc,a,Q; cc,a,Q; cc,o; 4,o,N,o,x; cc,o,x,o,x,9; 2; cc,a,Q; c,M,c,o,x; 9,cc,M,a,m; cc,o,Z; c,M,c,o,Q; o,M,a,x; 8,a,Q; o,M,cc,o,x; 4,o,8,a,m; cc,o,Q; c^c,o,Q; 8,a,Q,o; 9,c^c,c,o,Z; cc,o,Z; cc,o,x; o,N,9; 8,a,Q,o; c^c,o; ?,o,Z; c^c,c,o,x,8,a,Q; o,M,cc,o,8,9; o,x; 9,8,a,Z; cc,o,x; c,M,c,o,Q"
3.r.2,"P2,cc,c,o,x; c^c,o,x; 2,o,x,2; c^c,c,o,x; c^c,c,9; o,N,a,8,a,m; 4,o,N,cc,o,Z; 4,o; 2,cc,o,8,a,Q; o,c,M,c,9; 4,o,N,c,c,9; 4,o,M,c^c,c,9; 4,o,N,o,8,9; 4,o,N,c^c,c,9; cc,c,o,8,9; cc,o,Z; 4,o,8,a,i,Z; o,N,c,c,9; 4,o,N,c,c,9"
3.r.3,"M,c^c,c,o,a,Z,o,Q; c^c,a,Z; o,Z; cc,o,Z; o,x,c,c,2,9; cc,o,Q; o,M,c,c,o,Q; o,P2,o,Z,a,Z; o,M,c,o,x; cc,o,x; 2; cc,c,o,x; c,N,c^c,9; 4,o,N,c,o,Q; 4,o,N,a,x; 8,a,m; 2,o,x,c,c,Q; 2,o,c,o,Q; o,N,c,o,Q; 9,M,c,o,8,9; 4,o,N,c,c,o,8,a,x; 2,a,Q"
3.r.4,"P2,cc,c,o,x,8,o,Q; c^c,o,8,a,m; 4,o,P2,cc,o,Z; 4,o,P2,o,x; o,P2,cc,o,x; 4,o,M,9; o,M,o,x,o,Q; o,M,cc,o,Z; o,x; cc,c,o,Z; 4,o,c,o,Z; 8,a,i,Z; 4,o,M,c,o,x; 4,o,2,a,m; cc,o,Z; c,M,c,9; 9,cc,c,o,Z; cc,o,x; o,8,a,m; cc,o,x; 2; a,m; o,N,o,x; o,Z; a,Q"
3.v.1,"N,o,a,m; c,P2,c,a,Z; 4,o,M,o,9; c^c,a; c,N,c,o,x; 9,N,o,a,m; 2; o,x,9; 8,a,n,8,9; 4,o,M,cc,o,x; o,N,cc,o,Z; o,N,o,Z; o,x,9,M,o,x; 8,o,x; 8,a,Z; o,N,o,Q; cc,o,x; c^c,o,x; 2,c,c,c,2; cc,o,Q; cc,c,c,9,N,a,Q; o,N,a?; 4,o,8,a,Z; cc,2; cc,9; N,cc,c,o,x; o,N,a,x; 8,o,Z; cc,c,a,Z,c,c,?; 9,cc,c,a,Z; o,M,cc,a,x; cc,o,Z; cc,a,Z; ?,N,c,9; o,Z; cc,c,a,Z; N,o,Z; cc,o,8,a,x,9; cc,a,Q"
3.v.2,"M,cc,o,Z; o,M,cc,a,Q; cc,o,Z; c,P1,c,a,Q; 2; 9,N,cc,9; N,cc,o,Q; cc,o,Z; cc,c,N,c,o,x; o,N,a; 9,M,c,c,c,c,a,Z; o,N,c,o,x; c,M,c,o,8,o,a,x,9; cc,o,Z; c,M,c,9; o,cc,o,2; 8,a,m; 4,o,N,c^c,o,x; 8,a,m,Q; cc,o,x; o,N,a,Z,9; c^c,o; c^c,o,c,N,c,o; c,N,c,9; M,cc,o,Z; cc,o,8,a,m; cc,o,Q; o,c^c; cc,o,8,a,i,Z; 9,M,cc,9; M,cc,o,Z; N,cc,a,Q; 2; c^c,a,Z; c^c,N,a,m; 4,o,N,cc,9; 9,M,9; c,M,c,a,x; cc,N,9; 8,a,n; c^c,c,a,Q; 9; N,c,a,Q"
4.r.1,"N,o,8,a,x,cc,9; cc,P2,a,8,9; c^c,c,o,x; o,x; c^c,c,c,9; 4,o,M,c,9; 8,o,m; cc,o,Z; 9,M,o,9; 8,c^c,o,Z; c^c,o,x; c^c,o,x; c,M,c,o,x; c^c,M,cc,9; cc,a,m; ?,2; cc,o,Z,a,m; cc,o,Q; o,M,cc,o,x; cc,o,x; cc,9; cc,a,m; 4,o,M,a,m; 8,a,m; c^c,a,n; 4,o,M,cc,o,x; cc,9; 9,M,9; 8,a,m; o,N,a,m; c,M,c,9"
4.r.2,"P2,9,8,a,m; 4,o,M,cc,9; 8,9,M,9,8,9; cc,o,Z; c^c,9,M,cc,9; 8,9,M,cc,c,c,9; 4,o,M,a,m; c,M,c,o,x; 8,a,m; c,M,c,o,Q; c^c,o,Z; c^c,o,x; c^c,o,x; c,M,c,9; c,P2,c,o,x,8,9; 8,a,m; c,N,c,o,cc,9; M,cc,9; N,o,Z,a,m; o,8,a,x; c^c,o,Z; c^c,9,c^c,o,x; c,P2,c,a,m; 4,o,M,cc,o,m; c^c,c,?,Z; 4,o,M,9; 2,o,m; cc,a,m; cc,a,m; 8,a,m; c,M,c,c,9"
4.v.1,"P2,cc,o,o,m; N,c^c,c,o; N,cc,o,9; cc,o,P2,cc,9; 8,o,x,8,2; 8,x,o,8; o,x; cc,c,9; cc,9; c,M,c,9; cc,N,cc,o,Z; c^c,i,o; cc,c,o,Z,9; cc,o,x,8,9; c^c,o; c^c,o; cc,a,m; c^c,a,m; 8,a,m; 4,o,8,a,m; o,a,Z,a,Q; 4,o,N,cc,9; 4,o,c,M,c,9; cc,o,M,c,o,x; 8,a,m; c,M,c,c,9; cc,o,a,m; c^c,o,Z; c^c,c,c,9; c,M,o; o,M,a,m; c^c,c,9; 4,o,M,cc,o,m; cc,o,8,a,n; 9,M,cc,o,9; c^c,o,N,cc,9; c,P2,c,o,8,9"
4.v.2,"M,o,Z,cc,9; c^c,c,c,o,Z; cc,o,Z; c^c,o,M,cc,9; c,P2,c,9,8,9; o,x,?,c,?; cc,o,Z; c,M,c,o,x; c^c,o; o,M,o,Z; c,M,c,o,Z,9; 4,o,o,N,o; m+?; cc,i,o,Q; cc,c,M,c,9; c^c,o,N,9; 8,a,m; o,M,a,m; c^c,c,o; o,N,c,a,8,9; cc,o,x; cc,o,N,c,o,8,9; c^c,o; N,cc,c,o,Z; c^c,o,8; 9; c^c,M,a,m; 4,o,M,o,x,8,a,m; 4,o,N,?,9; c^c,o; o,N,c,o,x; 2,N,c,c,9; c^c,a,Z; cc,a,Z; o,8,9; c^c,o,8,9; 2; cc,c,o,Z; cc,o,N,o,8,9; c^c,o,8,a,m; 4,o,M,9; o,c^c,o,8,9; cc,9,N,c,9; cc,M,o,8,9"
5.r.1,"N,c^c,o,8,9; P1,cc,o,9; cc,N,o,9; o,a,m; o,a,Z,o,x,2,9; cc,o,8,9; 8,N,c^c,9; 8,9; o,cc,c,9; o,N,c,9; 4,o,N,a,m; c^c,o; c,N,c,o,9; c,M,c,c,9; cc,c,9; o,N,a,j?,o,Z; o,M,o,x; 4,o,a,m; o,N,a,i; cc,9; 8,a,m; o,M,c,c,c,c; cc,o; c,M,c,9; o,M,cc,9; 4,o,M,cc,o,8,9; o,M,a,n; c^c,c,o,8,9; cc,a,i; 2; cc,c,o,Z; cc,o,c,M,c,9; M,c^c,9; c^c,o,8,9; 4,o,a,m; cc,o,x,o,x,2; c^c,o; 4,o,M,cc,c,o; 8,o?,m; c^c,o,8,a,m; c^c,o; cc,c,o,Z; cc,i,9; 4,o,c,c,c,9; 4,o,9,M,c,c,c,9; 4,o,c,o,Z; c,M,c,9; c^c,o,M,c^c,9; 8,9; 4,o,M,o; c,c,9; N,c,c,9; cc,c,o; N,cc,9; c^c,o,8,9"
5.v.1,"N,9,cc,c,o,Z; cc,o,Z; 9,M,cc,c,9; P2,c^c,o,8; cc,o,x,2; cc,o,8,a,m; 9,M,o,m+; 8,a,m; 8,cc,o,x; c^c,9; cc,o,x; o,M,a,m; 8,a,n; c,M,c,o,Z; cc,o,M,2; 9,cc,o,P2,o,Z,8,Q; 4,o,M,cc,o; 9,M,o,Z; 8,a,m; 8,a,m; o,M,cc,o,Z; 8,a,m; 4,o; 8,a,Z; cc,o,Z; 8,o; 4,o,M,o,Z; c^c,c,c,2; o,M,o,x; 9,N,o,m; c^c,o,x; 8,a,m; c,M,c,o,Z; o,N,cc,9,M,a,m; c^c,o,N,c,c,o,x; cc,o,Z; cc,c,o,M,o,x; o,M,cc,o,x; 8,a,m; 8,a,x; cc,o,x; cc,o,M,a,m; o,M,o,x; cc,o,x; 8,a,i,Z,o,8,Q"
6.r.1,"P1,o,a,Z; 9; c^c,o,x; cc,o,x,o,Z; c,P2,c,o,x; cc,o,Z; cc,?,N; cc,o,P2,cc,o,x; o,N,cc,a,Q; 8,a,m; cc,c,N,c,9; cc,o,Z; cc,o,Z; N,a,Z; c,M,c,9; c,M,c,o,Z; cc,o,M,o,x,2; P1,o,c,c,a,Z; N,c^c,o,Z; cc,o,N,9; o,2; cc,c,o,c,c,c,2; 9,N,c,o,Z; 9,M,a,m; 8,a,Q; 8,a,Z; cc,o,2; c^c,c,o,Z; cc,o,?,M,c,9; o,M,cc,a,Q; 9,a,n,Z; cc,9; M,a,Z; o,N,a,m; c^c,c,c,2; 9,M,a,x,9; c,M,c,a,m; o,8,a,Q; o,Z; a,x; c,N,c,a,Q; o,N,o,Q; c,M,c,a,m; 9,8,a,m; 8,a,m; 4,o,8,a,m; cc,o; 2; cc,o,x; o,N,a,m; 2; 9,cc,o,x; c,N,c,o,Z; P2,cc,a,Z; c^c,c,o; c,N,c,a,m; 8,a,Z; c^c,c,o,x; 2,N,a,n,o,8,a,Z; o,M,a,m; cc,o,Z,9; M,cc,o,Z; c,M,c,c,o,8; cc,9; c^c,o,Z; o,8; c^c,c; o,8; 9,cc,a,Z; o,x,cc,a,8; o,x; cc,o,N,a,m; o,Z; c^c,o,x; c,M,c,o,Q; cc,o,Z; c,M,c,9; 4,o,c,M,c,o,x; 9,o,8,a,m; c,M,c,9; 9,c^c,o; M,a,m; 9; N,a,n,Q"
6.v.1,"N,o,a,Z,9,2,a,Z; cc,c,c,N,a,Z; 4,o,a,Z; c^c,o,Z; cc,a,P2,cc,9; 2,cc,c,a,Z; cc,a,Z; o,M,cc,9; o,c,c,2; cc,o,Z; cc,c,N,c,9; 4,o,c,N,cc,a,Z; cc,c,a,2; o,8,a,m+; N,cc,c,9; cc,o,Z; cc,a,m; 4,o,a,i,Z; c,N,c,9; cc,o,x; o,o,cc,o,c,N,c,9; cc,c,N,cc,o,9; c,N,c,9; o,N,o,x; Z,9,cc,o,2; 9,c^c,c,N,c,9; 9,M,cc,o,9; 2; o,2; 9,8,a,8,9; 8,cc,9; 8,c,9; o,N,o,8,9; 9,M,o,8,9; 8,a,i,Z; c^c,a; cc,o,8,a,Q; 8,a,Q; o,N,o,Z; o,M,9; 8,o,x,8,o,Q"
6.v.2,"M,cc,o,8,9; c^c,o,c,M,c,o,x; cc,o,c,M,c,c,9; 2; 9,cc,o,2; 9,cc,o,x; 8,a,m; c,M,c,o,x; 8,o,x; 9,cc,o,Z; cc,o,Z; o,N,cc,c,9; 4,o,N,o,i,Q; o,c,c,o,8,a,x; cc,o,Z; c,M,c,o,Q; 2; 4,o,N,cc,o,?; 9,cc,c,a,Z; N,cc,8,9; x,a,Z; cc,a,Z; o,M,a,Q; c,M,c,o,Q,8,9; 9,o,8,a,m; c,M,c,9; 2; cc,o,Z; o,c,c,2; o,Z; cc,o,c,N,c,9; 2; o,2; cc,9; 2,a,n; a,Z; o,cc,9; c,M,c,a,Z; c,M,c,a,Z; c,M,c,9; 9,cc,a,m; c,N,c,a,x; c,M,c,o,8,a,Q; 8,9; 9,M,cc,o,c,M,c,o,x; cc,c,2; c,M,c,o,Z; o,cc,o,x,9; N,cc,o,Z; cc,9; 8,o,Z; 8,cc,o,Z; cc,o,x,8,a,Z; o,N,o,x; 8,a,m; 9,cc,i,o,Z; cc,o,Z; o,c,M,c,a,Q"
7.r.1,"P1,cc,o,8,a,m; c^c,o,P2,cc,c,9; 4,N,o; c^c,c,9; 4,o,o,2; c^c,c,c,9; cc,a,Z,o,cc,9; 8,cc,c,c,9; N,c,o; Z; c^c,o,Z; 8,o,x,8; 8,cc,c,9; N,cc,c,9; o,M,cc,9; cc,c,o,8,9; o,cc,c,c,2; cc,c,o,8,a,m; c^c,c,c,9; 9,M,cc,c,c,9; 4,o,M,cc,9; cc,a,x,8; 4,o,N,cc,o; cc,o; x,o,cc,c,9; 8,a,m; 9,cc,c,9; N,cc,o,2; o,8,a,m; o,a,n,Z; o,M,a,m"
7.r.2,"N,c^c,o,x,o; c^c,c,9; 4,o,M,o,c,c,2; cc,N,o,x,8,9; o,M,cc,o,Z; cc,o,a,m; 8,c^c,o,9; c,M,c,o,x; cc,o,x; o,M,cc,o,x; 8,a,n; c^c,o,8,9; c^c,o,x; cc,o,M,cc,9; o,N,cc,c,9; 8,c,c,c,c,2,c; cc,o,M,9; 4,o,N,cc,9; c^c,o,x; N,c,c,9; cc,o,M,9; 8,a,n; 4,o,N,c,cc,9; o,x; cc,o,m; cc,o,x; c,P2,c,c,9; c^c,c,N,c,9; cc,o,cc,9; N,cc,o,8; 2,cc,a,n; cc,o,Z; 8,a,m; cc,c,N,c,9"
7.v.1,"P2,o,x,9,c^c,9; c^c,c,9; M,cc,o,8,9; 4,o,P2,cc,9; o,M,c^c,o,x; 8,9,8,a,m; M,c^c,o,8,o,8,9; cc,o,cc,9; c,M,c,9; 8,a,m; 4,o,N,9; cc,c,P2,cc,9; 8,a,m; c,M,c,o,x; c,M,c,9; c,M,c,8; 4,o,N,cc,9; 8,9,N,cc,9; cc,N,c,c,9; N,c^c,9; N,9; M,9; 8,o,Z; cc,c,c,9; o,x; cc,c,o,x,8,9; cc,o,M,c,c,c,c; o,c,c,a,Z; cc,o,2,cc,9; 8,a,n; c^c,o; N,c^c,9; c^c,o,x; 8,c,c,c,2; 8,o,x; 8,cc,o,8,a,m; 4,o,M,cc,9; cc,c,c,9; M,cc,c,c,9"
7.v.2,"N,cc,o,Z; c^c,c,o,8; c^c,c,o,8,a,m; c^c,o,8,a,m; o,N,c^c,o,x,c^c,o,x; 8,a,i,Z; 4,o,2; o,N,c^c,o,8,c,c,c,c; cc,o,Z; cc,c,o,Z; o,8,a,m; c^c,o,M,cc,o; 8,o,x; 8,o,x; 8,o,Z; a,m; 4,o,M,c,c,c,o; Z; cc,o; cc,c,c,o,8,9; 4,o,M,cc,c,9; M,c,9; o,N,cc,o,Z; 8,a,m; c^c,o; N,c,c,o; 8,a,n,Z; cc,o,N,cc,9; 8,o,Z; 8,c,o,x; 8,9; 8,o,x,8,a,m"
8.r.1,"P2,c^c,o,x; cc,o,Z; o,M,c^c,a,x; cc,o,P2,9; c,P2,c,a,x; cc,o,8,9; c^c,9; c,P1,c,o,8,a,Z; c^c,o,Z; M,cc,M,9; c^c; N,c,c,c,a,x,2; c^c,o; o,N,cc,c; 8,o,8,cc,9; 8,a,n; a,x; cc,o,8,a,Z; c^c,9; 2,9; cc,o,8,a,m; c^c,o,N,cc,9; cc,o,Z,8,9; 4,o,M,o,Z; cc,o,Z; cc,o,Z; c^c,c,c,9; 8,cc,o,x; c^c,c,2,c,8; cc,o,P1; cc,9; 8,a,Q; o,N,cc,c,9; 8,o; Z; cc,c,c,c,9; 8,9,N,9; 2,cc,o; cc,N,9; c,N,o,o,a,m; cc,9,M,a,m; M,o,c^c; c,N,cc,c,c,9; N,o,x,M,o,x,8,9; c^c,9; cc,o,c,M,9; cc,c,c,o,8,9,2,a,x; cc,o,M,o; N,cc,o,a,i; cc,o,o,Z; 8,a,i; 8,cc,o; 8,a,m"
8.r.2,"M,cc,o,c,P2; c^c,o,P2,cc,c,c,9; P2,cc,c,9; o,P1,cc,c,9; 8,c^c,c,c,9; c^c,o,x,8,a,m; c^c,o,Z; 8,a,m; cc,c,c,9; M,c,c,o,8,a,i; 8,9; cc,c,o; c,M,c,9; o,N,c^c,c,o; 8,o,x; 8,a,i,Z,Q; c^c,o,x; cc,c,o,8,a,m; 8,a,m; 8,o; 9,M,cc,o,8,9; cc,o,M; cc,o,M,9; o,M,a,Z,m; 4,o,cc,o,8,a,m; c^c,o,M,o,N,o,8,9; cc,o,M,o,x; o,N,o,N,cc,o,8,Q"
8.r.3,"c,M,c,o; c,M,c,9; c^c,o,x; cc,o,P1,9?,8,9; c^c,o; c^c,c,9; N,c^c,c,9; x,o,8,9; cc,o,x,a,x; 8,cc,c,9; c,N,c,o,x; cc,o,x; cc,c,9; N,c,c,2; cc,9; c,M,o,8,a,m; 8,o,x; 8,a,m,Z,cc,9; c,N,c,9; 9,cc,c,9; N,cc,?,N,cc,9; cc,2,c,9; N,cc,9; 2,cc,c,a,m; c,M,c,a,i,cc,a,Z; c,M,c,9; 8,a,Z; cc,o,x; 8,cc,9; 4,o,N,a,Z; cc,x; a,m; cc,c,a,i; c,N,9; cc,a,Z; cc,a,m; o,N,a,Z; c,P1,c,a,m; cc,a,m; c,x; 8,a,m; cc,o,Z; cc,a; Z,cc,c,a,x,cc,a,Q; 2,a,i,Z; cc,c,a,n; c,P2,c,o,x; 8,a,Z; c^c,o,x; N,a,m; c^c,o,x; N,a,m; 8,a,i,N,a,Q; o,Z; cc,o,N,c,2,c,9; c^c,c,9; o,N,a,x; cc,a,x; 2,cc,o,x; 2,a,i,Q"
8.v.1,"cc,M,o,8; 2,o,o,c,M,c,?; 2,o,x; c^c,o,x; o,M,o,x; cc,o,x; o,P2,cc,c,a,m; o,P2,9,8,a,m; 2,a,m; c^c,c,M,c,a,x; 2,a,Z; cc,o,Z; c^c,c,a,m; c^c,o,Z; cc,9,N,cc,9; o,M,a,m; c,M,9; 4,o,8,9; cc,c,a,x; 2,9; cc,o,Z,9; cc,c,a,Z; c^c,o,x; cc,a,m; c^c,a,m; 8,o,x,a,Z; 8,c^c,o,x; c^c,o,x; 8,a,x; cc,c,a,i; c,M,c,a,Z; c^c,c,a,x,9; 8,a,m; cc,a,Z,9; cc,o,x; cc,o,x,8,a,Z; o,M,cc,a,Z; c,M,a,m; c,M,c,o,x; 8,a,Z; 8,a,m; c,M,c,a,i; 9,M,cc,9; cc,o,9,N,a,m; 8,a,n; a,Z; c^c,o; N,cc,o,x; 8,a,Z; c^c,c,9; c,M,c,a,Z; cc,o,M,a,n; Z,9; o,N,cc,o,x,N,c^c; cc,o,x; cc,o,x; cc,o,x; c,M,c,a,m; 8,a,n; c^c,o,x; o,Z,cc,x; cc,o,N,cc,9; cc,o,x; c,M,c,o,Z; cc,a,m; 2,cc,a,Z,cc,9; o,cc,2,o,8,9; N,cc,c,9; P2,cc,9; c,P2,c,a,Z,o,Q; 2,o,Z,a,n"
8.v.2,"P2,cc,a,Z; cc,o; Z,o,x; 8,a,x; c^c,c,a,Z; cc,c,c,o,M,a,m; cc,a,x; 8,a,m; N,cc,o,Z; o,M,cc,a,Z; o,N,9; cc,o,N,a,n; N,c,o,N,9; o,M,o,Z,cc,9; 2,a,M,a,Z; c^c,o,Z; o,N,o,x; x,o,N,a,m; c^c,o,x; N,o,x; cc,a,Z; c,M,c,c,9; M,cc,9; c,N,c,a,Q; o,Z; cc,o,x; cc,a,i; cc,c,N,9; cc,o,Z; cc,c,a,n; cc,a,Z; cc,c,c,N,9; cc,o,Z; Z,9; cc,a,Z; cc,c,a,Z; cc,c,a,Z; o,M,c,c,9; 8,cc,o,Z; cc,o,8,c,9; cc,o; Z,a,m; 8,a,n; cc,c,a,Z; 8,a,m"
