token,cluster,freq,token_len
"2,cc,o,c,M,c,c,9",7,1,8
"2,cc,o,c^c,c",3,1,5
"2,cc,o,x",3,4,4
"2,i,8,?",9,1,4
"2,o",2,4,2
"2,o,2",5,5,3
"2,o,2,Z,9",8,1,5
"2,o,2,a,Q",9,1,5
"2,o,2,a,Z",6,1,5
"2,o,8,2,a,Z",6,1,6
"2,o,8,9",7,6,4
"2,o,8,a,Z",9,3,5
"2,o,8,a,i,Z",1,1,6
"2,o,8,a,m",5,3,5
"2,o,8,a,x",5,1,5
"2,o,9",6,2,3
"2,o,9,8,9",5,1,5
"2,o,M,9",3,1,4
"2,o,M,a,m",4,1,5
"2,o,M,a,n",1,1,5
"2,o,M,c,9",8,1,5
"2,o,M,c,o,x",9,1,6
"2,o,M,cc,8,9",9,1,6
"2,o,M,cc,8,a,m",7,1,7
"2,o,M,cc,9",3,1,5
"2,o,M,cc,a,m",3,1,6
"2,o,M,o,8,a,i",5,1,7
"2,o,M,o,m+",3,1,5
"2,o,N,a,Z",3,1,5
"2,o,N,a,m",3,1,5
"2,o,N,a,x",6,1,5
"2,o,N,c,8,9",1,1,6
"2,o,N,c,c,8,9",1,3,7
"2,o,N,c,c,9",6,2,6
"2,o,N,cc,9",3,1,5
"2,o,N,cc,c,c,9",4,1,7
"2,o,N,cc,o,Z",3,1,6
"2,o,N,cc,o,x",3,1,6
"2,o,N,o,8",6,1,5
"2,o,N,o,x",0,1,5
"2,o,N,o,x,9",9,1,6
"2,o,P1,a,Q",9,1,5
"2,o,Q",5,2,3
"2,o,Z",4,44,3
"2,o,Z,9",9,2,4
"2,o,Z,a,Z,9",2,1,6
"2,o,Z,a,m",8,7,5
"2,o,Z,a,n",4,2,5
"2,o,Z,a,x",5,3,5
"2,o,Z,a,x,9",9,1,6
"2,o,Z,a,x,o,a,x,9",2,1,9
"2,o,Z,c^c,9",2,1,5
"2,o,Z,cc,c,c,9",2,1,7
"2,o,Z,o,Z,9",7,1,6
"2,o,Z,o,Z,x",7,1,6
"2,o,Z,o,x,2",2,1,6
"2,o,Z,o,x,cc,8,9",1,1,8
"2,o,Z?,9",6,1,4
"2,o,a,Z,a,Z",0,1,6
"2,o,a,m",5,3,4
"2,o,a,n",6,1,4
"2,o,a?,i?,8?,9",9,1,6
"2,o,c,2",0,1,4
"2,o,c,M,c,c",6,1,6
"2,o,c,M,c,o,8,9",3,1,8
"2,o,c,M?,c,c,9",2,1,7
"2,o,c,N,c,c,9",4,2,7
"2,o,c,N,c,o,8,9",9,1,8
"2,o,c,c,c",5,1,5
"2,o,c,c,c,2",2,1,6
"2,o,c,c,c,8,9",1,1,7
"2,o,c,c,o,x",2,1,6
"2,o,c,o,Q",8,1,5
"2,o,c^c,9",3,2,4
"2,o,c^c,c,N,c,9",2,1,7
"2,o,cc,c,9",5,1,5
"2,o,cc,o,Z,c,P1,c,9",6,1,9
"2,o,m",8,14,3
"2,o,m+",4,5,3
"2,o,n",6,4,3
"2,o,n,Z",4,1,4
"2,o,o,c,M,c,?",3,1,7
"2,o,o,m",8,1,4
"2,o,x",4,54,3
"2,o,x,2",2,3,4
"2,o,x,2,9",9,1,5
"2,o,x,8",3,1,4
"2,o,x,8,9",1,1,5
"2,o,x,8,a,Q",7,1,6
"2,o,x,9",4,1,4
"2,o,x,M,c,c,8,9",0,1,8
"2,o,x,M,x",6,1,5
"2,o,x,N,9",4,1,5
"2,o,x,N,a,m",7,4,6
"2,o,x,N,a,n",4,2,6
"2,o,x,N,c,2",4,1,6
"2,o,x,N,c,8,9",4,3,7
"2,o,x,N,c,9",4,1,6
"2,o,x,N,c,c,8,8",0,1,8
"2,o,x,N,c,c,8,9",4,5,8
"2,o,x,N,c,c,9",4,4,7
"2,o,x,N,cc,9",7,1,6
"2,o,x,N,cc,c,8,9",4,1,8
"2,o,x,N,o,n",6,1,6
"2,o,x,P2,cc,8",1,1,6
"2,o,x,a,m",7,1,5
"2,o,x,a,n",4,1,5
"2,o,x,c,M,c,9",2,1,7
"2,o,x,c,c,Q",8,1,6
"2,o,x,c,c,c,2,o,2",1,1,9
"2,o,x,c^c,c,8",0,1,6
"2,o,x,c^c,c,8,9",4,4,7
"2,o,x,c^c,c,9",0,4,6
"2,o,x,c^c,c,c,9",2,1,7
"2,o,x,c^c,c,o,Z",5,1,7
"2,o,x,c^c,c,o,x",0,1,7
"2,o,x,cc,2,8,9",4,1,7
"2,o,x,cc,8",3,1,5
"2,o,x,cc,9",4,1,5
"2,o,x,cc,N,a,x",4,1,7
"2,o,x,cc,c,8,9",4,7,7
"2,o,x,cc,c,9",4,3,6
"2,o,x,cc,c,9,8",2,1,7
"2,o,x,cc,c,o,x",4,1,7
"2,o,x,o,Z",6,1,5
"2,o,x,o,m",5,1,5
"2,o,x,o,x",0,1,5
"2,o?,M,9",9,1,4
"2,x",0,2,2
"2,â,m",5,1,3
2?,5,1,1
"2?,a,Z",6,2,3
"2?,m",9,1,2
"3,cc,o,Z",6,1,4
"3,o,8,a,m",3,1,5
"3,o,M,cc,o",3,1,5
4,4,1,1
"4,2,a,n",4,1,4
"4,2,o,x,N,c,c,8,9",4,1,9
"4,9",1,1,2
"4,9,M,a,m",4,1,5
"4,9,N,a,m",4,1,5
"4,9,N,c,c,o,8,9",2,1,8
"4,9,N,c,c,o,x",5,1,7
"4,9,N,cc,c,9",3,1,6
"4,9,o,c,c,9",2,1,6
"4,?",1,1,2
"4,?,8,a,Z,a,Q",1,1,7
"4,?,?,8,9",1,1,5
"4,?,?,o",6,1,4
"4,?,M,a,Q",0,1,5
"4,?,M,c,8,9",4,1,6
"4,?,N,9",1,1,4
"4,?,N,c,8,9",0,1,6
"4,?,N,c,c,c,9",4,1,7
"4,?,P2,cc,c,8,9",1,1,7
"4,?,P2,o,x,N,a,n",9,1,8
"4,?,a,Z",7,1,4
"4,?,c,c,a,Z",0,1,6
"4,N,a,n",0,2,4
"4,N,c,c,9",2,1,5
"4,N,c,c,c,9",2,1,6
"4,N,c,c,o",8,1,5
"4,N,c,c,o,8,9",2,1,7
"4,N,c,o,8,9",8,3,6
"4,N,c,o,x",2,1,5
"4,N,c,o,x,8,9",2,1,7
"4,N,o",9,1,3
"4,N,o,Z",2,2,4
"4,N,o,Z,9",2,1,5
"4,N,o,x",1,1,4
"4,N,o,x,8,9",2,1,6
"4,P1,o,x",6,1,4
"4,P2,o,x",2,1,4
"4,a,a,x",0,1,4
"4,a,c,8,9",6,1,5
"4,a,i,Z,a,x",0,1,6
"4,a,m",0,2,3
"4,a,x,o,n",4,1,5
"4,c",0,1,2
"4,c,8,9",4,1,4
"4,c,9",4,1,3
"4,c,M,9",4,1,4
"4,c,M,a,Q",0,1,5
"4,c,M,a,n",6,1,5
"4,c,M,a,x",4,1,5
"4,c,M,c,8,9,2",4,1,7
"4,c,M,c,9",4,2,5
"4,c,M,c,c,9",0,3,6
"4,c,M,c,c,c,8",1,1,7
"4,c,M,c,m+",6,1,5
"4,c,M,cc,8,9",8,1,6
"4,c,M,cc,9",6,2,5
"4,c,M,cc,a,Z",7,1,6
"4,c,N,9",1,1,4
"4,c,N,?,8,9",0,1,6
"4,c,N,a,Z",5,1,5
"4,c,N,a,m",7,1,5
"4,c,N,a,x",6,1,5
"4,c,N,c,2,9",6,1,6
"4,c,N,c,8",8,1,5
"4,c,N,c,9",7,1,5
"4,c,N,c,a,Q",7,1,6
"4,c,N,c,c,8,9",1,2,7
"4,c,N,c,c,9",0,2,6
"4,c,N,c,c,o,Z",1,1,7
"4,c,N,c,o,8,9",2,1,7
"4,c,N,c,o,cc,o,Z",9,1,8
"4,c,N,c,o,x,8,9",8,1,8
"4,c,N,cc,8,9",1,2,6
"4,c,N,cc,9",0,1,5
"4,c,N,o,Z",0,1,5
"4,c,P2,c,c,9",1,1,6
"4,c,P2,c,c,c,8,9",7,1,8
"4,c,P2,cc,c,8,9",0,1,7
"4,c,P2,cc,c,9",0,1,6
"4,c,P2,o,c,P2,9",1,1,7
"4,c,a,Z",6,1,4
"4,c,a,m",2,1,4
"4,c,c,8,9",4,2,5
"4,c,c,8,a,Z",6,1,6
"4,c,c,8,c,c,9",4,1,7
"4,c,c,9",0,3,4
"4,c,c,a,Z",0,1,5
"4,c,c,c,8,9",0,2,6
"4,c,c,c,9",0,3,5
"4,c,c,o,9",0,1,5
"4,c,o,N,c,c,9",1,1,7
"4,c,o,Z",5,1,4
"4,c,o,x",0,1,4
